1688428464,column,column,column,column,2956968,Смартфоны и телефоны >> Аксессуары для смартфонов,xo,___xo_qc_30_xo_l85_18w1usb__microusb_white_xol85mwh,column,109,1,httpscomfyuasetevoezarjadnoeustrojstvoxoqc30xol8518w1usbmicrousbwhitexol85mwhhtml,column,05112025_1903,column,__42,Фастів,0
1688725637,,,,,2409476,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",ruijie,Підсилювач бездротового сигналу Ruijie RG-EW300R,,1049,1,https://comfy.ua/tochka-dostupa-ruijie-rg-ew300r.html,,05.11.2025 17:54,,"вул. Соборна, 42",Фастів,0
1688728076,6986163,XO,Сетевой фильтр XO WL-10 4 розетки + 4xUSB 1.8м 10А Black (XO-WL-10-BK),399,2957000,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Сетевые фильтры и удлинители >> Сетевые фильтры и удлинители XO",xo,"Мережевий фільтр XO WL-10 EU 1,8 м 4AC+4USB Black (XO-WL-10-BK)",,399,1,https://comfy.ua/setevoj-fil-tr-xo-wl-10-eu-1-8-m-4ac-4usb-black-xo-wl-10-bk.html,,05.11.2025 17:27,,"вул. Соборна, 42",Фастів,0
1688728725,,,,,.2822351,Смарт-часы и гаджеты >> Дроны,yuneec,Гексакоптер Yuneec H520E RTF без камери (YUNH520EEU),,96565,1,https://comfy.ua/geksakopter-yuneec-h520e-rtf-bez-kamery-yunh520eeu.html,,05.11.2025 18:03,,"вул. Соборна, 42",Фастів,0
1688728726,,,,,2822352,Смарт-часы и гаджеты >> Дроны >> Дроны Yuneec,yuneec,Гексакоптер Yuneec H850 RTF/RTK T1 (YUNH850EUSC),,317415,1,https://comfy.ua/geksakopter-yuneec-h850-rtf-rtk-t1-yunh850eusc.html,,05.11.2025 18:03,,"вул. Соборна, 42",Фастів,0
1688731229,,,,,.2964438,"Аудио, фото и видео >> Аксессуары для фото, видео",powerplant,Акумулятор тип 18650 PowerPlant 3.7V 1C 2600mah (AA620227),,179,1,https://comfy.ua/akkumuljator-tip-18650-powerplant-3-7v-1c-2600mah-aa620227.html,,05.11.2025 18:24,,"вул. Соборна, 42",Фастів,0
1688731293,6973921,RESTO,Точилка для ножей RESTO ATLAS (95124),349,2918923,Посуда >> Нарезка и измельчение >> Точила для ножей >> Точила для ножей RESTO,resto,Точилка кухонних ножів RESTO 95124,,349,1,https://comfy.ua/tochilka-kuhonnyh-nozhej-resto-95124.html,,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
1688732648,6984711,STEAMONE,Машинка для чистки трикотажа STEAMONE RP10B,1499,2840781,Дом и отдых >> Хранение и уход за одеждой >> Триммеры для ткани >> Триммеры для ткани SteamOne,steamone,Тример для тканини SteamOne RP10B,,1499,1,https://comfy.ua/trimmer-dlja-tkani-steamone-rp10b.html,,05.11.2025 19:47,,"вул. Соборна, 42",Фастів,0
1688732673,,,,,2851951,Смарт-часы и гаджеты >> Аксессуары,powerplant,Зарядний пристрій для екшн-камери PowerPlant GoPro DL-AHDBT901 (CH980352),,339,1,https://comfy.ua/z-ustrojstvo-dlja-jekshn-kamery-powerplant-gopro-dl-ahdbt901-ch980352.html,,05.11.2025 18:23,,"вул. Соборна, 42",Фастів,0
1688738453,6917105,POWERPLANT,Powerbank POWERPLANT 24000 mAh PD 60W DC Wireless Black (PB930463),4999,2966225,Смартфоны и телефоны >> Аксессуары для смартфонов >> Мобильные батареи >> Мобильные батареи PowerPlant,powerplant,Батарея мобільна PowerPlant 24000mAh PD 60W 2xUSB-C USB-A QC3.0 Wireless (PB930463),,3999,1,https://comfy.ua/batareja-mobil-naja-powerplant-24000mah-pd-60w-2xusb-c-usb-a-qc3-0-wireless-pb930463.html,,05.11.2025 17:20,,"вул. Соборна, 42",Фастів,0
1688756823,,,,,2945494,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",poly,Веб-камера для комп'ютера Poly Studio R30 (842D2AA),,41279,1,https://comfy.ua/veb-kamera-dlja-komp-jutera-poly-studio-r30-842d2aa.html,,05.11.2025 19:48,,"вул. Соборна, 42",Фастів,0
