1689091003,,,,,2968921,Детские товары >> Игрушки >> Куклы и пупсы >> Куклы >> Куклы Disney,disney,"""Лялька Disney Принцеса з м/ф """"Крижане серце"""" (в ас.) (HPL56)""",,299,1,https://comfy.ua/mini-kukla-disney-princessa-iz-m-f-ledjanoe-serdce-v-as-hpl56.html,,05.11.2025 22:06,,"вул. Соборна, 42",Фастів,0
1689091005,,,,,2968928,Детские товары >> Игрушки,polly-pocket,"""Ляльковий набір Polly Pocket """"Сюрпризи в шафі"""" (в ас.) (HRD64)""",,649,1,https://comfy.ua/mini-kukla-nabor-polly-pocket-sjurprizy-v-shkafu-v-ass-hrd64.html,,05.11.2025 22:19,,"вул. Соборна, 42",Фастів,0
1689092176,,,,,2968930,Детские товары >> Игрушки >> Куклы и пупсы >> Куклы >> Куклы Polly Pocket,polly-pocket,"""Ляльковий набір Polly Pocket """"Дивовижний світ"""" (в ас.) (GKJ63)""",,1499,1,https://comfy.ua/mini-kukla-nabor-polly-pocket-udivitel-nyj-mir-v-as-gkj63.html,,05.11.2025 21:56,,"вул. Соборна, 42",Фастів,0
1689092179,,,,,2968933,Детские товары >> Игрушки,disney,Колекційна лялька Disney Принцеса (в ас.) (HPL55),,299,1,https://comfy.ua/kollekcionnaja-kukla-disney-princessa-v-ass-hpl55.html,399,05.11.2025 22:36,,"вул. Соборна, 42",Фастів,0
1689092204,,,,,2968916,Детские товары >> Игрушки,barbie,Меблі і будиночки для ляльки Barbie Двоповерхова шафа мрії з лялькою  (HGX57),,4799,1,https://comfy.ua/mebel-i-domiki-dlja-kukly-barbie-dvuhjetazhnyj-shkaf-mechty-s-kukloj-hgx57.html,,05.11.2025 21:52,,"вул. Соборна, 42",Фастів,0
1689092206,,,,,2968917,Детские товары >> Игрушки >> Куклы и пупсы >> Куклы >> Куклы Barbie,barbie,"""Ігровий набір Barbie """"Маленьке тріо""""  (HCK75)""",,1299,1,https://comfy.ua/igrovoj-nabor-barbie-malen-koe-trio-hck75.html,1699,05.11.2025 22:01,,"вул. Соборна, 42",Фастів,0
1689093244,7037899,BABOO,Нагрудник Baboo Me to You 3+ месяца White (5057778111006),119,2957346,Детские товары >> Кормление >> Нагрудники детские >> Нагрудники детские Baboo,baboo,Нагрудник тканинний Baboo Me to You 3+ міс (11-100),,119,1,https://comfy.ua/nagrudnik-tkanevyj-baboo-me-to-you-3-mes-white-11-100.html,,05.11.2025 20:52,,"вул. Соборна, 42",Фастів,0
1689094148,,,,,.2845692,Инструменты и автотовары >> Ручные инструменты,werk,Лещата Werk 125 мм (47171),,3099,1,https://comfy.ua/tiski-werk-125-mm-47171.html,,05.11.2025 21:16,,"вул. Соборна, 42",Фастів,0
1689094150,,,,,.2845682,Инструменты и автотовары >> Ручные инструменты,haisser,Лещата Haisser 100 мм (47138),,3869,1,https://comfy.ua/tiski-haisser-100-mm-47138.html,,05.11.2025 21:24,,"вул. Соборна, 42",Фастів,0
1689094151,,,,,.2845683,Инструменты и автотовары >> Ручные инструменты,haisser,Лещата Haisser 125 мм (47139),,4879,1,https://comfy.ua/tiski-haisser-125-mm-47139.html,,05.11.2025 21:08,,"вул. Соборна, 42",Фастів,0
1689094152,,,,,.2845684,Инструменты и автотовары >> Ручные инструменты,haisser,Лещата Haisser 150 мм (47140),,5749,1,https://comfy.ua/tiski-haisser-150-mm-47140.html,,05.11.2025 21:33,,"вул. Соборна, 42",Фастів,0
1689094153,,,,,.2845685,Инструменты и автотовары >> Ручные инструменты,haisser,Лещата Haisser 200 мм (47141),,8099,1,https://comfy.ua/tiski-haisser-200-mm-47141.html,,05.11.2025 21:24,,"вул. Соборна, 42",Фастів,0
1689097682,6980369,PERWOLL,Гель для стирки PERWOLL Восстановление и аромат 3750мл (9000101810233),619,2949276,Бытовая химия >> Средства для стирки >> Гели для стирки >> Гели для стирки Perwoll,perwoll,Гель для прання Perwoll Відновлення та Аромат 3750 мл (9000101810233),,689,1,https://comfy.ua/gel-dlja-stirki-perwoll-vosstanovlenie-i-aromat-3750-ml-9000101810233.html,1064,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
1689097683,6973000,PERSIL,Гель для стирки Persil Color Gel Deep Clean 66 циклов стирки 2.97 л (9000101599091),759,2949288,Бытовая химия >> Средства для стирки >> Гели для стирки >> Гели для стирки Persil,persil,"Гель для прання Persil Колор 2,97 л, 66 цикла",,749,1,https://comfy.ua/gel-dlja-stirki-persil-kolor-2-97-l-66-cikla.html,1378,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,1
1689099009,,,,,2569615,Детские товары >> Подгузники и пеленание >> Подгузники >> Подгузники Huggies,huggies,"Одноразові підгузки Huggies Extra Care Розмір 0 (< 3,5 кг), 25 шт. (5029053548647)",,225,1,https://comfy.ua/odnorazovye-podguzniki-huggies-extra-care-razmer-0-3-5-kg-25-sht-5029053548647.html,270,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
1689099014,,,,,2964446,Детские товары >> Подгузники и пеленание >> Подгузники >> Подгузники Huggies,huggies,"Одноразові підгузки-трусики Huggies Extra Care Pозмір 6 (15-25кг), 60 шт. (5029053582429)",,1449,1,https://comfy.ua/odnorazovye-podguzniki-trusiki-huggies-extra-care-razmer-6-15-25kg-60-sht-5029053582429.html,1954,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
1689099910,,,,,2964445,Детские товары >> Подгузники и пеленание >> Подгузники >> Подгузники Huggies,huggies,"Одноразові підгузки-трусики Huggies Extra Care Pозмір 5 (12-17кг), 68 шт. (5029053582412)",,1449,1,https://comfy.ua/odnorazovye-podguzniki-trusiki-huggies-extra-care-razmer-5-12-17kg-68-sht-5029053582412.html,1954,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
1689099911,,,,,2964444,Детские товары >> Подгузники и пеленание >> Подгузники >> Подгузники Huggies,huggies,"Одноразові підгузки-трусики Huggies Extra Care Pозмір 4 (9-14 кг), 80 шт. (5029053582405)",,1449,1,https://comfy.ua/odnorazovye-podguzniki-trusiki-huggies-extra-care-razmer-4-9-14-kg-80-sht-5029053582405.html,1954,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
