929245801,6874058,PRONTO,Полироль для мебели PRONTO Лимон 300 мл (4823002000511),119,1748716,Бытовая химия >> Все для уборки >> Средства по уходу за мебелью >> Средства по уходу за мебелью SC Johnson,sc-johnson,Засіб для чищення універсальний SC Johnson Pronto 300 мл полироль для мебели Лимон (4823002000511),,81,1,https://comfy.ua/chistjaschee-sredstvo-universal-noe-sc-johnson-pronto-300-ml-polirol-dlja-mebeli-limon-4823002000511.html,,05.11.2025 19:42,,"вул. Соборна, 42",Фастів,0
929245802,6828128,PRONTO,Средство для ухода за мебелью Pronto Антипыль и антиаллерген 250 мл (5010182991602),196,1751316,Бытовая химия >> Все для уборки >> Средства по уходу за мебелью >> Средства по уходу за мебелью SC Johnson,sc-johnson,Засіб для чищення універсальний SC Johnson Pronto поліроль Антипил і Антиалерген 250 мл (5010182991602),,164,1,https://comfy.ua/chistjaschee-sredstvo-universal-noe-sc-johnson-pronto-polirol-antipyl-i-antiallergen-250-ml-5010182991602.html,196,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
929245809,,,,,.1697317,Бытовая химия >> Для кухни и мытья посуды,lion,Засіб для ручного миття посуду Lion CHG Grain 750 г,,329,1,https://comfy.ua/sredstvo-dlja-ruchnogo-myt-ja-posudy-lion-chg-grain-750-g.html,,05.11.2025 19:45,,"вул. Соборна, 42",Фастів,0
929245811,,,,,1809581,Бытовая химия >> Для кухни и мытья посуды,lion,Засіб для ручного миття посуду Lion CHG Plant запаска 1.2 л (8806325618683),,254,1,https://comfy.ua/sredstvo-dlja-ruchnogo-myt-ja-posudy-lion-chg-plant-zapaska-1-2-l-8806325618683.html,,05.11.2025 19:38,,"вул. Соборна, 42",Фастів,0
929245830,,,,,1697322,Бытовая химия >> Для кухни и мытья посуды,lion,Засіб для ручного миття посуду Lion Зеленый чай 960 мл,,312,1,https://comfy.ua/sredstvo-dlja-ruchnogo-myt-ja-posudy-lion-zelenyj-chaj-960-ml.html,,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
929245835,6706510,BECOVER,Чехол BECOVER DL0005 Dark Gray (706065) + органайзер для наушников,399,1808102,"Дом, отдых и зоотовары >> Отдых и путешествия >> Сумки и рюкзаки >> Сумки и рюкзаки BeCover",becover,Поясна сумка BeCover DL0005 Dark Gray (706065) +органайзер для наушников,,399,1,https://comfy.ua/pojasnaja-sumka-becover-dl0005-dark-gray-706065-organajzer-dlja-naushnikov.html,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
929245870,7088320,BRABANTIA,Пакеты для мусора Brabantia Bin Liners S 6 л 10 шт Green (419683_MIRS),210,1725379,Бытовая химия >> Для кухни и мытья посуды >> Пакеты для мусора >> Пакеты для мусора Brabantia,brabantia,Пакет для сміття Brabantia набір 419683,,279,1,https://comfy.ua/paket-musornyj-brabantia-nabor-419683.html,,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
929245873,6987410,BRABANTIA,Пакеты для мусора BRABANTIA L 45 л 10 шт (371547),349,1075291,Бытовая химия >> Для кухни и мытья посуды >> Пакеты для мусора >> Пакеты для мусора Brabantia,brabantia,Пакет для сміття Brabantia L  371547,,349,1,https://comfy.ua/paket-musornyj-brabantia-l-371547.html,,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
929245874,6987352,BRABANTIA,Пакеты для мусора BRABANTIA M 60 л 10 шт (126901),389,1701247,Бытовая химия >> Для кухни и мытья посуды >> Пакеты для мусора >> Пакеты для мусора Brabantia,brabantia,Пакет для сміття Brabantia M 126901,,389,1,https://comfy.ua/paket-musornyj-brabantia-m-126901.html,,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
929245880,6660841,VIOLET HOUSE,Ведро для мусора VIOLET HOUSE 0098 WHITE 30 л,929,1814924,Бытовая химия >> Для кухни и мытья посуды >> Мусорные баки и аксессуары >> Мусорные баки и аксессуары VIOLET HOUSE,violet-house,Кошик для сміття VIOLET HOUSE 0098 White с/кр.30 л,,999,1,https://comfy.ua/korzina-dlja-musora-violet-house-0098-white-s-kr-30-l.html,,05.11.2025 19:40,,"вул. Соборна, 42",Фастів,0
929245883,7061361,JOSEPH JOSEPH,Пакеты для мусора JOSEPH JOSEPH 24-36 л (30006),475,1754426,Бытовая химия >> Для кухни и мытья посуды >> Пакеты для мусора >> Пакеты для мусора Joseph Joseph,joseph-joseph,Пакет для сміття Joseph Joseph 24-36 л 30006,,475,1,https://comfy.ua/paket-musornyj-joseph-joseph-24-36-l-30006.html,,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
929245885,6987300,BRABANTIA,Пакеты для мусора BRABANTIA J 23 л 40 шт (115608),739,1710778,Бытовая химия >> Для кухни и мытья посуды >> Пакеты для мусора >> Пакеты для мусора Brabantia,brabantia,Пакет для сміття Brabantia 115608,,869,1,https://comfy.ua/paket-musornyj-brabantia-115608.html,,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
929246380,6707232,IDEA HOME,Набор вешалок IDEA HOME 8 шт Blue,139,1814953,"Дом, отдых и зоотовары >> Хранение и уход за одеждой >> Вешалки и чехлы для одежды >> Вешалки и чехлы для одежды Idea Home",idea-home,Вішалка Idea Home 39.4х21 см 8 шт. Blue (6707232),,219,1,https://comfy.ua/veshalka-idea-home-39-4h21-sm-8-sht-blue-6707232.html,,05.11.2025 20:00,,"вул. Соборна, 42",Фастів,0
929246381,6707233,IDEA HOME,Вешалка IDEA HOME 8 шт Pink (6707233),139,1814954,"Дом, отдых и зоотовары >> Хранение и уход за одеждой >> Вешалки и чехлы для одежды >> Вешалки и чехлы для одежды Idea Home",idea-home,Вішалка Idea Home 39.4х21 см 8 шт. Pink (6707233),,199,1,https://comfy.ua/veshalka-idea-home-39-4h21-sm-8-sht-pink-6707233.html,,05.11.2025 20:03,,"вул. Соборна, 42",Фастів,0
929246382,6707234,IDEA HOME,Набор вешалок IDEA HOME 8 шт Turquoise,139,1814955,"Дом, отдых и зоотовары >> Хранение и уход за одеждой >> Вешалки и чехлы для одежды >> Вешалки и чехлы для одежды Idea Home",idea-home,Вішалка Idea Home 39.4х21 см 8 шт. Turquoise (6707234),,219,1,https://comfy.ua/veshalka-idea-home-39-4h21-sm-8-sht-turquoise-6707234.html,,05.11.2025 20:01,,"вул. Соборна, 42",Фастів,0
