1644736137,column,column,column,column,2760958,Смартфоны и телефоны >> Аксессуары для смартфонов,xoko,____xoko_full_cover_ultrathin_025_oppo_a54sa54_black_2__xkfcuopa54,column,299,1,httpscomfyuazaschitnoesteklodljasmartfonaxokofullcoverultrathin025mmoppoa54sa54black2shtxkfcuopa54html,column,05112025_2049,column,__42,Фастів,0
1644852867,6895727,BENQ,Проектор BENQ MW560 White (9H.JNF77.1JE),17329,2489141,Телевизоры и мультимедиа >> Проекторы и экраны >> Проекторы >> Проекторы BenQ,benq,Проектор BenQ MW560 (9H.JNF77.1JE),,17329,1,https://comfy.ua/proektor-benq-mw560-9h-jnf77-1je.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1644852868,,,,,2769063,Телевизоры и мультимедиа >> Проекторы и экраны,atria,Екран ATRIA MRSM-HD-120D,,5445,1,https://comfy.ua/jekran-atria-mrsm-hd-120d.html,,05.11.2025 17:54,,"вул. Соборна, 42",Фастів,0
1644853148,6856347,SAMTRONIC,Саундбар Samtronic SM2120 трансформер 40 Вт Black,3299,2776027,Телевизоры и мультимедиа >> Мультимедиа и звук,samtronic,Сабвуфер Samtronic SM2120,,3839,1,https://comfy.ua/sabvufer-samtronic-sm2120.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
1644854619,,,,,2784082,"Детские товары >> Уход, купание и гигиена",esperanza,Ваги для дітей Esperanza EBS019 Bebe,,845,1,https://comfy.ua/vesy-dlja-detej-esperanza-ebs019-bebe.html,999,05.11.2025 20:36,,"вул. Соборна, 42",Фастів,0
1644855456,7113213,ELECTROLUX,Ароматизатор ELECTROLUX E2WASF00 300мл (902980448),429,2777824,Бытовая химия >> Средства для чистки техники >> Средства для чистки стиральных машин >> Средства для чистки стиральных машин Electrolux,electrolux,"Ароматизатор для пральних машин Electrolux Perfect Care E2WASF00, 300 мл",,363,1,https://comfy.ua/aromatizator-dlja-stiral-nyh-mashin-electrolux-perfect-care-e2wasf00-300-ml.html,,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
1644866132,,,,,.2784047,Красота и здоровье >> Уход за полостью рта,sencor,Зубна щітка електрична Sencor SOC 0811RS,,659,1,https://comfy.ua/zubnaja-schetka-jelektricheskaja-sencor-soc-0811rs.html,,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
1644866712,,,,,2712601,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Sambro,sambro,"""Колекційна фігурка Sambro """"Bop n Tops"""" – ЩЕНЯЧИЙ ПАТРУЛЬ (1 фігурка, 18 видів в асорт.) (PWP20-6468-CDU-KV-FO)""",,67,1,https://comfy.ua/kollekcionnaja-figurka-sambro-bop-n-tops-schenjachij-patrul-1-fig-18-vidov-v-assor-pwp20-6468-cdu-kv-fo.html,,06.11.2025 1:01,,"вул. Соборна, 42",Фастів,0
1644866720,,,,,.2712566,Детские товары >> Игрушки,sambro,"""Колекційна фігурка Sambro """"Bop n Tops"""" – ЩЕНЯЧИЙ ПАТРУЛЬ (3 фігурки, в асорт.) (PWP20-3980-KV-FO)""",,69,1,https://comfy.ua/kollekcionnaja-figurka-sambro-bop-n-tops-schenjachij-patrul-3-fig-v-assort-pwp20-3980-kv-fo.html,139,05.11.2025 23:52,,"вул. Соборна, 42",Фастів,0
1644866721,,,,,2712593,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Sambro,sambro,"""Колекційна фігурка Sambro """"Bop n Tops"""" – ПРИНЦЕСИ ДІСНЕЙ (3 фігурки, в асорт.) (DSP20-3980-KV-FO)""",,69,1,https://comfy.ua/kollekcionnaja-figurka-sambro-bop-n-tops-princessy-disnej-3-fig-v-assor-dsp20-3980-kv-fo.html,139,06.11.2025 0:39,,"вул. Соборна, 42",Фастів,0
1644866722,,,,,2712594,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Sambro,sambro,"""Колекційна фігурка Sambro """"Bop n Tops"""" – МАРВЕЛ (3 фігурки, в асорт.) (MAR-3980-KV-FO)""",,69,1,https://comfy.ua/kollekcionnaja-figurka-sambro-bop-n-tops-marvel-3-figurki-v-assort-mar-3980-kv-fo.html,139,06.11.2025 1:01,,"вул. Соборна, 42",Фастів,0
1644866726,,,,,2712596,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Sambro,sambro,"""Колекційна фігурка Sambro """"Bop n Tops"""" – МАРВЕЛ (5 фігурок, в асорт.) (MAR-3562-KV-FO)""",,99,1,https://comfy.ua/kollekcionnaja-figurka-sambro-bop-n-tops-marvel-5-figurok-v-assort.html,199,06.11.2025 0:39,,"вул. Соборна, 42",Фастів,0
1644866727,7121836,SAMBRO,acc/child SAMBRO Набір фігурок-топерів Принцеси Дісней 5 шт (DSP20-3562-KV-FO),154,2712595,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Sambro,sambro,"""Колекційна фігурка Sambro """"Bop n Tops"""" – ПРИНЦЕСИ ДІСНЕЙ (5 фігурок, в асорт.) (DSP20-3562-KV-FO)""",,94,1,https://comfy.ua/kollekcionnaja-figurka-sambro-bop-n-tops-princessy-disnej-5-fig-v-assor-dsp20-3562-kv-fo.html,199,06.11.2025 0:21,,"вул. Соборна, 42",Фастів,0
1644866731,,,,,2777787,Детские товары >> Прогулки и поездки >> Аксессуары и комплектующие для детских колясок >> Аксессуары и комплектующие для детских колясок Lionelo,lionelo,Сумка для батьків Lionelo Little Cube Grey Stone,,1099,1,https://comfy.ua/sumka-dlja-roditelej-lionelo-little-cube-grey-stone.html,,05.11.2025 20:59,,"вул. Соборна, 42",Фастів,0
1644866732,,,,,2777786,Детские товары >> Прогулки и поездки >> Аксессуары и комплектующие для детских колясок >> Аксессуары и комплектующие для детских колясок Lionelo,lionelo,Сумка для батьків Lionelo Little Cube Green Forest,,1099,1,https://comfy.ua/sumka-dlja-roditelej-lionelo-little-cube-green-forest.html,,05.11.2025 20:52,,"вул. Соборна, 42",Фастів,0
1644866905,,,,,2776046,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки Xiaomi,xiaomi,Насадка для зубної щітки Xiaomi T302 Repl. Heads White,,599,1,https://comfy.ua/nasadka-dlja-zubnoj-schetki-xiaomi-t302-repl-heads-white.html,,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
1644866906,,,,,2776045,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки Xiaomi,xiaomi,Насадка для зубної щітки Xiaomi T302 Repl. Heads Dark Blue,,599,1,https://comfy.ua/nasadka-dlja-zubnoj-schetki-xiaomi-t302-repl-heads-dark-blue.html,,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
1644866936,,,,,.2785116,Детские товары >> Игрушки,fortnite,Колекційна фігурка Fortnite Micro Legendary Series Mission Specialist (FNT0952),,279,1,https://comfy.ua/kollekcionnaja-figurka-fortnite-micro-legendary-series-mission-specialist-fnt0952.html,395,06.11.2025 0:28,,"вул. Соборна, 42",Фастів,0
