755139185,6611245,GOKI,Развивающая игра GOKI Счетные бруски (58535G),440,1718948,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки goki,goki,Настільна гра (8+) goki Рахункові бруски (58535G),,440,1,https://comfy.ua/nastol-naja-igra-razvivajuschaja-8-goki-schetnye-bruski-58535g.html,551,06.11.2025 1:31,,"вул. Соборна, 42",Фастів,0
755139198,,,,,1707381,Детские товары >> Игрушки >> Радиоуправляемые игрушки >> Радиоуправляемые игрушки Syma,syma,Квадрокоптер для дітей Syma X15A Black (X15A_black),,2749,1,https://comfy.ua/kvadrokopter-dlja-detej-syma-x15a-black-x15a-black.html,,05.11.2025 23:25,,"вул. Соборна, 42",Фастів,0
755139206,6622768,GORENJE,Варочная поверхность GORENJE G642ABX (BG6AA-G0B),8888,1713571,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Gorenje,gorenje,Варильна поверхня газова Gorenje G642ABX,,8399,1,https://comfy.ua/varochnaja-panel-gazovaja-gorenje-g642abx.html,11899,05.11.2025 18:52,,"вул. Соборна, 42",Фастів,1
755139219,,,,,.1719004,Детские товары >> Игрушки,sigikid,М'яка іграшка Sigikid Beasts Кролик 31 см (39159SK),,1899,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-sigikid-beasts-krolik-31-sm-39159sk.html,,06.11.2025 1:22,,"вул. Соборна, 42",Фастів,0
755139220,6970520,NATTOU,Сумка для подгузников NATTOU (963626),333,1716295,Детские товары >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Nattou,nattou,М'яка іграшка Nattou Лулу (963626),,399,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-nattou-lulu-963626.html,,06.11.2025 1:38,,"вул. Соборна, 42",Фастів,0
755139226,6622987,GORENJE,Варочная поверхность GORENJE GW642ABX (BG6AB-G0B),11799,1718959,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Gorenje,gorenje,Варильна поверхня газова Gorenje GW642ABX,,11799,1,https://comfy.ua/varochnaja-panel-gazovaja-gorenje-gw642abx.html,,05.11.2025 21:07,,"вул. Соборна, 42",Фастів,0
755139250,6651569,RUSSELL HOBBS,Электрочайник RUSSELL HOBBS 26050-70 Honeycomb White,1434,1715660,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Russell Hobbs,russell-hobbs,Електричний чайник Russell Hobbs 26050-70 Honeycomb White,,1699,1,https://comfy.ua/jelektricheskij-chajnik-russell-hobbs-26050-70-honeycomb-white.html,2349,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
755139251,,,,,1715659,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Russell Hobbs,russell-hobbs,Електричний чайник Russell Hobbs 26051-70 Honeycomb Black,,1699,1,https://comfy.ua/jelektricheskij-chajnik-russell-hobbs-26051-70-honeycomb-black.html,2349,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
755139255,,,,,1696662,Детские товары >> Игрушки для малышей,canpol-babies,Книжка-іграшка Canpol babies Bears (68/075_cor),,609,1,https://comfy.ua/knizhka-igrushka-canpol-babies-bears-68-075-cor.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
755157548,6606038,GAMEPRO,Клавиатура GAMEPRO Stinger GK599,599,1717745,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Клавиатуры >> Клавиатуры GamePro",gamepro,Клавіатура дротова ігрова GamePro Stinger (GK599),,599,1,https://comfy.ua/klaviatura-provodnaja-igrovaja-gamepro-stinger-gk599.html,799,05.11.2025 18:03,,"вул. Соборна, 42",Фастів,0
755158075,6651566,RUSSELL HOBBS,Электрочайник RUSSELL HOBBS 25240-70 Geo Steel,3799,1715666,Техника для кухни >> Мелкая техника,russell-hobbs,Електричний чайник Russell Hobbs 25240-70 Geo Steel,,3799,1,https://comfy.ua/catalog/product/view/id/1762393/s/jelektricheskij-chajnik-russell-hobbs-25240-70-geo-steel,4399,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
