742461866,column,column,column,column,1679576,_____________tescoma,tescoma,__tescoma_862008_sonic_12_,column,201,1,httpscomfyuanozhkuhonnyjtescoma862008sonic12smhtml,column,05112025_1906,column,__42,Фастів,0
742462575,,,,,1678828,Посуда >> Нарезка и измельчение,tescoma,Ніж сантоку tescoma 884826 Feelwood 17 см,,1699,1,https://comfy.ua/catalog/product/view/id/1340483,,05.11.2025 20:04,,"вул. Соборна, 42",Фастів,0
742463252,6987423,WUESTHOF,Набор ножей WUESTHOF Classic 8 пр (1090170701),26572,1668778,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Wuesthof,wuesthof,Набір ножів Wuesthof 7 шт. 1090170701,,26572,1,https://comfy.ua/nabor-nozhej-wuesthof-7-sht-1090170701.html,,05.11.2025 19:49,,"вул. Соборна, 42",Фастів,0
742463686,,,,,1673877,"Ноутбуки, планшеты и компьютерная техника >> Мониторы",philips,Монітор Philips 162B9T/00,,14449,1,https://comfy.ua/catalog/product/view/id/1336463,,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
742477310,,,,,1678906,Техника для кухни >> Мелкая техника,tescoma,Ваги кухонні tescoma 634512  Accura 5.0 кг,,1699,1,https://comfy.ua/catalog/product/view/id/1344983,,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
742513640,,,,,1678869,Посуда >> Для запекания и выпечки,tescoma,Форма для приготування tescoma 633059 Delicia Deco цифри ретро,,449,1,https://comfy.ua/catalog/product/view/id/1341923,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
742513641,,,,,1678868,Посуда >> Для запекания и выпечки,tescoma,Форма для приготування tescoma 633058 Delicia Deco цифри,,449,1,https://comfy.ua/catalog/product/view/id/1341793,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
742513644,,,,,1677928,Посуда >> Для запекания и выпечки,tescoma,Форма для приготування tescoma 623332 Різдвяний дзвіночок Delicia,,449,1,https://comfy.ua/catalog/product/view/id/1308643,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
742513746,,,,,1678862,Посуда >> Для запекания и выпечки,tescoma,Форма для приготування tescoma 633055 Delicia Deco алфавіт ретро,,599,1,https://comfy.ua/catalog/product/view/id/1341613,,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
742513747,,,,,1678861,Посуда >> Для запекания и выпечки,tescoma,Форма для приготування tescoma 633054 Delicia Deco алфавіт,,599,1,https://comfy.ua/catalog/product/view/id/1341003,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
742513913,,,,,1678858,Посуда >> Для запекания и выпечки,tescoma,Форма для приготування tescoma 633042 бордюр з квітами,,599,1,https://comfy.ua/catalog/product/view/id/1340273,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
742514017,,,,,1642540,"Аудио, фото и видео >> Наушники >> Наушники REAL-EL",real-el,Гарнітура дротова ігрова REAL-EL GDX-7620 Black,,975,1,https://comfy.ua/garnitura-provodnaja-igrovaja-real-el-gdx-7620-black.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
742514298,,,,,1678799,Посуда >> Для приготовления,tescoma,Ківш tescoma 774446 Home Profi 14 см 1.8 л для молока,,1699,1,https://comfy.ua/catalog/product/view/id/1344853,,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
742514354,,,,,1678857,Посуда >> Для запекания и выпечки,tescoma,Форма для приготування tescoma 633040 бордюр з сердечками,,599,1,https://comfy.ua/catalog/product/view/id/1340233,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
742514356,,,,,1678860,Посуда >> Для запекания и выпечки,tescoma,Форма для приготування tescoma 633046 бордюр з дорогоцінними каменями,,599,1,https://comfy.ua/catalog/product/view/id/1340813,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
742514383,,,,,1677936,Посуда >> Для запекания и выпечки,tescoma,Форма для приготування tescoma 623142 Delicia 22 см,,999,1,https://comfy.ua/catalog/product/view/id/1308873,,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
742514386,,,,,1677924,Посуда >> Для запекания и выпечки,tescoma,Форма для приготування tescoma 629352 Delicia Silicone,,599,1,https://comfy.ua/catalog/product/view/id/1308123,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
742514390,,,,,1677911,Посуда >> Для запекания и выпечки,tescoma,Форма для випічки tescoma 623254 Delicia 22 см,,899,1,https://comfy.ua/catalog/product/view/id/1306893,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
742514391,,,,,1677912,Посуда >> Для запекания и выпечки,tescoma,Форма для випічки tescoma 623258 Delicia 26 см,,1149,1,https://comfy.ua/catalog/product/view/id/1306933,,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
742514392,,,,,1677916,Посуда >> Для запекания и выпечки,tescoma,Форма для випічки tescoma 623380 Delicia,,1022,1,https://comfy.ua/catalog/product/view/id/1307073,,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
742514416,,,,,1661870,Посуда >> Для напитков,tescoma,Чашка tescoma 387192.43 Crema Shine Gray,,299,1,https://comfy.ua/chashka-tescoma-387192-43-crema-shine-gray.html,,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
742514422,6618360,KRAUFF,Кастрюля KRAUFF Recht 2.6 л (2626-242-047),796,1680050,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Krauff,krauff,"Каструля Krauff 26-242-047 2,6 л.",,797,1,https://comfy.ua/kastrjulja-krauff-26-242-047-2-6-l.html,1328,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
742514424,6618361,KRAUFF,Кастрюля KRAUFF Recht 3.6 л (2626-242-048),876,1680051,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Krauff,krauff,"Каструля Krauff 26-242-048 3,6 л.",,876,1,https://comfy.ua/kastrjulja-krauff-26-242-048-3-6-l.html,1460,05.11.2025 20:56,,"вул. Соборна, 42",Фастів,0
