1689101299,column,column,column,column,2541273,______________fiskars,fiskars,_fiskars_quikfit_1000680,column,549,1,httpscomfyuarazryhlitelfiskarsquikfit1000680html,column,05112025_2117,column,__42,Фастів,0
1689106202,,,,,2955452,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,Настільна гра (5-7 років) Strateg Cheese Jenga 48 брусків (30718),,109,1,https://comfy.ua/nastol-naja-igra-razvlekatel-naja-5-7-let-strateg-cheese-jenga-48-bruskov-30718.html,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
1689106204,6982768,SENCOR,Измельчитель SENCOR Accu technology SCB9001GY,1799,2953909,Техника для кухни >> Мелкая техника >> Измельчители >> Измельчители Sencor,sencor,Подрібнювач Sencor SCB9001GY,,1799,1,https://comfy.ua/izmel-chitel-sencor-scb9001gy.html,2499,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
1689106206,7057077,STRATEG,Настольная игра STRATEG Jenga Сдерживай баланс (30722),95,2955453,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,Настільна гра (5-7 років) Strateg Стримуй баланс Jenga 48 брусків (30722),,115,1,https://comfy.ua/nastol-naja-igra-razvlekatel-naja-5-7-let-strateg-sderzhivaj-balans-jenga-48-bruskov-30722.html,,05.11.2025 22:23,,"вул. Соборна, 42",Фастів,0
1689106207,,,,,2955454,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,Настільна гра (12+) Strateg Крокодил №2 (30725),,119,1,https://comfy.ua/nastol-naja-igra-obschenie-12-strateg-krokodil-2-30725.html,,05.11.2025 22:40,,"вул. Соборна, 42",Фастів,0
1689106208,,,,,2955455,Детские товары >> Игрушки,strateg,Настільна гра (5-7 років) Strateg Джанга класік Еко 48 брусків (30727),,115,1,https://comfy.ua/nastol-naja-igra-razvlekatel-naja-5-7-let-strateg-dzhanga-klassik-jeko-48-bruskov-30727.html,,05.11.2025 20:06,,"вул. Соборна, 42",Фастів,0
1689106209,7057011,STRATEG,Настольная игра STRATEG Domino Limited edition укр (30736),1148,2955456,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,Настільна гра (3-4 роки) Strateg Domino Limited edition зелена (30736),,1405,1,https://comfy.ua/nastol-naja-igra-razvivajuschaja-3-4-goda-strateg-domino-limited-edition-zelenaja-30736.html,,05.11.2025 23:34,,"вул. Соборна, 42",Фастів,0
1689106210,7057010,STRATEG,Настольная игра STRATEG Domino Limited edition укр (30737),1148,2955457,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,Настільна гра (3-4 роки) Strateg Domino Limited edition бежева (30737),,1405,1,https://comfy.ua/nastol-naja-igra-razvivajuschaja-3-4-goda-strateg-domino-limited-edition-bezhevaja-30737.html,,05.11.2025 23:10,,"вул. Соборна, 42",Фастів,0
1689106211,7045330,STRATEG,Настольная игра Strateg Джанга 54 бруска укр (30770),235,2955458,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,Настільна гра (5-7 років) Strateg Джанга 54 бруски (30770),,315,1,https://comfy.ua/nastol-naja-igra-razvlekatel-naja-5-7-let-strateg-dzhanga-54-bruska-30770.html,,05.11.2025 22:38,,"вул. Соборна, 42",Фастів,0
1689106212,7045329,STRATEG,Настольная игра STRATEG Джанга 60 брусков укр (30771),379,2955459,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,Настільна гра (5-7 років) Strateg Джанга 60 брусків (30771),,369,1,https://comfy.ua/nastol-naja-igra-razvlekatel-naja-5-7-let-strateg-dzhanga-60-bruskov-30771.html,,05.11.2025 22:11,,"вул. Соборна, 42",Фастів,0
1689106213,,,,,2955460,Детские товары >> Игрушки,strateg,Настільна гра (18+) Strateg ЗСУ темна (30789),,40,1,https://comfy.ua/nastol-naja-igra-kartochnaja-18-strateg-vsu-temnyj-30789.html,,05.11.2025 23:10,,"вул. Соборна, 42",Фастів,0
1689106214,7057079,STRATEG,Настольная игра STRATEG Fire Jenga (30848),95,2955461,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,Настільна гра (5-7 років) Strateg Fire Jenga 48 брусків (30848),,115,1,https://comfy.ua/nastol-naja-igra-razvlekatel-naja-5-7-let-strateg-fire-jenga-48-bruskov-30848.html,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
1689106215,7057076,STRATEG,Настольная игра STRATEG Jenga Tale (30966),95,2955462,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,Настільна гра (5-7 років) Strateg Jenga Tale 48 брусків (30966),,115,1,https://comfy.ua/nastol-naja-igra-razvlekatel-naja-5-7-let-strateg-jenga-tale-48-bruskov-30966.html,,05.11.2025 22:15,,"вул. Соборна, 42",Фастів,0
1689106216,,,,,2955628,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,Настільна гра (12+) Strateg Комічні Меми розважальна українською мовою (30317),,60,1,https://comfy.ua/nastol-naja-igra-kartochnaja-12-strateg-komicheskie-memy-razvlekatel-naja-na-ukrainskom-jazyke-30317.html,,05.11.2025 22:02,,"вул. Соборна, 42",Фастів,0
1689106217,,,,,2955629,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,Настільна гра (12+) Strateg Добрий день Everybody розважальна українською мовою (30272),,55,1,https://comfy.ua/nastol-naja-igra-kartochnaja-12-strateg-dobryj-den-everybody-razvlekatel-naja-na-ukrainskom-jazyke-30272.html,,05.11.2025 23:34,,"вул. Соборна, 42",Фастів,0
1689106218,,,,,2955630,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,"Настільна гра (12+) Strateg Рускій воєнний корабль, іди на... дно патріотична українською мовою (30987)",,78,1,https://comfy.ua/nastol-naja-igra-kartochnaja-12-strateg-russkij-voennyj-korabel-idi-na-dno-patrioticheskoe-na-ukrainskom-jazyke-30987.html,,05.11.2025 22:38,,"вул. Соборна, 42",Фастів,0
1689106219,7057049,STRATEG,Настольная игра STRATEG Материнская ласка укр (30291),99,2955631,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,Настільна гра (3-4 роки) Strateg Матусина ласка сімейна розвиваюча українською мовою (30291),,159,1,https://comfy.ua/nastol-naja-igra-kartochnaja-3-4-goda-strateg-matusina-laska-semejnaja-razvivajuschaja-na-ukrainskom-jazyke-30291.html,,05.11.2025 23:34,,"вул. Соборна, 42",Фастів,0
1689106220,7057053,STRATEG,Настольная игра STRATEG Маленький исследователь укр (30294),135,2955632,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,Настільна гра (3-4 роки) Strateg Маленький дослідник українською мовою (30294),,149,1,https://comfy.ua/nastol-naja-igra-razvivajuschaja-3-4-goda-strateg-malen-kij-issledovatel-razvlekatel-naja-na-ukrainskom-jazyke-30294.html,,05.11.2025 23:34,,"вул. Соборна, 42",Фастів,0
1689106221,,,,,2955633,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,Настільна гра (5-7 років) Strateg Крокодил розважальна українською мовою (30339),,50,1,https://comfy.ua/nastol-naja-igra-kartochnaja-5-7-let-strateg-krokodil-razvlekatel-naja-na-ukrainskom-jazyke-30339.html,,05.11.2025 22:39,,"вул. Соборна, 42",Фастів,0
