1258937532,7045352,STRATEG,Настольная игра STRATEG Doctoring - соревнование врачей укр. (30916),355,1983608,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,Настільна гра (12+) Strateg Doctoring – змагання лікарів (укр) (30916),,655,1,https://comfy.ua/nastol-naja-igra-razvivajuschaja-12-strateg-doctoring-sorevnovanie-vrachej-ukr-30916.html,,06.11.2025 0:31,,"вул. Соборна, 42",Фастів,0
1258937533,,,,,1875708,Comfy KIDS >> Творчество и развитие >> Творчество и рукоделие >> Творчество и рукоделие Strateg,strateg,Набір для виготовлення іграшок Strateg Pom pom Луммі (укр) (32014),,275,1,https://comfy.ua/nabor-dlja-izgotovlenija-igrushek-strateg-pom-pom-lummi-ukr-32014.html,,05.11.2025 20:44,,"вул. Соборна, 42",Фастів,0
1258948036,,,,,1977512,Посуда >> Для напитков >> Термопосуда >> Термопосуда Bollire,bollire,Термос Bollire BR-3503 0.5 л,,440,1,https://comfy.ua/termos-bollire-br-3503-0-5-l.html,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
1258948037,6785639,KRAUFF,Термос KRAUFF 500мл (26-178-079),445,1970813,Посуда >> Для напитков >> Термопосуда >> Термопосуда Krauff,krauff,Термос Krauff 26-178-079 500 мл,,445,1,https://comfy.ua/termos-krauff-26-178-079-500-ml.html,594,05.11.2025 19:01,,"вул. Соборна, 42",Фастів,0
1258949114,,,,,1977513,Посуда >> Для напитков >> Термопосуда >> Термопосуда Bollire,bollire,Термос Bollire BR-3504 1.0 л,,595,1,https://comfy.ua/termos-bollire-br-3504-1-0-l.html,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
1258952139,,,,,1977489,Посуда >> Для приготовления >> Сковороды >> Сковороды Bollire,bollire,Сковорода універсальна Bollire BR-1005 Venezia 20 см,,552,1,https://comfy.ua/skovoroda-universal-naja-bollire-br-1005-venezia-20-sm.html,,05.11.2025 19:30,,"вул. Соборна, 42",Фастів,0
1258952277,,,,,1977497,Посуда >> Для приготовления >> Наборы посуды >> Наборы посуды Bollire,bollire,Набір посуду Bollire BR-1320 Firenze 12 пр.,,6464,1,https://comfy.ua/nabor-posudy-bollire-br-1320-firenze-12-pr.html,,05.11.2025 20:10,,"вул. Соборна, 42",Фастів,0
1258952794,,,,,1977493,Посуда >> Для приготовления >> Сковороды >> Сковороды Bollire,bollire,Сковорода ВОК Bollire BR-1011 Venezia 28 см,,979,1,https://comfy.ua/skovoroda-vok-bollire-br-1011-venezia-28-sm.html,,05.11.2025 21:02,,"вул. Соборна, 42",Фастів,0
1258954893,6627567,TEAM,"""SSD накопитель TEAM SATA 2.5"""" 480GB CX1 TLC (T253X5480G0C101)""",2713,1716038,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> SSD диски >> SSD диски Team",team,"""SSD-накопичувач внутрішній Team CX1 480GB 2.5"""" SATAIII 3D TLC(T253X5480G0C101)""",,2409,1,https://comfy.ua/ssd-nakopitel-vnutrennij-team-cx1-480gb-2-5-sataiii-3d-tlc-t253x5480g0c101.html,,05.11.2025 17:30,,"вул. Соборна, 42",Фастів,0
1258974462,7005967,INTERLUX,Морозильный ларь INTERLUX IL-0255CF,8999,1844202,Техника для кухни >> Крупная техника,interlux,Морозильна скриня INTERLUX IL-0255CF,,8888,1,https://comfy.ua/morozil-nyj-lar-interlux-il-0255cf.html,11599,05.11.2025 18:20,,"вул. Соборна, 42",Фастів,0
1258996451,,,,,1986113,"Детские товары >> Детская комната и безопасность >> Кресла, шезлонги и укачивающие центры >> Кресла, шезлонги и укачивающие центры Lionelo",lionelo,Крісло-качалка Lionelo Pascal Grey Dove,,2999,1,https://comfy.ua/kreslo-kachalka-lionelo-pascal-grey-dove.html,,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
1258996541,6801212,CECOTEC,Блендер CECOTEC Power Black Titanium 1000 Inox (CCTC-04156),2199,1986288,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Cecotec,cecotec,Блендер стаціонарний Cecotec Power Black Titanium 1000 Inox (CCTC-04156),,1999,1,https://comfy.ua/blender-stacionarnyj-cecotec-power-black-titanium-1000-inox-cctc-04156.html,2799,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
1258996562,6802198,ARDESTO,Блендер ARDESTO HBK-800BR,1329,1968024,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Ardesto,ardesto,Блендер заглибний Ardesto HBK-800BR Black,,1329,1,https://comfy.ua/blender-pogruzhnoj-ardesto-hbk-800br-black.html,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
1258996594,,,,,1986109,Детские товары >> Прогулки и поездки >> Аксессуары и комплектующие для детских колясок >> Аксессуары и комплектующие для детских колясок Lionelo,lionelo,Конверт для коляски Lionelo Frode Black Carbon,,2399,1,https://comfy.ua/konvert-dlja-koljaski-lionelo-frode-black-carbon.html,,05.11.2025 21:15,,"вул. Соборна, 42",Фастів,0
1258996595,6848515,ASUS,Монитор ASUS VP32AQ (90LM06T0-B01E70),10999,1984436,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы Asus",asus,Монітор Asus VP32AQ (90LM06T0-B01E70),,10999,1,https://comfy.ua/monitor-asus-vp32aq-90lm06t0-b01e70.html,12299,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
