1643309569,column,column,column,column,2726665,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,____armorstandart_for_apple_iphone_141313_pro_arm60108,column,209,1,httpscomfyuazaschitnajaplenkadljasmartfonaarmorstandartforappleiphone141313proarm60108html,column,05112025_1937,column,__42,Фастів,0
1643310105,,,,,.2763682,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Sigma mobile X-Style S3502 (ARM65041),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-plansheta-armorstandart-for-sigma-mobile-x-style-s3502-arm65041.html,,05.11.2025 20:06,,"вул. Соборна, 42",Фастів,0
1643310106,,,,,.2769078,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for ZTE Blade V30 (ARM65681),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-zte-blade-v30-arm65681.html,,05.11.2025 20:36,,"вул. Соборна, 42",Фастів,0
1643310107,,,,,.2770670,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Matte for Samsung A05s (A057) (ARM73605),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-matte-for-samsung-a05s-a057-arm73605.html,,05.11.2025 20:05,,"вул. Соборна, 42",Фастів,0
1643310113,,,,,.2741560,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Infinix Note 30 Pro 4G (X678B) (ARM68984),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-infinix-note-30-pro-4g-x678b-arm68984.html,,05.11.2025 20:42,,"вул. Соборна, 42",Фастів,0
1643310114,,,,,.2741549,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Matte for Infinix Note 12 Pro 4G (X676B) / Note 12 2023 (X676C) (ARM66787),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-matte-for-infinix-note-12-pro-4g-x676b-note-12-2023-x676c-arm66787.html,,05.11.2025 19:53,,"вул. Соборна, 42",Фастів,0
1643310115,,,,,.2741556,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Matte for Infinix Note 30 4G (X6833B) (ARM68979),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-matte-for-infinix-note-30-4g-x6833b-arm68979.html,,05.11.2025 20:07,,"вул. Соборна, 42",Фастів,0
1643310116,,,,,.2737919,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфона Armorstandart for Realme Narzo 50A (ARM62514),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-realme-narzo-50a-arm62514.html,,05.11.2025 20:08,,"вул. Соборна, 42",Фастів,0
1643310117,,,,,.2741555,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Matte for Infinix Hot 30i (X669) / Hot 30i NFC (X669D) (ARM68977),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-matte-for-infinix-hot-30i-x669-hot-30i-nfc-x669d-arm68977.html,,05.11.2025 20:42,,"вул. Соборна, 42",Фастів,0
1643310118,,,,,.2744327,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Tecno Spark 8 Pro (ARM61952),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-tecno-spark-8-pro-arm61952.html,,05.11.2025 20:41,,"вул. Соборна, 42",Фастів,0
1643310120,,,,,.2741505,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Infinix Zero Ultra 5G (X6820) (ARM65532),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-infinix-zero-ultra-5g-x6820-arm65532.html,,05.11.2025 20:43,,"вул. Соборна, 42",Фастів,0
1643310122,,,,,.2741504,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Matte for Tecno Camon 19 (CI6n) / 19 Pro (CI8n) (ARM63681),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-matte-for-tecno-camon-19-ci6n-19-pro-ci8n-arm63681.html,,05.11.2025 20:07,,"вул. Соборна, 42",Фастів,0
1643310334,,,,,.2269753,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I20628,,24072,1,https://comfy.ua/sistemnyj-blok-qbox-i20628.html,27669,05.11.2025 21:18,,"вул. Соборна, 42",Фастів,0
1643310453,,,,,.2269761,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I20636,,24116,1,https://comfy.ua/sistemnyj-blok-qbox-i20636.html,27719,05.11.2025 21:18,,"вул. Соборна, 42",Фастів,0
