1054587708,6933346,AEG,Встраиваемая посудомоечная машина AEG FSR52917Z,25299,1872103,Техника для кухни >> Крупная техника,aeg,Посудомийна машина вбудована AEG FSR52917Z,,26599,1,https://comfy.ua/posudomoechnaja-mashina-vstraivaemaja-aeg-fsr52917z.html,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
1054678188,6952272,ЗЕНІТ,Цепная пила ЗЕНІТ ЦПЛ-355/1300 (850511),2182,1879776,Инструменты и автотовары >> Электроинструменты >> Пилы цепные и сабельные >> Пилы цепные и сабельные Зеніт,zenit,Ланцюгова пила Зенит ЦПЛ-355/1300 (850511),,2379,1,https://comfy.ua/cepnaja-pila-zenit-cpl-355-1300-850511.html,,05.11.2025 21:25,,"вул. Соборна, 42",Фастів,0
1054777118,,,,,.1871286,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 12700KF RTX 3060 12GB 1610 (i712700KFRTX306012GB1610),,52726,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-12700kf-rtx-3060-12gb-1610-i712700kfrtx306012gb1610.html,60605,05.11.2025 20:00,,"вул. Соборна, 42",Фастів,0
1054777151,,,,,.1871287,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 12700KF RTX 3060 12GB 16101 (i712700KFRTX306012GB16101),,55723,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-12700kf-rtx-3060-12gb-16101-i712700kfrtx306012gb16101.html,64049,05.11.2025 21:34,,"вул. Соборна, 42",Фастів,0
1054777152,,,,,.1871288,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 12700KF RTX 3060 12GB 16102 (i712700KFRTX306012GB16102),,55980,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-12700kf-rtx-3060-12gb-16102-i712700kfrtx306012gb16102.html,64345,05.11.2025 21:34,,"вул. Соборна, 42",Фастів,0
1054777153,,,,,.1871289,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 12700KF RTX 3060 12GB 1621 (i712700KFRTX306012GB1621),,52947,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-12700kf-rtx-3060-12gb-1621-i712700kfrtx306012gb1621.html,60859,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
1054777154,,,,,.1871290,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 12700KF RTX 3060 12GB 164 (i712700KFRTX306012GB164),,50865,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-12700kf-rtx-3060-12gb-164-i712700kfrtx306012gb164.html,58465,05.11.2025 18:25,,"вул. Соборна, 42",Фастів,0
1054777155,,,,,.1871292,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 12700KF RTX 3060 12GB 1641 (i712700KFRTX306012GB1641),,54118,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-12700kf-rtx-3060-12gb-1641-i712700kfrtx306012gb1641.html,62205,05.11.2025 21:34,,"вул. Соборна, 42",Фастів,0
1054777156,,,,,.1871293,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 12700KF RTX 3060 12GB 1642 (i712700KFRTX306012GB1642),,54336,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-12700kf-rtx-3060-12gb-1642-i712700kfrtx306012gb1642.html,62455,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
1054777157,,,,,.1871294,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 12700KF RTX 3060 12GB 3210 (i712700KFRTX306012GB3210),,55284,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-12700kf-rtx-3060-12gb-3210-i712700kfrtx306012gb3210.html,63545,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
1054777158,,,,,.1871295,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 12700KF RTX 3060 12GB 32101 (i712700KFRTX306012GB32101),,58280,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-12700kf-rtx-3060-12gb-32101-i712700kfrtx306012gb32101.html,66989,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
1054777159,,,,,.1871296,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 12700KF RTX 3060 12GB 32102 (i712700KFRTX306012GB32102),,58755,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-12700kf-rtx-3060-12gb-32102-i712700kfrtx306012gb32102.html,67535,05.11.2025 21:34,,"вул. Соборна, 42",Фастів,0
1054777160,,,,,.1871297,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 12700KF RTX 3060 12GB 3221 (i712700KFRTX306012GB3221),,55505,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-12700kf-rtx-3060-12gb-3221-i712700kfrtx306012gb3221.html,63799,05.11.2025 21:34,,"вул. Соборна, 42",Фастів,0
1054777161,,,,,.1871298,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 12700KF RTX 3060 12GB 324 (i712700KFRTX306012GB324),,53422,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-12700kf-rtx-3060-12gb-324-i712700kfrtx306012gb324.html,61405,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,0
1054777162,,,,,.1871299,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 12700KF RTX 3060 12GB 3241 (i712700KFRTX306012GB3241),,56676,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-12700kf-rtx-3060-12gb-3241-i712700kfrtx306012gb3241.html,65145,05.11.2025 21:34,,"вул. Соборна, 42",Фастів,0
1054777164,,,,,.1871300,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 12700KF RTX 3060 12GB 3242 (i712700KFRTX306012GB3242),,56894,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-12700kf-rtx-3060-12gb-3242-i712700kfrtx306012gb3242.html,65395,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
1054777165,,,,,.1871301,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 12700KF RTX 3060 12GB 6410 (i712700KFRTX306012GB6410),,61534,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-12700kf-rtx-3060-12gb-6410-i712700kfrtx306012gb6410.html,70729,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
1054777167,,,,,.1871302,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 12700KF RTX 3060 12GB 64101 (i712700KFRTX306012GB64101),,64532,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-12700kf-rtx-3060-12gb-64101-i712700kfrtx306012gb64101.html,74175,05.11.2025 21:34,,"вул. Соборна, 42",Фастів,0
1054777168,,,,,.1871303,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 12700KF RTX 3060 12GB 64102 (i712700KFRTX306012GB64102),,64750,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-12700kf-rtx-3060-12gb-64102-i712700kfrtx306012gb64102.html,74425,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
1054777169,,,,,.1871304,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 12700KF RTX 3060 12GB 6421 (i712700KFRTX306012GB6421),,61752,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-12700kf-rtx-3060-12gb-6421-i712700kfrtx306012gb6421.html,70979,05.11.2025 21:33,,"вул. Соборна, 42",Фастів,0
1054777171,,,,,.1871305,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 12700KF RTX 3060 12GB 644 (i712700KFRTX306012GB644),,59669,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-12700kf-rtx-3060-12gb-644-i712700kfrtx306012gb644.html,68585,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
