1656399599,6967044,HP,Моноблок HP ProOne 440 G9 Black/Silver (885F1EA),37841,2855271,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",hp,Комп'ютер-моноблок HP ProOne 440 G9 (885F1EA),,41055,1,https://comfy.ua/komp-juter-monoblok-hp-proone-440-g9-885f1ea.html,,05.11.2025 18:12,,"вул. Соборна, 42",Фастів,0
1656405548,6966249,ZELMER,Пылесос ZELMER ZVC 3500 R,5599,2869152,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Zelmer,zelmer,Пилосос для сухого прибирання з мішком Zelmer ZVC 3500 R,,5599,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-s-meshkom-zelmer-zvc-3500-r.html,,05.11.2025 18:15,,"вул. Соборна, 42",Фастів,0
1656405711,6740845,ARDESTO,Банка ARDESTO Fresh 910 мл (AR1391BLC),265,1844349,Посуда >> Для хранения >> Емкости для сыпучих >> Емкости для сыпучих Ardesto,ardesto,Ємність для сипучих Ardesto 910 мл (AR1391BLC),,265,1,https://comfy.ua/emkost-dlja-sypuchih-ardesto-910-ml-ar1391blc.html,395,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
1656405725,6768257,ARDESTO,"Банка ARDESTO Fresh 1,15 л (AR1311SF)",179,1863886,Посуда >> Для хранения >> Емкости для сыпучих >> Емкости для сыпучих Ardesto,ardesto,Ємність для сипучих Ardesto Fresh 1150 мл (AR1311SF),,179,1,https://comfy.ua/emkost-dlja-hranenija-ardesto-fresh-1150-ml-ar1311sf.html,295,05.11.2025 19:02,,"вул. Соборна, 42",Фастів,0
1656405731,6768258,ARDESTO,Банка ARDESTO Fresh 1.6 л (AR1316SF),209,1863887,Посуда >> Для хранения >> Емкости для сыпучих >> Емкости для сыпучих Ardesto,ardesto,Ємність для сипучих Ardesto Fresh 1600 мл (AR1316SF),,209,1,https://comfy.ua/emkost-dlja-hranenija-ardesto-fresh-1600-ml-ar1316sf.html,375,05.11.2025 19:04,,"вул. Соборна, 42",Фастів,0
1656405756,6768262,ARDESTO,Банка ARDESTO Fresh 900 мл (AR1309SF),265,1863885,Посуда >> Для хранения >> Емкости для сыпучих >> Емкости для сыпучих Ardesto,ardesto,Ємність для сипучих Ardesto Fresh 900 мл (AR1309SF),,159,1,https://comfy.ua/emkost-dlja-hranenija-ardesto-fresh-900-ml-ar1309sf.html,265,05.11.2025 19:02,,"вул. Соборна, 42",Фастів,0
1656405774,6820236,ARDESTO,Банка ARDESTO Fresh Vintage 650 мл (AR1365BV),379,1948624,Посуда >> Для хранения >> Емкости для сыпучих >> Емкости для сыпучих Ardesto,ardesto,Ємність для сипучих Ardesto Fresh Vintage 650 мл (AR1365BV),,189,1,https://comfy.ua/emkost-dlja-sypuchih-ardesto-fresh-vintage-650-ml-ar1365bv.html,379,05.11.2025 19:02,,"вул. Соборна, 42",Фастів,0
1656405775,6820237,ARDESTO,Банка ARDESTO Fresh Vintage 750 мл (AR1375BV),245,1948626,Посуда >> Для хранения >> Емкости для сыпучих >> Емкости для сыпучих Ardesto,ardesto,Ємність для сипучих Ardesto Fresh Vintage 750 мл (AR1375BV),,245,1,https://comfy.ua/emkost-dlja-sypuchih-ardesto-fresh-vintage-750-ml-ar1375bv.html,379,05.11.2025 19:04,,"вул. Соборна, 42",Фастів,0
1656412295,6951827,ELECTROLUX,Фильтр для очистителя воздуха ELECTROLUX EFDBTH4,2799,2790053,Техника для дома >> Климатическая техника,electrolux,Фільтр до очищувача повітря Electrolux EFDBTH4,,2799,1,https://comfy.ua/fil-tr-dlja-ochistitelja-vozduha-electrolux-efdbth4.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
1656412300,6951828,ELECTROLUX,Фильтр для очистителя воздуха ELECTROLUX EFDBTH6,3599,2790054,Техника для дома >> Климатическая техника,electrolux,Фільтр до очищувача повітря Electrolux EFDBTH6,,3599,1,https://comfy.ua/fil-tr-dlja-ochistitelja-vozduha-electrolux-efdbth6.html,,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
1656412301,6951829,ELECTROLUX,Фильтр для очистителя воздуха ELECTROLUX EFDCLN4E,3199,2790055,Техника для дома >> Климатическая техника,electrolux,Фільтр до очищувача повітря Electrolux EFDCLN4E,,3199,1,https://comfy.ua/fil-tr-dlja-ochistitelja-vozduha-electrolux-efdcln4e.html,,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
1656412304,6951830,ELECTROLUX,Фильтр для воздухоочистителя ELECTROLUX EFDCLN6E,3999,2790056,Техника для дома >> Климатическая техника,electrolux,Фільтр до очищувача повітря Electrolux EFDCLN6E,,3999,1,https://comfy.ua/fil-tr-dlja-ochistitelja-vozduha-electrolux-efdcln6e.html,,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
1656412340,6951831,ELECTROLUX,Фильтр для воздухоочистителя ELECTROLUX EFWBTH3,1999,2789124,Техника для дома >> Климатическая техника >> Фильтры для увлажнителей и очистителей воздуха >> Фильтры для увлажнителей и очистителей воздуха Electrolux,electrolux,Фільтр до очищувача повітря Electrolux EFWBTH3,,1999,1,https://comfy.ua/fil-tr-dlja-ochistitelja-vozduha-electrolux-efwbth3.html,,05.11.2025 18:06,,"вул. Соборна, 42",Фастів,0
1656412650,6919599,BALANCE,Пятновыводитель BALANCE для детской одежды 250 мл (5349477),125,2832831,Бытовая химия >> Средства для стирки,balance,Засіб для видалення плям BALANCE д/дитячого одягу 250 мл,,117,1,https://comfy.ua/sredstvo-dlja-udalenija-pjaten-balance-d-detskoj-odezhdy-250-ml.html,232,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
1656412708,6919606,BALANCE,Средство для ручного мытья посуды BALANCE с экстрактом мыльнянки 450 мл (5351685),105,2832613,Бытовая химия >> Для кухни и мытья посуды,balance,Засіб для ручного миття посуду BALANCE з екстрактом мильнянки 450 мл,,110,1,https://comfy.ua/sredstvo-dlja-ruchnogo-myt-ja-posudy-balance-s-jekstraktom-myl-njanki-450-ml.html,,05.11.2025 19:35,,"вул. Соборна, 42",Фастів,0
1656412714,6919603,BALANCE,Средство для ручного мытья посуды BALANCE 900 мл (5351708),195,2832611,Бытовая химия >> Для кухни и мытья посуды,balance,Засіб для ручного миття посуду BALANCE 900 мл,,180,1,https://comfy.ua/sredstvo-dlja-ruchnogo-myt-ja-posudy-balance-900-ml.html,,05.11.2025 19:34,,"вул. Соборна, 42",Фастів,0
1656412725,6919609,BALANCE,Универсальное моющее средство BALANCE с распылителем 500 мл (5347947),115,2832820,Бытовая химия >> Все для уборки,balance,Засіб для чищення універсальний BALANCE універсальний з розпилювачем 500 мл,,105,1,https://comfy.ua/chistjaschee-sredstvo-universal-noe-balance-universal-nyj-s-raspylitelem-500-ml.html,213,05.11.2025 19:38,,"вул. Соборна, 42",Фастів,0
