817239159,6642113,KERMI,Радиатор KERMI Profil-V FTV 11 500 x 700 мм (FTV110500701R2K),6862,1711593,Техника для дома >> Климатическая техника >> Радиаторы отопления >> Радиаторы отопления Kermi,kermi,"Радіатор опалення Kermi Profil-V FTV 11 500x700 мм, 643 Вт (FTV110500701R2K)",,6945,1,https://comfy.ua/radiator-otoplenija-kermi-profil-v-ftv-11-500x700-mm-643-vt-ftv110500701r2k.html,,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
817239161,6642162,KERMI,Радиатор KERMI Therm-X2 Profil-K FK0 22 500/700 (FK0220507W02),7254,1711572,Техника для дома >> Климатическая техника >> Радиаторы отопления >> Радиаторы отопления Kermi,kermi,"Радіатор опалення Kermi Therm-X2 Profil-K FK0 22 500x700 мм, 1078 Вт (FK0220507W02)",,7345,1,https://comfy.ua/radiator-otoplenija-kermi-therm-x2-profil-k-fk0-22-500x700-mm-1078-vt-fk0220507w02.html,,05.11.2025 18:46,,"вул. Соборна, 42",Фастів,0
817239162,6642148,KERMI,Радиатор KERMI Therm-X2 Profil-K FK0 22 300/900 (FK0220309W02),7449,1711559,Техника для дома >> Климатическая техника >> Радиаторы отопления >> Радиаторы отопления Kermi,kermi,"Радіатор опалення Kermi Therm-X2 Profil-K FK0 22 300x900 мм, 920 Вт (FK0220309W02)",,7539,1,https://comfy.ua/radiator-otoplenija-kermi-therm-x2-profil-k-fk0-22-300x900-mm-920-vt-fk0220309w02.html,,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
817239164,6642178,KERMI,Радиатор KERMI Therm-X2 Profil-V FTV 22 200/600 (FTV220200601RXK),7543,1711595,Техника для дома >> Климатическая техника >> Радиаторы отопления >> Радиаторы отопления Kermi,kermi,"Радіатор опалення Kermi Therm-X2 Profil-V FTV 22 200x600 мм, 439 Вт (FTV220200601RXK)",,7635,1,https://comfy.ua/radiator-otoplenija-kermi-therm-x2-profil-v-ftv-22-200x600-mm-439-vt-ftv220200601rxk.html,,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
817239166,6642151,KERMI,Радиатор KERMI Therm-X2 Profil-K FK0 22 400/800 (FK0220408W02),7940,1711565,Техника для дома >> Климатическая техника >> Радиаторы отопления >> Радиаторы отопления Kermi,kermi,"Радіатор опалення Kermi Therm-X2 Profil-K FK0 22 400x800 мм, 1026 Вт (FK0220408W02)",,8039,1,https://comfy.ua/radiator-otoplenija-kermi-therm-x2-profil-k-fk0-22-400x800-mm-1026-vt-fk0220408w02.html,,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
817239167,6642139,KERMI,Радиатор KERMI Therm-X2 Profil-K FK0 22 300X1000 мм (FK0220310W02),8038,1711560,Техника для дома >> Климатическая техника >> Радиаторы отопления >> Радиаторы отопления Kermi,kermi,"Радіатор опалення Kermi Therm-X2 Profil-K FK0 22 300x1000 мм, 1022 Вт (FK0220310W02)",,8139,1,https://comfy.ua/radiator-otoplenija-kermi-therm-x2-profil-k-fk0-22-300x1000-mm-1022-vt-fk0220310w02.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
817239168,6642110,KERMI,Радиатор KERMI Profil-V FTV 11 500/1000 (FTV110501001R2K),8136,1711594,Техника для дома >> Климатическая техника >> Радиаторы отопления >> Радиаторы отопления Kermi,kermi,"Радіатор опалення Kermi Profil-V FTV 11 500x1000 мм, 918 Вт (FTV110501001R2K)",,8235,1,https://comfy.ua/radiator-otoplenija-kermi-profil-v-ftv-11-500x1000-mm-918-vt-ftv110501001r2k.html,,05.11.2025 18:46,,"вул. Соборна, 42",Фастів,0
817239171,6642194,KERMI,Радиатор KERMI Therm-X2 Profil-V FTV 22 500х400 мм (FTV220500401R2K),8234,1711611,Техника для дома >> Климатическая техника >> Радиаторы отопления >> Радиаторы отопления Kermi,kermi,"Радіатор опалення Kermi Therm-X2 Profil-V FTV 22 500x400 мм, 616 Вт (FTV220500401R2K)",,8335,1,https://comfy.ua/radiator-otoplenija-kermi-therm-x2-profil-v-ftv-22-500x400-mm-616-vt-ftv220500401r2k.html,,05.11.2025 18:33,,"вул. Соборна, 42",Фастів,0
817239172,6642185,KERMI,Радиатор KERMI Therm-X2 Profil-V FTV 22 300/700 (FTV220300701R2K),8333,1711599,Техника для дома >> Климатическая техника >> Радиаторы отопления >> Радиаторы отопления Kermi,kermi,"Радіатор опалення Kermi Therm-X2 Profil-V FTV 22 300x700 мм, 715 Вт (FTV220300701R2K)",,8435,1,https://comfy.ua/radiator-otoplenija-kermi-therm-x2-profil-v-ftv-22-300x700-mm-715-vt-ftv220300701r2k.html,,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
817239177,6642140,KERMI,Радиатор KERMI Therm-X2 Profil-K FK0 22 300х1100 мм (FK0220311W02),8626,1711561,Техника для дома >> Климатическая техника >> Радиаторы отопления >> Радиаторы отопления Kermi,kermi,"Радіатор опалення Kermi Therm-X2 Profil-K FK0 22 300x1100 мм, 1124 Вт (FK0220311W02)",,8735,1,https://comfy.ua/radiator-otoplenija-kermi-therm-x2-profil-k-fk0-22-300x1100-mm-1124-vt-fk0220311w02.html,,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
817239179,6642141,KERMI,Радиатор KERMI Therm-X2 Profil-K FK0 22 300X1200 мм (FK0220312W02),9115,1711562,Техника для дома >> Климатическая техника >> Радиаторы отопления >> Радиаторы отопления Kermi,kermi,"Радіатор опалення Kermi Therm-X2 Profil-K FK0 22 300x1200 мм, 1226 Вт (FK0220312W02)",,9229,1,https://comfy.ua/radiator-otoplenija-kermi-therm-x2-profil-k-fk0-22-300x1200-mm-1226-vt-fk0220312w02.html,,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
817239180,6642196,KERMI,Радиатор KERMI Therm-X2 Profil-V FTV 22 500/600 мм (FTV220500601R2K),9232,1711613,Техника для дома >> Климатическая техника >> Радиаторы отопления >> Радиаторы отопления Kermi,kermi,"Радіатор опалення Kermi Therm-X2 Profil-V FTV 22 500x600 мм, 924 Вт (FTV220500601R2K)",,9345,1,https://comfy.ua/radiator-otoplenija-kermi-therm-x2-profil-v-ftv-22-500x600-mm-924-vt-ftv220500601r2k.html,,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
817239200,6642198,KERMI,Радиатор KERMI Therm-X2 Profil-V FTV 22 500/800 мм (FTV220500801R2K),10187,1711615,Техника для дома >> Климатическая техника >> Радиаторы отопления >> Радиаторы отопления Kermi,kermi,"Радіатор опалення Kermi Therm-X2 Profil-V FTV 22 500x800 мм, 1232 Вт (FTV220500801R2K)",,10315,1,https://comfy.ua/radiator-otoplenija-kermi-therm-x2-profil-v-ftv-22-500x800-mm-1232-vt-ftv220500801r2k.html,,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
817239203,6642142,KERMI,Радиатор KERMI Therm-X2 Profil-K FK0 22 300х1400 мм (FK0220314W02),10391,1711563,Техника для дома >> Климатическая техника >> Радиаторы отопления >> Радиаторы отопления Kermi,kermi,"Радіатор опалення Kermi Therm-X2 Profil-K FK0 22 300x1400 мм, 1430 Вт (FK0220314W02)",,10519,1,https://comfy.ua/radiator-otoplenija-kermi-therm-x2-profil-k-fk0-22-300x1400-mm-1430-vt-fk0220314w02.html,,05.11.2025 18:46,,"вул. Соборна, 42",Фастів,0
817239205,6642128,KERMI,Радиатор KERMI Therm-X2 Line-V PLV 22 505X505 мм (PLV220500501R2K),10698,1711656,Техника для дома >> Климатическая техника >> Радиаторы отопления >> Радиаторы отопления Kermi,kermi,"Радіатор опалення Kermi Therm-X2 Line-V PLV 22 505x505 мм, 725 Вт (PLV220500501R2K)",,10829,1,https://comfy.ua/radiator-otoplenija-kermi-therm-x2-line-v-plv-22-505x505-mm-725-vt-plv220500501r2k.html,,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
817239213,6642199,KERMI,Радиатор KERMI Therm-X2 Profil-V FTV 22 500 х 900 мм (FTV220500901R2K),11541,1711616,Техника для дома >> Климатическая техника >> Радиаторы отопления >> Радиаторы отопления Kermi,kermi,"Радіатор опалення Kermi Therm-X2 Profil-V FTV 22 500x900 мм, 1386 Вт (FTV220500901R2K)",,11685,1,https://comfy.ua/radiator-otoplenija-kermi-therm-x2-profil-v-ftv-22-500x900-mm-1386-vt-ftv220500901r2k.html,,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
817239222,6642130,KERMI,Радиатор KERMI Therm-X2 Line-V PLV 22 505X705 мм (PLV220500701R2K),12375,1711658,Техника для дома >> Климатическая техника >> Радиаторы отопления >> Радиаторы отопления Kermi,kermi,"Радіатор опалення Kermi Therm-X2 Line-V PLV 22 505x705 мм, 1012 Вт (PLV220500701R2K)",,12529,1,https://comfy.ua/radiator-otoplenija-kermi-therm-x2-line-v-plv-22-505x705-mm-1012-vt-plv220500701r2k.html,,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
