893650211,column,column,column,column,1800366,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",sharp,____sharp_20k_mx237gt,column,2999,1,httpscomfyuacatalogproductviewid2440973,column,05112025_1802,column,__42,Фастів,0
901656960,,,,,1800380,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры Canon",canon,Картридж для струменевих принтерів/БФП Canon PFI-107 Black (6705B001AA),,4865,1,https://comfy.ua/kartridzh-dlja-strujnyh-mfu-i-printerov-canon-pfi-107-black-6705b001aa.html,,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
901656961,,,,,1807440,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры Canon",canon,"Картридж для кольорових лазерних принтерів Canon для LBP61x,MF63x 045H Black 2.8K (1246C002AA)",,4309,1,https://comfy.ua/kartridzh-dlja-cvetnyh-lazernyh-printerov-canon-dlja-lbp61x-mf63x-045h-black-2-8k-1246c002aa.html,,05.11.2025 18:02,,"вул. Соборна, 42",Фастів,0
901656968,,,,,1803163,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",canon,Чорнило Canon PFI-120 130 мл Cyan (2886C001AA),,4865,1,https://comfy.ua/chernila-canon-pfi-120-130-ml-cyan-2886c001aa.html,,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
901656970,,,,,1800379,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры Canon",canon,Картридж для струменевих принтерів/БФП Canon PFI-107 Cyan (6706B001AA),,4865,1,https://comfy.ua/kartridzh-dlja-strujnyh-mfu-i-printerov-canon-pfi-107-cyan-6706b001aa.html,,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
901657003,,,,,.1803451,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",canon,Тонер для заправки картриджа Canon C-EXV59 Black (3760C002AA),,4259,1,https://comfy.ua/toner-dlja-zapravki-kartridzha-canon-c-exv59-black-3760c002aa.html,,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
901657255,,,,,1805745,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",canon,Картридж для струменевих принтерів/БФП Canon PFI-710 Matte Black (2353C001AA),,18715,1,https://comfy.ua/catalog/product/view/id/2449833,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
901657256,,,,,1805746,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",canon,Картридж для струменевих принтерів/БФП Canon PFI-710 Yellow (2357C001AA),,18715,1,https://comfy.ua/catalog/product/view/id/2449843,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
901657257,,,,,1805747,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",canon,Картридж для струменевих принтерів/БФП Canon PFI-710 Magenta (2356C001AA),,18715,1,https://comfy.ua/catalog/product/view/id/2449863,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
901657258,,,,,1805748,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",canon,Картридж для струменевих принтерів/БФП Canon PFI-710 Cyan (2355C001AA),,18715,1,https://comfy.ua/catalog/product/view/id/2449883,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
901657261,,,,,.1803668,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",hp,Картридж для лазерних принтерів/БФП HP 37X LJ M608/M609/M631/M632 Black (CF237X),,18649,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-hp-37x-lj-m608-m609-m631-m632-black-cf237x.html,,05.11.2025 18:02,,"вул. Соборна, 42",Фастів,0
901876224,6707789,PRIME TECHNICS,Кухонная машина PRIME TECHNICS PSM 1976 PK,6359,1807904,Техника для кухни >> Мелкая техника >> Кухонные машины и комбайны >> Кухонные машины и комбайны Prime Technics,prime-technics,Кухонна машина Prime Technics PSM 1976 PK,,6359,1,https://comfy.ua/kuhonnaja-mashina-prime-technics-psm-1976-pk.html,,05.11.2025 18:15,,"вул. Соборна, 42",Фастів,0
901881111,6705034,PHILIPS,Пылесос PHILIPS FC6729/01,10999,1805716,Техника для дома >> Мелкая техника >> Ручные пылесосы >> Ручные пылесосы Philips,philips,Пилосос ручний для дому Philips FC6729/01,,12069,1,https://comfy.ua/pylesos-ruchnoj-dlja-doma-philips-fc6729-01.html,,05.11.2025 18:14,,"вул. Соборна, 42",Фастів,0
901886324,6797138,LENOVO,Гарнитура LENOVO IdeaPad Gaming H100 (GXD1C67963),1099,1803719,"Аудио, фото и видео >> Наушники >> Наушники Lenovo",lenovo,Гарнітура дротова ігрова Lenovo IdeaPad Gaming Headset H100 (GXD1C67963),,1099,1,https://comfy.ua/garnitura-provodnaja-igrovaja-lenovo-ideapad-gaming-headset-h100-gxd1c67963.html,,05.11.2025 18:29,,"вул. Соборна, 42",Фастів,0
