1644728925,column,column,column,column,2580150,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,____armorstandart_matte_for_motorola_e20_arm62556,column,209,1,httpscomfyuazaschitnajaplenkadljasmartfonaarmorstandartmatteformotorolae20arm62556html,column,05112025_2030,column,__42,Фастів,0
1644731427,,,,,.2741547,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Matte for Infinix Hot 12 Play (X6816D)/Hot 20 4G (X6826) (ARM66028),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-matte-for-infinix-hot-12-play-x6816d-hot-20-4g-x6826-arm66028.html,,05.11.2025 20:07,,"вул. Соборна, 42",Фастів,0
1644731562,,,,,.2777503,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Realme 9 5G (ARM64639),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-realme-9-5g-arm64639.html,,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
1644731563,,,,,.2777118,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Realme 10 5G / 9i 5G (RMX3612) (ARM63542),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-realme-10-5g-9i-5g-rmx3612-arm63542.html,,05.11.2025 20:05,,"вул. Соборна, 42",Фастів,0
1644731564,,,,,.2777504,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Realme C11 2021 (ARM64641),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-realme-c11-2021-arm64641.html,,05.11.2025 20:05,,"вул. Соборна, 42",Фастів,0
1644731565,,,,,.2777505,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Blackview A100 (ARM64642),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-blackview-a100-arm64642.html,,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
1644731566,,,,,.2777114,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Realme 9 4G (ARM62203),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-realme-9-4g-arm62203.html,,05.11.2025 18:13,,"вул. Соборна, 42",Фастів,0
1644731910,6941848,LENOVO,Ноутбук Lenovo IdeaPad Slim 5 16IAH8 Cloud Grey (83BG004SRA),26999,2781902,"Ноутбуки, планшеты и компьютерная техника >> Ноутбуки",lenovo,Ноутбук Lenovo IdeaPad Slim 5 16IAH8 (83BG004SRA) Cloud Grey,,25999,1,https://comfy.ua/noutbuk-lenovo-ideapad-slim-5-16iah8-83bg004sra-cloud-grey.html,32999,05.11.2025 17:21,,"вул. Соборна, 42",Фастів,0
1644733613,6941801,HP,Ноутбук HP Probook 440-G10 Pike Silver Aluminum (817J6EA),44999,2778301,"Ноутбуки, планшеты и компьютерная техника >> Ноутбуки >> Ноутбуки все >> Ноутбуки все HP >> Серия HP Probook",hp,Ноутбук HP Probook 440-G10 (817J6EA) Pike Silver Aluminum,,44999,1,https://comfy.ua/noutbuk-hp-probook-440-g10-817j6ea-pike-silver-aluminum.html,,05.11.2025 18:23,,"вул. Соборна, 42",Фастів,0
1644734422,6942677,MILANO,Электрочайник MILANO KT-2001B,860,2784968,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Milano,milano,Електричний чайник Milano KT-2001B,,299,1,https://comfy.ua/jelektricheskij-chajnik-milano-kt-2001b.html,,05.11.2025 18:25,,"вул. Соборна, 42",Фастів,0
1644734586,6942676,MILANO,Электрочайник MILANO KT-2001,219,2790104,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Milano,milano,Електричний чайник Milano KT-2001,,219,1,https://comfy.ua/jelektricheskij-chajnik-milano-kt-2001.html,,05.11.2025 18:05,,"вул. Соборна, 42",Фастів,0
1644734689,,,,,.2723534,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart на зовнішній дисплей Anti-Blue for Samsung Fold4 5G (SM-F936) (ARM65070),,249,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-na-vneshnij-displej-anti-blue-for-samsung-fold4-5g-sm-f936-arm65070.html,,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
1644735040,,,,,2766127,Смартфоны и телефоны >> Аксессуары для смартфонов,make,Захисне скло для смартфону MAKE FCFG Samsung S23 FE (MGF-SS23FE),,299,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-make-fcfg-samsung-s23-fe-mgf-ss23fe.html,,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
1644735047,,,,,.2563023,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Clear + Matte for Samsung S22 Plus 5G (ARM66860),,299,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-clear-matte-for-samsung-s22-plus-5g-arm66860.html,,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
