987486663,column,column,column,column,1844969,Детские товары >> Детская комната и безопасность,handyhome,____handy_home__48x30x30__ch16,column,485,1,httpscomfyuakorobkadljahranenijadetskajahandyhomekrokodil48x30x30smch16html,column,05112025_2035,column,__42,Фастів,0
988174874,6869579,TOSHIBA,Кондиционер Toshiba HAORI RAS-13N4KVRG-UA/RAS-13N4AVRG-UA,59999,1845575,Техника для дома >> Климатическая техника >> Кондиционеры >> Кондиционеры Toshiba,toshiba,Кондиціонер спліт Toshiba RAS-13N4KVRG-UA/RAS-13N4AVRG-UA,,59999,1,https://comfy.ua/kondicioner-split-toshiba-ras-13n4kvrg-ua-ras-13n4avrg-ua.html,,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
988174875,,,,,1845576,Техника для дома >> Климатическая техника >> Кондиционеры >> Кондиционеры Toshiba,toshiba,Кондиціонер спліт Toshiba RAS-16N4KVRG-UA/RAS-16N4AVRG-UA,,69999,1,https://comfy.ua/kondicioner-split-toshiba-ras-16n4kvrg-ua-ras-16n4avrg-ua.html,,05.11.2025 18:30,,"вул. Соборна, 42",Фастів,0
988175633,,,,,.1829160,Техника для дома >> Климатическая техника,daikin,Кондиціонер спліт Daikin FTXA25BT/RXA25A,,87955,1,https://comfy.ua/kondicioner-split-daikin-ftxa25bt-rxa25a.html,,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
988175646,,,,,.1829159,Техника для дома >> Климатическая техника,daikin,Кондиціонер спліт Daikin FTXJ50MS/RXJ50M,,182509,1,https://comfy.ua/kondicioner-split-daikin-ftxj50ms-rxj50m.html,,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
988216153,6731986,KENWOOD,Кухонная машина KENWOOD Titanium Chef Baker KVC85.004SI,27499,1840788,Техника для кухни >> Мелкая техника >> Кухонные машины и комбайны >> Кухонные машины и комбайны Kenwood,kenwood,Кухонна машина Kenwood KVC85.004SI,,27499,1,https://comfy.ua/kuhonnaja-mashina-kenwood-kvc85-004si.html,32999,05.11.2025 18:23,,"вул. Соборна, 42",Фастів,0
988217815,,,,,1845288,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Duralex,duralex,Салатник Duralex Lys Stackable 500 мл (2025AF06),,86,1,https://comfy.ua/salatnik-duralex-lys-stackable-500-ml-2025af06.html,115,05.11.2025 19:56,,"вул. Соборна, 42",Фастів,0
988217816,,,,,1845290,Посуда >> Для сервировки,duralex,Салатник Duralex Lys 15x10 см (5003AF06),,120,1,https://comfy.ua/salatnik-duralex-lys-15x10-sm-5003af06.html,,05.11.2025 20:08,,"вул. Соборна, 42",Фастів,0
988231414,,,,,1843584,Техника для кухни >> Мелкая техника >> Кухонные машины и комбайны >> Кухонные машины и комбайны Kenwood,kenwood,Кухонна машина Kenwood KVL85.704SI,,36999,1,https://comfy.ua/kuhonnaja-mashina-kenwood-kvl85-704.html,41999,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
988519976,6768611,STARK,Газонокосилка STARK LM-38-16 (330012003),5595,1840166,Инструменты и автотовары >> Садовые инструменты >> Газонокосилки >> Газонокосилки Stark,stark,Газонокосарка електрична Stark LM-38-16 (330012003),,5595,1,https://comfy.ua/gazonokosilka-jelektricheskaja-stark-lm-38-16-330012003.html,,05.11.2025 21:17,,"вул. Соборна, 42",Фастів,0
988527802,6788458,EMOS,Фонарь EMOS P2307,2229,1842228,"Дом, отдых и зоотовары >> Освещение",emos,"Ліхтар акумуляторний EMOS LED P2307 10W 330Lm SLA, ручн.пластик.",,2229,1,https://comfy.ua/fonar-akkumuljatornyj-emos-3810-10w-led-p2307.html,,05.11.2025 17:27,,"вул. Соборна, 42",Фастів,0
988534098,6786439,HP,Мышь HP 100 USB Black (6VY96AA),449,1845338,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные HP",hp,Миша дротова HP 100 USB Black (6VY96AA),,449,1,https://comfy.ua/mysh-provodnaja-hp-100-usb-black-6vy96aa.html,,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
988586906,,,,,1837073,Телевизоры и мультимедиа >> Аксессуары для ТВ,samsung,Змінна рамка для ТВ Samsung VG-SCFA50BWB/RU,,1999,1,https://comfy.ua/smennaja-ramka-dlja-tv-samsung-vg-scfa50bwb-ru.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
988586908,,,,,1837074,Телевизоры и мультимедиа >> Аксессуары для ТВ,samsung,Змінна рамка для ТВ Samsung VG-SCFA50TKB/RU,,1999,1,https://comfy.ua/smennaja-ramka-dlja-tv-samsung-vg-scfa50tkb-ru.html,,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
988590833,,,,,.1721256,Инструменты и автотовары >> Ручные инструменты,stal,Ножівка Сталь 320 мм дерев.ручка (40113),,105,1,https://comfy.ua/nozhovka-stal-320-mm-derev-ruchka-40113.html,,05.11.2025 21:41,,"вул. Соборна, 42",Фастів,0
988596328,,,,,1696863,Детские товары >> Игрушки для малышей >> Игрушки для ванной >> Игрушки для ванной Tigres,tigres,Іграшка для ванної Tigres Barkas Кораблик 6 ел. (39791),,119,1,https://comfy.ua/bazovaja-igrushka-dlja-vannoj-tigres-barkas-korablik-6-jel-39791-harakteristiki.html,,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
988620551,,,,,.1842871,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",stark,Подовжувач 220В Stark CRP 2525-P 4 р 25 м (242000002),,3499,1,https://comfy.ua/udlinitel-220v-stark-crp-2525-p-4-r-25-m-242000002.html,,05.11.2025 17:33,,"вул. Соборна, 42",Фастів,0
988626413,,,,,.1838626,Смарт-часы и гаджеты >> Электротранспорт,blaupunkt,Електросамокат Blaupunkt ESC808 Edition,,20599,1,https://comfy.ua/jelektrosamokat-blaupunkt-esc808-edition.html,,05.11.2025 18:08,,"вул. Соборна, 42",Фастів,0
988635144,,,,,1844493,Техника для дома >> Мелкая техника >> Ручные пылесосы >> Ручные пылесосы Shark,shark,Пилосос ручний для дому Shark HZ500EUT,,9999,1,https://comfy.ua/pylesos-ruchnoj-dlja-doma-shark-hz500eut.html,19999,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
