1646658650,column,column,column,column,2807466,Смартфоны и телефоны >> Мобильные телефоны,ergo,__ergo_r231_dual_sim_black,column,819,1,httpscomfyuamobilnyjtelefonergor231dualsimblackhtml,column,05112025_1721,column,__42,Фастів,0
1646689850,,,,,2696538,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Milwaukee,milwaukee,Тримач для біт Milwaukee ShW1/4 152 мм (4932471822),,289,1,https://comfy.ua/derzhatel-dlja-bit-milwaukee-shw1-4-152-mm-4932471822.html,,05.11.2025 21:16,,"вул. Соборна, 42",Фастів,0
1646689870,,,,,2696522,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Milwaukee,milwaukee,Тримач для біт Milwaukee 4932430179,,759,1,https://comfy.ua/derzhatel-dlja-bit-milwaukee-4932430179.html,,05.11.2025 21:22,,"вул. Соборна, 42",Фастів,0
1646690220,6949360,KELA,Раклетница KELA Geneva (10048),3449,2808152,Техника для кухни >> Мелкая техника >> Грили-барбекю >> Грили-барбекю Kela,kela,"Гриль-барбекю електричний Kela Geneva 21,5х21,5 см (10048)",,3449,1,https://comfy.ua/gril-barbekju-jelektricheskij-kela-geneva-21-5h21-5-sm-10048.html,5299,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
1646692655,6726025,EINHELL,Циркулярная пила EINHELL TC-CS 1250 (4331040),2708,2781222,Инструменты и автотовары >> Электроинструменты >> Пилы дисковые и торцовочные >> Пилы дисковые и торцовочные Einhell,einhell,Пила дискова Einhell TC-CS 1250 (4331040),,2709,1,https://comfy.ua/pila-diskovaja-einhell-tc-cs-1250-4331040.html,,05.11.2025 21:09,,"вул. Соборна, 42",Фастів,0
1646697511,6639327,NEO TOOLS,Ножовка NEO Tools для стусла 11TPI 350 мм (41-096),649,1729842,"Инструменты и автотовары >> Ручные инструменты >> Ножовки, пилы и полотна >> Ножовки, пилы и полотна Neo",neo,Ножівка Neo 11TPI 350 мм (41-096),,649,1,https://comfy.ua/nozhovka-neo-11tpi-350-mm-41-096.html,,05.11.2025 22:31,,"вул. Соборна, 42",Фастів,0
1646697606,6985296,HAISSER,"""Ящик для инструментов HAISSER 27"""" Formula S700 Carbo Alu Red (90075)""",1219,2587926,Инструменты и автотовары >> Расходные материалы >> Ящики для инструментов >> Ящики для инструментов Haisser,haisser,"""Ящик для інструментів Haisser 27"""" Formula S700 Carbo Alu Red (5901238232049)""",,1459,1,https://comfy.ua/jaschik-dlja-instrumentov-haisser-27-formula-s700-carbo-alu-red-5901238232049.html,,05.11.2025 21:44,,"вул. Соборна, 42",Фастів,0
1646697798,,,,,2741759,Смарт-часы и гаджеты >> Аксессуары >> Аксессуары для фитнес-браслетов >> Аксессуары для фитнес-браслетов BeCover,becover,Ремінець для фітнес-браслету BeCover for Oppo Band 2 Beige (709473),,179,1,https://comfy.ua/remeshok-dlja-fitnes-brasleta-becover-for-oppo-band-2-beige-709473.html,,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
1646699272,,,,,.2696518,Инструменты и автотовары >> Ручные инструменты,milwaukee,Ніж будівельний Milwaukee Hardline Smooth (48221994),,2625,1,https://comfy.ua/nozh-stroitel-nyj-milwaukee-hardline-smooth-48221994.html,,05.11.2025 21:48,,"вул. Соборна, 42",Фастів,0
1646707021,,,,,.2587930,Инструменты и автотовары >> Ручные инструменты,haisser,Труборiз Haisser 32 мм (41205),,369,1,https://comfy.ua/truborez-haisser-32-mm-41205.html,,05.11.2025 21:54,,"вул. Соборна, 42",Фастів,0
1646707022,,,,,.2587931,Инструменты и автотовары >> Ручные инструменты,haisser,Труборiз Haisser 26-42 мм (41206),,509,1,https://comfy.ua/truborez-haisser-26-42-mm-41206.html,,05.11.2025 21:54,,"вул. Соборна, 42",Фастів,0
1646730560,,,,,.2693350,Инструменты и автотовары >> Расходные материалы,milwaukee,Полотно Milwaukee Starlock 35x42мм/3С (48906011),,765,1,https://comfy.ua/polotno-milwaukee-starlock-35x42mm-3s-48906011.html,,05.11.2025 22:06,,"вул. Соборна, 42",Фастів,0
1646734811,,,,,2790961,Техника для кухни >> Крупная техника >> Плиты >> Плиты Prime Technics,prime-technics,Плита газова Prime Technics PSG 54002 B,,8799,1,https://comfy.ua/plita-gazovaja-prime-technics-psg-54002-b.html,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
1646735341,,,,,2790960,Техника для кухни >> Крупная техника >> Плиты >> Плиты Prime Technics,prime-technics,Плита газова Prime Technics PSG 64004 B,,9699,1,https://comfy.ua/plita-gazovaja-prime-technics-psg-64004-b.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1646740327,,,,,.2685975,"Дом, отдых и зоотовары >> Отдых и путешествия",kemping,Мангал для пікніка Кемпінг Малий В2,,905,1,https://comfy.ua/mangal-dlja-piknika-kemping-malyj-v2.html,,05.11.2025 19:56,,"вул. Соборна, 42",Фастів,0
1646749789,,,,,2803815,"Дом, отдых и зоотовары >> Мебель >> Офисные кресла >> Офисные кресла GT Racer",gt-racer,Крісло офісне GT Racer B-2723 Beige,,4299,1,https://comfy.ua/kreslo-ofisnoe-gt-racer-b-2723-beige.html,,05.11.2025 20:07,,"вул. Соборна, 42",Фастів,0
1646749790,,,,,2803817,"Дом, отдых и зоотовары >> Мебель >> Офисные кресла >> Офисные кресла GT Racer",gt-racer,Крісло офісне GT Racer B-2723 Gray,,4299,1,https://comfy.ua/kreslo-ofisnoe-gt-racer-b-2723-gray.html,,05.11.2025 19:48,,"вул. Соборна, 42",Фастів,0
1646750070,,,,,2803818,"Дом, отдых и зоотовары >> Мебель >> Офисные кресла >> Офисные кресла GT Racer",gt-racer,Крісло офісне GT Racer B-2728 Beige,,4999,1,https://comfy.ua/kreslo-ofisnoe-gt-racer-b-2728-beige.html,,05.11.2025 20:07,,"вул. Соборна, 42",Фастів,0
1646750071,,,,,2803820,"Дом, отдых и зоотовары >> Мебель >> Офисные кресла >> Офисные кресла GT Racer",gt-racer,Крісло офісне GT Racer B-2728 Gray,,4999,1,https://comfy.ua/kreslo-ofisnoe-gt-racer-b-2728-gray.html,,05.11.2025 20:08,,"вул. Соборна, 42",Фастів,0
1646757605,,,,,2719967,"Дом, отдых и зоотовары >> Мебель >> Столы компьютерные >> Столы компьютерные 1stPlayer",1stplayer,Стіл комп'ютерний 1stPlayer Moto-GT 1460,,11999,1,https://comfy.ua/stol-komp-juternyj-1stplayer-moto-gt-1460.html,,05.11.2025 19:47,,"вул. Соборна, 42",Фастів,0
1646758596,7067858,APC,ИБП APC 900W/1500VA (SMC1500I-2UC),54324,2775814,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Источники бесперебойного питания >> Источники бесперебойного питания APC",apc,Джерело безперебійного живлення APC Smart-UPS C 1500VA (SMC1500I-2UC),,62539,1,https://comfy.ua/istochnik-besperebojnogo-pitanija-apc-smart-ups-c-1500va-smc1500i-2uc.html,,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
