1019856851,column,column,column,column,1855472,Посуда >> Нарезка и измельчение,gusto,__gusto_20__gt6120,column,112,1,httpscomfyuacatalogproductviewid2967243,column,05112025_1858,column,__42,Фастів,0
1020610745,,,,,1859586,Техника для кухни >> Мелкая техника >> Насадки для кухонной техники >> Насадки для кухонной техники Moulinex,moulinex,Насадка для м'ясорубки Moulinex XF403030,,1799,1,https://comfy.ua/nasadka-dlja-mjasorubki-moulinex-xf403030.html,2399,05.11.2025 17:28,,"вул. Соборна, 42",Фастів,0
1020622553,6559422,СТАЛЬ,Набор ключей имбусовых Сталь CR-V HEX 1.5-10 мм 10 шт (65248),68,1721260,Инструменты и автотовары >> Ручные инструменты >> Ключи >> Ключи Сталь,stal,"Набір ключів Сталь HEX, 1.5-10 мм (65248)",,75,1,https://comfy.ua/nabor-kljuchej-stal-hex-1-5-10-mm-65248.html,,05.11.2025 21:50,,"вул. Соборна, 42",Фастів,0
1020625221,7042284,TOLSEN,Ключ трубный TOLSEN STILLSON 250 мм (10232),254,1858908,Инструменты и автотовары >> Ручные инструменты >> Ключи >> Ключи Tolsen,tolsen,Ключ трубний Tolsen Stillson 250 мм (10232),,285,1,https://comfy.ua/kljuch-trubnyj-tolsen-stillson-250-mm-10232.html,,05.11.2025 22:17,,"вул. Соборна, 42",Фастів,0
1021007852,6739692,ARTEL,Плита газовая ARTEL OTTIMA G Brown,9345,1220368,Техника для кухни >> Крупная техника >> Плиты >> Плиты ARTEL,artel,Плита газова ARTEL OTTIMA-G Brown,,9999,1,https://comfy.ua/plita-gazovaja-artel-ottima-g-brown.html,,05.11.2025 21:34,,"вул. Соборна, 42",Фастів,0
1021208982,7061417,JOSEPH JOSEPH,Набор мисок JOSEPH JOSEPH 9 шт. (40112),5069,1848609,Посуда >> Кухонные аксессуары >> Мерная посуда >> Мерная посуда Joseph Joseph,joseph-joseph,Набір ємностей мірних Joseph Joseph 9 пр. 40112,,4195,1,https://comfy.ua/nabor-emkostej-mernyh-joseph-joseph-9-pr-40112.html,,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
1022150522,6721620,SAECO,Кофемашина SAECO SM6480/00,35999,1825640,Техника для кухни >> Мир кофе >> Кофемашины >> Кофемашины Saeco,saeco,Кавомашина Saeco SM6480/00,,35999,1,https://comfy.ua/kofemashina-saeco-sm6480-00.html,,05.11.2025 17:28,,"вул. Соборна, 42",Фастів,0
1022151892,6921107,STARK,"Зарядное устройство STARK BC-18Q 18 В для CAG, CRS, CIW, CID, CRH, CD (210018030.001)",474,1858500,Инструменты и автотовары >> Электроинструменты >> Аккумуляторы и зарядные устройства >> Аккумуляторы и зарядные устройства Stark,stark,З/П до акумуляторної батареї для електроінструментів Stark BC-18Q 18 В (210018030.001),,475,1,https://comfy.ua/akkumuljator-dlja-jelektroinstrumentov-stark-bc-18q-18-v-210018030-001.html,,05.11.2025 21:18,,"вул. Соборна, 42",Фастів,0
1022234989,,,,,1845648,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Vittora,vittora,Салатник Vittora 155 мм (V-155W),,66,1,https://comfy.ua/salatnik-vittora-155-mm-v-155w.html,,05.11.2025 20:08,,"вул. Соборна, 42",Фастів,0
1022367382,,,,,1845649,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Vittora,vittora,Салатник Vittora 175 мм (V-175W),,81,1,https://comfy.ua/salatnik-vittora-175-mm-v-175w.html,,05.11.2025 20:25,,"вул. Соборна, 42",Фастів,0
1022401011,,,,,1845652,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Vittora,vittora,Тарілка обідня Vittora V-220W Blanco Wave 220 мм,,95,1,https://comfy.ua/tarelka-obedennaja-vittora-220-mm-v-220w.html,,05.11.2025 20:24,,"вул. Соборна, 42",Фастів,0
1022572364,,,,,.1845653,Посуда >> Для сервировки,vittora,Тарілка супова Vittora 215 мм (V-215W),,102,1,https://comfy.ua/tarelka-supovaja-vittora-215-mm-v-215w.html,,05.11.2025 20:22,,"вул. Соборна, 42",Фастів,0
1022619944,6839569,RESTO,Френч-пресс RESTO 600 мл (90501),249,1854877,Посуда >> Для напитков >> Френч-прессы и чайники заварочные >> Френч-прессы и чайники заварочные RESTO,resto,Френч-прес RESTO 600 мл 90501,,249,1,https://comfy.ua/french-press-resto-600-ml-90501.html,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
1023213962,,,,,1855145,Посуда >> Для напитков >> Чайники металлические >> Чайники металлические RESTO,resto,Чайник металевий RESTO Lyra 2.7 л Black (90606),,899,1,https://comfy.ua/chajnik-metallicheskij-resto-lyra-2-7-l-black-90606.html,,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
1023213964,,,,,1855144,Посуда >> Для напитков >> Чайники металлические >> Чайники металлические RESTO,resto,Чайник металевий RESTO Lyra 2.7 л Gray (90605),,999,1,https://comfy.ua/chajnik-metallicheskij-resto-lyra-2-7-l-gray-90605.html,,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
1023268108,,,,,1859079,Смартфоны и телефоны >> Аксессуары для смартфонов,makefuture,Захисне скло для смартфона MakeFuture Full Cover Full Glue Apple iPhone 13 Pro Max (MGF-AI13PM),,225,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-makefuture-full-cover-full-glue-apple-iphone-13-pro-max-mgf-ai13pm.html,,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,0
1023268109,,,,,1859080,Смартфоны и телефоны >> Аксессуары для смартфонов,makefuture,Захисне скло для смартфона MakeFuture Full Cover Full Glue Apple iPhone 13/13 Pro/14 (MGF-AI13/13P),,349,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-makefuture-full-cover-full-glue-apple-iphone-13-13-pro-mgf-ai13-13p.html,,05.11.2025 17:16,,"вул. Соборна, 42",Фастів,5
1023482040,7061418,JOSEPH JOSEPH,Набор разделочных досок JOSEPH JOSEPH 4 шт + кейс (60197),6166,1848610,Посуда >> Нарезка и измельчение >> Разделочные доски >> Разделочные доски Joseph Joseph,joseph-joseph,Набір обробних дошок Joseph Joseph 4 шт. 60197,,4995,1,https://comfy.ua/nabor-razdelochnyh-dosok-joseph-joseph-4-sht-60197.html,,05.11.2025 19:51,,"вул. Соборна, 42",Фастів,0
1023615756,,,,,1842611,Посуда >> Для напитков,beaba,Термос для продуктів Beaba 300 мл. Green/Grey (912907),,1200,1,https://comfy.ua/catalog/product/view/id/2955823,,05.11.2025 20:10,,"вул. Соборна, 42",Фастів,0
