1657736406,column,column,column,column,2883024,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",ruijie,__lan_ruijie_reyee_rgnbr6210e,column,36799,1,httpscomfyuamarshrutizatorinternetlanruijiereyeergnbr6210ehtml,column,05112025_1749,column,__42,Фастів,0
1657821302,,,,,.2835532,Игровые консоли и гейминг >> Комплектующие для игровых ПК,patriot,Память DDR Patriot 8GB DDR5-5600 (PSD58G560041S),,2855,1,https://comfy.ua/pamjat-ddr-patriot-8gb-ddr5-5600-psd58g560041s.html,,05.11.2025 19:01,,"вул. Соборна, 42",Фастів,0
1657821319,,,,,.1078478,Игровые консоли и гейминг >> Комплектующие для игровых ПК,goodram,Память DDR Goodram DDR3 8Gb 1600Mhz БЛИСТЕР GR1600D364L11/8G,,659,1,https://comfy.ua/pamjat-ddr-goodram-ddr3-8gb-1600mhz-blister-gr1600d364l11-8g.html,,05.11.2025 18:29,,"вул. Соборна, 42",Фастів,0
1657821329,,,,,2832553,Игровые консоли и гейминг >> Комплектующие для игровых ПК,apacer,Память DDR Apacer DDR4 2x8GB/3200 NOX (AH4U16G32C28YMBAA-2),,2959,1,https://comfy.ua/pamjat-ddr-apacer-ddr4-2x8gb-3200-nox-ah4u16g32c28ymbaa-2.html,,05.11.2025 18:57,,"вул. Соборна, 42",Фастів,0
1657821398,6952896,LENOVO,Ноутбук LENOVO LOQ 15IRH8 Storm Grey (82XV00SLRA),43999,2830352,"Ноутбуки, планшеты и компьютерная техника >> Ноутбуки",lenovo,Ноутбук ігровий Lenovo LOQ 15IRH8 (82XV00SLRA) Storm Grey,,41999,1,https://comfy.ua/noutbuk-igrovoj-lenovo-loq-15irh8-82xv00slra-storm-grey.html,53999,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
1657821457,,,,,2873480,Детские товары >> Прогулки и поездки >> Автокресла и аксессуары для поездок >> Автокресла и аксессуары для поездок Lionelo,lionelo,Автокрісло Lionelo Braam I-SIZE Grey Stone,,11999,1,https://comfy.ua/avtokreslo-lionelo-braam-i-size-grey-stone.html,,05.11.2025 21:04,,"вул. Соборна, 42",Фастів,0
1657821958,,,,,.2835525,Игровые консоли и гейминг >> Комплектующие для игровых ПК,patriot,Память DDR Patriot 32GB DDR5-6600 (PVV532G660C34K),,9659,1,https://comfy.ua/pamjat-ddr-patriot-32gb-ddr5-6600-pvv532g660c34k.html,,05.11.2025 18:55,,"вул. Соборна, 42",Фастів,0
1657821997,,,,,2834382,Бытовая химия >> Для кухни и мытья посуды >> Аксессуары для сушки и мытья посуды >> Аксессуары для сушки и мытья посуды Lemax,lemax,Сушка для посуду Lemax біла (LF-634),,575,1,https://comfy.ua/sushka-dlja-posudy-lemax-belaja-lf-634.html,,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
1657822000,,,,,.2834379,Бытовая химия >> Для кухни и мытья посуды,lemax,Сушка для посуду Lemax бронза (MX-074 BA),,925,1,https://comfy.ua/sushka-dlja-posudy-lemax-bronza-mx-074-ba.html,,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
1657822357,,,,,.2863026,Игровые консоли и гейминг >> Комплектующие для игровых ПК,kingston,Память DDR Kingston SO-DIMM Fure DDR5 2x16GB/6000 Fure Impact (KF560S38IBK2-32),,7789,1,https://comfy.ua/pamjat-ddr-kingston-so-dimm-fure-ddr5-2x16gb-6000-fure-impact-kf560s38ibk2-32.html,,05.11.2025 19:00,,"вул. Соборна, 42",Фастів,0
1657822367,,,,,.2855478,Игровые консоли и гейминг >> Комплектующие для игровых ПК,kingston,Память DDR Kingston SO-DIMM 2x32GB/3200 DDR4 (KF432S20IBK2/64),,11299,1,https://comfy.ua/pamjat-ddr-kingston-so-dimm-2x32gb-3200-ddr4-kf432s20ibk2-64.html,,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
1657822783,,,,,.2874722,Техника для кухни >> Мелкая техника,ariete,Мультипіч Ariete 4626/00,,3999,1,https://comfy.ua/mul-tipech-ariete-4626-00.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
1657823640,,,,,.2826979,Инструменты и автотовары >> Электроинструменты,esperanza,Акумулятор тип AA Esperanza 2600 mAh 2 шт. (EZA105),,349,1,https://comfy.ua/akkumuljator-tip-aa-esperanza-2600-mah-2-sht-eza105.html,,05.11.2025 20:58,,"вул. Соборна, 42",Фастів,0
1657823751,6971491,KENWOOD,Кухонный комбайн KENWOOD FDP65.820SI,7499,2871366,Техника для кухни >> Мелкая техника >> Кухонные машины и комбайны >> Кухонные машины и комбайны Kenwood,kenwood,Кухонний комбайн Kenwood FDP65.820SI,,7499,1,https://comfy.ua/kuhonnyj-kombajn-kenwood-fdp65-820si.html,9099,05.11.2025 17:27,,"вул. Соборна, 42",Фастів,0
