1650296931,column,column,column,column,2827061,Техника для кухни >> Крупная техника,akpo,___akpo_pia_6804,column,16145,1,httpscomfyuavarochnajapaneljelektricheskajaakpopia6804html,column,05112025_2102,column,__42,Фастів,0
1650536140,6988287,BEURER,Машинка для стрижки BEURER MN5X,3777,2830017,Красота и здоровье >> Уход за волосами >> Машинки для стрижки >> Машинки для стрижки Beurer,beurer,Машинка для стрижки волосся Beurer MN5X,,3779,1,https://comfy.ua/mashinka-dlja-strizhki-volos-beurer-mn5x.html,,05.11.2025 19:03,,"вул. Соборна, 42",Фастів,0
1650536183,6977280,ELECTROLUX,Очистная станция ELECTROLUX для насадок влажной уборки PowerPro EPPCS2,2599,2827697,Техника для дома >> Аксессуары к мелкой технике >> Аксессуары и комплектующие для пылесосов >> Аксессуары и комплектующие для пылесосов Electrolux,electrolux,Станція очищення пилососів Electrolux EPPCS2,,2599,1,https://comfy.ua/stancija-ochistki-pylesosov-electrolux-eppcs2.html,,05.11.2025 17:55,,"вул. Соборна, 42",Фастів,0
1650543038,6951403,LIBERTON,Блендер LIBERTON LHB-0309,2299,2818572,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Liberton,liberton,Блендер заглибний Liberton LHB-0309,,2299,1,https://comfy.ua/blender-pogruzhnoj-liberton-lhb-0309.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
1650587684,6977751,BERGNER,Набор кастрюль BERGNER Excalibur 2 шт Green (BG-13364-GR),719,2808204,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Bergner,bergner,Набір форм для приготування Bergner Excalibur 2 шт. (BG-13364-GR),,719,1,https://comfy.ua/nabor-form-dlja-prigotovlenija-bergner-excalibur-2-sht-bg-13364-gr.html,1309,05.11.2025 19:03,,"вул. Соборна, 42",Фастів,0
1650587685,6977750,BERGNER,Набор кастрюль BERGNER Excalibur 2 шт Green (BG-13363-GR),929,2808203,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Bergner,bergner,Набір форм для приготування Bergner Excalibur 2 шт. (BG-13363-GR),,929,1,https://comfy.ua/nabor-form-dlja-prigotovlenija-bergner-excalibur-2-sht-bg-13363-gr.html,1159,05.11.2025 19:03,,"вул. Соборна, 42",Фастів,0
1650589782,6948037,LENOVO,Планшет LENOVO Tab M11 4/128 WiFi Luna Grey + Pen (ZADA0188UA),6999,2814938,"Ноутбуки, планшеты и компьютерная техника >> Планшеты",lenovo,Планшет Lenovo Tab M11 4/128 WiFi (ZADA0188UA) Luna Grey + Pen,,6999,1,https://comfy.ua/planshet-lenovo-tab-m11-4-128-wifi-zada0188ua-luna-grey-pen.html,7999,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
1650607219,,,,,.2826942,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",officepro,Підставка під ноутбук охолоджуюча OfficePro CD1230 Black,,1499,1,https://comfy.ua/podstavka-pod-noutbuk-officepro-cd1230-black.html,1999,05.11.2025 17:38,,"вул. Соборна, 42",Фастів,0
1650654311,,,,,.2801131,Смарт-часы и гаджеты >> Аксессуары,creality,Нитка для ABS-картриджу Creality Filament 1.75 мм (3301020032),,659,1,https://comfy.ua/nitka-dlja-abs-kartridzha-creality-filament-1-75-mm-3301020032.html,,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
1650654470,,,,,.2801128,Смарт-часы и гаджеты >> Аксессуары,creality,Нитка для PLA-картриджа Creality Filament 1.75 мм (3301010297),,849,1,https://comfy.ua/nitka-dlja-pla-kartridzha-creality-filament-1-75-mm-3301010297.html,,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
1650654502,,,,,.2801129,Смарт-часы и гаджеты >> Аксессуары,creality,Нитка для PLA-картриджа Creality Plus Filament 1.75 мм (3301010305),,799,1,https://comfy.ua/nitka-dlja-pla-kartridzha-creality-plus-filament-1-75-mm-3301010305.html,,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
