1089562800,6247654,SANO,Средство для очистки труб SANO 877859 200 гр,279,1884224,Бытовая химия >> Все для уборки >> Средства для прочистки труб >> Средства для прочистки труб Sano,sano,Засіб для чищення універсальний Sano Drain 200 г (7290011877859),,214,1,https://comfy.ua/chistjaschee-sredstvo-universal-noe-sano-drain-200-g-7290011877859.html,279,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
1089562801,,,,,1884243,Бытовая химия >> Все для уборки,tiret,Засіб для чищення універсальний TIRET для видалення засору в трубах 500 мл (5903267000415/8594002680282),,166,1,https://comfy.ua/chistjaschee-sredstvo-universal-noe-tiret-dlja-udalenija-zasorov-v-trubah-500-ml-5903267000415-8594002680282.html,207,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
1089563074,,,,,.1916522,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",verbatim,Флеш USB Verbatim Metal Executive 64GB USB 2.0 (98750),,269,1,https://comfy.ua/flesh-usb-verbatim-metal-executive-64gb-usb-2-0-98750.html,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
1089563075,,,,,.1916520,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",verbatim,Флеш USB Verbatim iStore 'n'  Nano USB 64GB  3.2 Gen 1 (98711),,335,1,https://comfy.ua/flesh-usb-verbatim-istore-n-nano-usb-64gb-3-2-gen-1-98711.html,,05.11.2025 17:31,,"вул. Соборна, 42",Фастів,0
1089563076,,,,,1916523,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",verbatim,Флеш USB Verbatim Metal Executive 64GB USB 3.0 (99106),,385,1,https://comfy.ua/flesh-usb-verbatim-metal-executive-64gb-usb-3-0-99106.html,,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
1089563077,,,,,.1916516,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",verbatim,Флеш USB Verbatim DUAL DRIVE 3.2 Gen 1 / USB C 32GB Blue (49966),,365,1,https://comfy.ua/flesh-usb-verbatim-dual-drive-3-2-gen-1-usb-c-32gb-blue-49966.html,,05.11.2025 17:30,,"вул. Соборна, 42",Фастів,0
1089563117,6288965,VERBATIM,Флеш-драйв Verbatim USB 3.0 128GB STORE'N'GO Pinstripe Black (49319),599,1916515,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",verbatim,Флеш USB Verbatim PinStripe USB 3.0 128GB Black (49319),,395,1,https://comfy.ua/flesh-usb-verbatim-pinstripe-usb-3-0-128gb-black-49319.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1089563263,,,,,1912046,Красота и здоровье >> Здоровье,longevita,Термометр Longevita MT-31+basal,,165,1,https://comfy.ua/termometr-longevita-mt-31-basal.html,180,05.11.2025 18:46,,"вул. Соборна, 42",Фастів,0
1089563440,6235818,LEIFHEIT,Швабра мытья окон LEIFHEIT PLUS (51120),1340,1905294,Бытовая химия >> Все для уборки >> Щетки для уборки >> Щетки для уборки Leifheit,leifheit,Щітка для миття скла Leifheit Швабра д/вікон W&F Cleaner L md Tele 210 51120,,1489,1,https://comfy.ua/schetka-dlja-mojki-stekla-leifheit-shvabra-d-okon-w-f-cleaner-l-md-tele-210-51120.html,,05.11.2025 19:38,,"вул. Соборна, 42",Фастів,0
1089563441,6393935,LEIFHEIT,Щетка для окон LEIFHEIT 51104,969,1905277,Бытовая химия >> Все для уборки >> Щетки для уборки >> Щетки для уборки Leifheit,leifheit,Щітка для миття скла Leifheit з телескопічною ручкою Telescope 200 51104,,969,1,https://comfy.ua/schetka-dlja-mojki-stekla-leifheit-s-teleskopicheskoj-ruchkoj-telescope-200-51104.html,,05.11.2025 19:38,,"вул. Соборна, 42",Фастів,0
1089563730,7024665,MAESTRO,hyg MAESTRO Мило ВІДБІЛЮЮЧЕ 125г,18,1849557,Бытовая химия >> Средства для стирки >> Хозяйственное мыло >> Хозяйственное мыло Maestro,maestro,Мило господарське Maestro 72% для прання з відбіл.ефектом 125 г (4820195500033),,21,1,https://comfy.ua/mylo-hozjajstvennoe-maestro-72-dlja-stirki-s-vidbil-efektom-125-g-4820195500033.html,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
1089563790,,,,,1751922,Бытовая химия >> Все для уборки,sano,Засіб для чищення унітазу Sano Персик 55 г (7290005426964),,111,1,https://comfy.ua/sredstvo-dlja-chistki-unitaza-sano-persik-55-g-7290005426964.html,139,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
1089563959,6710449,SANO,Средство для мытья унитаза SANO Anti Kalk WC 750 мл (7290000287621),251,1752132,Бытовая химия >> Все для уборки >> Средства для чистки унитаза >> Средства для чистки унитаза Sano,sano,Засіб для чищення унітазу Sano WC 750 мл (7290000287621),,191,1,https://comfy.ua/sredstvo-dlja-chistki-unitaza-sano-wc-750-ml-7290000287621.html,239,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
1089564369,6801512,TOLSEN,Струбцина TOLSEN ПРОФИ 120 х 1000 мм (10194),899,1884647,Инструменты и автотовары >> Ручные инструменты >> Тиски и струбцины >> Тиски и струбцины Tolsen,tolsen,Струбцина Tolsen F 120х1000 мм (10194),,899,1,https://comfy.ua/strubcina-tolsen-f-120h1000-mm-10194.html,,05.11.2025 22:53,,"вул. Соборна, 42",Фастів,0
1089564439,6772108,ELECTROLUX,Утюг ELECTROLUX Refine 600 E6SI1-4MN,1899,1913891,Техника для дома >> Мелкая техника >> Утюги >> Утюги Electrolux,electrolux,Праска Electrolux E6SI1-4MN,,1899,1,https://comfy.ua/utjug-electrolux-e6si1-4mn.html,,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,0
1089564504,,,,,1818292,Инструменты и автотовары >> Ручные инструменты,stal,Набір ключів Сталь Г-подібних 9 шт.,,175,1,https://comfy.ua/nabor-kljuchej-stal-g-obraznyh-9-sht.html,,05.11.2025 22:19,,"вул. Соборна, 42",Фастів,0
1089564564,7042285,TOLSEN,Ключ трубный TOLSEN STILLSON 300 мм (10233),308,1900692,Инструменты и автотовары >> Ручные инструменты >> Ключи >> Ключи Tolsen,tolsen,Ключ трубний Tolsen Stillson 300 мм (10233),,345,1,https://comfy.ua/kljuch-trubnyj-tolsen-stillson-300-mm-10233.html,,05.11.2025 21:34,,"вул. Соборна, 42",Фастів,0
