1091183185,column,column,column,column,1925912,_______________beaba,beaba,___beaba_green_920383,column,485,1,httpscomfyuatermometrdljavannybeabagreen920383html,column,05112025_2049,column,__42,Фастів,0
1091475246,6789435,ARDESTO,"Ковш ARDESTO Gemini Bari 0,8 л (AR1908SSG)",439,1909117,Посуда >> Для приготовления >> Ковши и сотейники >> Ковши и сотейники Ardesto,ardesto,Ківш Ardesto AR1908SSG Gemini Bari 0.8 л,,395,1,https://comfy.ua/kovsh-ardesto-ar1908ssg-gemini-bari-0-8-l.html,579,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
1091475248,6789436,ARDESTO,Ковш ARDESTO Gemini Bari 1.2 л (AR1912SSG),429,1909118,Посуда >> Для приготовления,ardesto,Ківш Ardesto AR1912SSG Gemini Bari 1.2 л,,429,1,https://comfy.ua/kovsh-ardesto-ar1912ssg-gemini-bari-1-2-l.html,629,05.11.2025 18:56,,"вул. Соборна, 42",Фастів,2
1091493841,,,,,1847829,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Сумки для ноутбуков >> Сумки для ноутбуков HP",hp,Сумка для ноутбуку HP Prelude 15.6 Top Load (2Z8P4AA),,999,1,https://comfy.ua/sumka-dlja-noutbuka-hp-prelude-15-6-top-load-2z8p4aa.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
1091494278,6789469,ARDESTO,Форма для выпечки Ardesto Tasty Baking Blue (AR2320T),136,1909587,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Ardesto,ardesto,Форма для приготування Ardesto Tasty Baking Blue (AR2320T),,136,1,https://comfy.ua/forma-dlja-prigotovlenija-ardesto-tasty-baking-blue-ar2320t.html,275,05.11.2025 18:56,,"вул. Соборна, 42",Фастів,0
1091494279,6789471,ARDESTO,Форма для выпечки кекса Ardesto Tasty Baking Blue (AR2319T),255,1909586,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Ardesto,ardesto,Форма для приготування Ardesto Tasty Baking Blue (AR2319T),,258,1,https://comfy.ua/forma-dlja-prigotovlenija-ardesto-tasty-baking-blue-ar2319t.html,,05.11.2025 18:57,,"вул. Соборна, 42",Фастів,0
1091494280,6789467,ARDESTO,Форма для выпечки Ardesto Tasty Baking Blue (AR2321T),179,1909588,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Ardesto,ardesto,Форма для приготування Ardesto Tasty Baking 26x25x6 см Blue (AR2321T),,179,1,https://comfy.ua/forma-dlja-prigotovlenija-ardesto-tasty-baking-26x25x6-sm-blue-ar2321t.html,339,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
1091660573,6789463,ARDESTO,Терка ARDESTO Gemini (AR2132SS),202,1909539,"Посуда >> Нарезка и измельчение >> Терки, шинковки >> Терки, шинковки Ardesto",ardesto,Терка Ardesto Gemini (AR2132SS),,225,1,https://comfy.ua/terka-ardesto-gemini-ar2132ss.html,,05.11.2025 18:52,,"вул. Соборна, 42",Фастів,0
1091663037,7018453,OGX,Кондиционер OGX Coconut Milk Hair 385 мл (22796970060),437,1834531,"Красота и здоровье >> Косметика для волос >> Бальзамы, маски и сыворотки >> Бальзамы, маски и сыворотки OGX",ogx,Бальзам для волосся OGX Coconut Milk Поживний з кокосовим молоком 385 мл (0022796970060),,449,1,https://comfy.ua/bal-zam-dlja-volos-ogx-coconut-milk-pitatel-naja-s-kokosovym-molokom-385-ml-0022796970060.html,,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
1091663742,6789477,ARDESTO,Форма для выпечки Мини Ardesto Gemini (AR2501G),125,1883231,Посуда >> Для запекания и выпечки,ardesto,Форма для випічки Ardesto Gemini 12x5 см Gray (AR2501G),,116,1,https://comfy.ua/catalog/product/view/id/3344133,175,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,0
1091663768,,,,,1888854,Красота и здоровье >> Косметика для тела,dove,Рідке мило для рук DOVE Крем Захист та догляд 250мл,,133,1,https://comfy.ua/zhidkoe-mylo-dlja-ruk-dove-krem-zaschita-i-uhod-250ml.html,155,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
1091663788,,,,,1855399,Красота и здоровье >> Косметика для тела,grand-sharm,Рідке мило для рук Grand Шарм Maxi Strawberry 5 л (4820195505045),,239,1,https://comfy.ua/zhidkoe-mylo-dlja-ruk-grand-sharm-maxi-strawberry-5-l-4820195505045.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
1091663820,6792428,BORMIOLI ROCCO,Салатник BORMIOLI ROCCO MR CHEF 9 см 50 мл (500000F28321990),40,1881362,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Bormioli Rocco,bormioli-rocco,Салатник Bormioli Rocco Mr. Chef 9 см 50 мл (500000F28321990),,40,1,https://comfy.ua/salatnik-bormioli-rocco-mr-chef-9-sm-50-ml-500000f28321990.html,88,05.11.2025 19:53,,"вул. Соборна, 42",Фастів,0
