1668988782,column,column,column,column,2882477,________krosno,krosno,__krosno_balance_250__6__788975,column,467,1,httpscomfyuanaborbokalovkrosnobalance250ml6sht788975html,column,05112025_1945,column,__42,Фастів,0
1669020025,,,,,2884077,Посуда >> Для сервировки >> Бокалы >> Бокалы Krosno,krosno,Набір келихів Krosno AVANT-GARDE 390 мл 4 шт. (909738),,1135,1,https://comfy.ua/nabor-bokalov-krosno-avant-garde-390-ml-4-sht-909738.html,,05.11.2025 19:36,,"вул. Соборна, 42",Фастів,0
1669020026,,,,,2884044,Посуда >> Для сервировки >> Бокалы и рюмки >> Бокалы и рюмки Krosno,krosno,Набір келихів Krosno VENEZIA 250 мл 6 шт. (788319),,648,1,https://comfy.ua/nabor-bokalov-krosno-venezia-250-ml-6-sht-788319.html,,05.11.2025 19:35,,"вул. Соборна, 42",Фастів,0
1669020027,,,,,2884037,Посуда >> Для сервировки >> Бокалы >> Бокалы Krosno,krosno,Набір келихів Krosno VENEZIA 350 мл 6 шт. (788210),,1137,1,https://comfy.ua/nabor-bokalov-krosno-venezia-350-ml-6-sht-788210.html,,05.11.2025 19:38,,"вул. Соборна, 42",Фастів,0
1669020030,,,,,2886585,Посуда >> Для сервировки >> Бокалы >> Бокалы Krosno,krosno,Набір келихів Krosno PERLA ELEGANCE 480 мл 4 шт. (911670),,968,1,https://comfy.ua/nabor-bokalov-krosno-perla-elegance-480-ml-4-sht-911670.html,,05.11.2025 19:37,,"вул. Соборна, 42",Фастів,0
1669020031,,,,,2884081,Посуда >> Для сервировки >> Бокалы >> Бокалы Krosno,krosno,Набір келихів Krosno RAY 175 мл 4 шт. (913520),,1173,1,https://comfy.ua/nabor-bokalov-krosno-ray-175-ml-4-sht-913520.html,,05.11.2025 19:30,,"вул. Соборна, 42",Фастів,0
1669020032,,,,,2884080,Посуда >> Для сервировки >> Бокалы >> Бокалы Krosno,krosno,Набір келихів Krosno RAY 320 мл 4 шт. (913513),,1189,1,https://comfy.ua/nabor-bokalov-krosno-ray-320-ml-4-sht-913513.html,,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
1669020034,,,,,2884074,Посуда >> Для сервировки >> Бокалы >> Бокалы Krosno,krosno,Набір келихів Krosno AVANT-GARDE 490 мл 4 шт. (909677),,1259,1,https://comfy.ua/nabor-bokalov-krosno-avant-garde-490-ml-4-sht-909677.html,,05.11.2025 19:31,,"вул. Соборна, 42",Фастів,0
1669020035,,,,,2882480,Посуда >> Для сервировки >> Бокалы >> Бокалы Krosno,krosno,Набір келихів Krosno ELITE 500 мл 6 шт. (788593),,723,1,https://comfy.ua/nabor-bokalov-krosno-elite-500-ml-6-sht-788593.html,,05.11.2025 19:10,,"вул. Соборна, 42",Фастів,0
1669020036,,,,,2882483,Посуда >> Для сервировки >> Бокалы >> Бокалы Krosno,krosno,Набір келихів Krosno HARMONY 500 мл 6 шт. (791074),,1397,1,https://comfy.ua/nabor-bokalov-krosno-harmony-500-ml-6-sht-791074.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
1669020039,,,,,2882476,Посуда >> Для сервировки >> Бокалы и рюмки >> Бокалы и рюмки Krosno,krosno,Набір келихів Krosno HARMONY 450 мл 6 шт. (788814),,850,1,https://comfy.ua/nabor-bokalov-krosno-harmony-450-ml-6-sht-788814.html,,05.11.2025 19:35,,"вул. Соборна, 42",Фастів,0
1669020040,,,,,2882486,Посуда >> Для сервировки >> Бокалы >> Бокалы Krosno,krosno,Набір келихів Krosno AVANT-GARDE 420 мл 6 шт. (791166),,1520,1,https://comfy.ua/nabor-bokalov-krosno-avant-garde-420-ml-6-sht-791166.html,,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
1669020041,,,,,2882475,Посуда >> Для сервировки >> Бокалы >> Бокалы Krosno,krosno,Келих Krosno AVANT-GARDE 180 мл 6 шт. (788678),,1521,1,https://comfy.ua/bokal-krosno-avant-garde-180-ml-6-sht-788678.html,,05.11.2025 19:35,,"вул. Соборна, 42",Фастів,0
1669020042,,,,,2900354,Посуда >> Для сервировки >> Бокалы >> Бокалы Krosno,krosno,Набір келихів Krosno ELITE 500 мл 6 шт. (789286),,852,1,https://comfy.ua/nabor-bokalov-krosno-elite-500-ml-6-sht-789286.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
1669020044,,,,,2882490,Посуда >> Для сервировки >> Бокалы >> Бокалы Krosno,krosno,Набір келихів Krosno HARMONY 370 мл 6 шт. (788890),,861,1,https://comfy.ua/nabor-bokalov-krosno-harmony-370-ml-6-sht-788890.html,,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
1669020046,,,,,2882491,Посуда >> Для сервировки >> Бокалы >> Бокалы Krosno,krosno,Набір келихів Krosno AVANT-GARDE 390 мл 6 шт. (790978),,1643,1,https://comfy.ua/nabor-bokalov-krosno-avant-garde-390-ml-6-sht-790978.html,,05.11.2025 19:31,,"вул. Соборна, 42",Фастів,0
1669020047,,,,,2882488,Посуда >> Для сервировки >> Бокалы >> Бокалы Krosno,krosno,Набір келихів Krosno SPLENDOUR 200 мл 6 шт. (789149),,893,1,https://comfy.ua/nabor-bokalov-krosno-splendour-200-ml-6-sht-789149.html,,05.11.2025 19:35,,"вул. Соборна, 42",Фастів,0
1669020049,,,,,2884024,Посуда >> Для сервировки >> Бокалы >> Бокалы Krosno,krosno,Набір келихів Krosno SPLENDOUR 300 мл 6 шт. (787404),,1673,1,https://comfy.ua/nabor-bokalov-krosno-splendour-300-ml-6-sht-787404.html,,05.11.2025 19:38,,"вул. Соборна, 42",Фастів,0
1669020050,,,,,2884022,Посуда >> Для сервировки >> Бокалы >> Бокалы Krosno,krosno,Набір келихів Krosno MIXOLOGY 270 мл 6 шт. (786254),,1689,1,https://comfy.ua/nabor-bokalov-krosno-mixology-270-ml-6-sht-786254.html,,05.11.2025 19:33,,"вул. Соборна, 42",Фастів,0
1669020051,,,,,2882478,Посуда >> Для сервировки >> Бокалы >> Бокалы Krosno,krosno,Набір келихів Krosno AVANT-GARDE 490 мл 6 шт. (790992),,1795,1,https://comfy.ua/nabor-bokalov-krosno-avant-garde-490-ml-6-sht-790992.html,,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
1669021190,,,,,2884023,Посуда >> Для сервировки >> Бокалы >> Бокалы Krosno,krosno,Набір келихів Krosno SPLENDOUR 500 мл 6 шт. (787398),,1799,1,https://comfy.ua/nabor-bokalov-krosno-splendour-500-ml-6-sht-787398.html,,05.11.2025 19:45,,"вул. Соборна, 42",Фастів,0
