807254105,column,column,column,column,1749474,"Детские товары >> Уход, купание и гигиена",babyono,___babyono____77602,column,109,1,httpscomfyuatermometrdljavannybabyonoplavajuschijolenenokrozovyj77602html,column,05112025_2052,column,__42,Фастів,0
807254273,,,,,1748108,"Comfy KIDS >> Уход, купание и гигиена >> Аптечка для малыша >> Аптечка для малыша Canpol babies",canpol-babies,Щітка для дитячого волосся Canpol babies м'яка (2/424),,262,1,https://comfy.ua/schetka-dlja-detskih-volos-canpol-babies-mjagkaja-2-424.html,309,05.11.2025 20:56,,"вул. Соборна, 42",Фастів,0
807254280,,,,,1748103,"Детские товары >> Уход, купание и гигиена >> Аптечка для малыша >> Аптечка для малыша Canpol babies",canpol-babies,Набір гребінців для дитячого волосся Canpol babies з гребінцем синя (7/406_blu),,329,1,https://comfy.ua/nabor-raschesok-dlja-detskih-volos-canpol-babies-s-grebeshkom-sinjaja-7-406-blu.html,,05.11.2025 20:56,,"вул. Соборна, 42",Фастів,0
807254281,,,,,1748102,"Детские товары >> Уход, купание и гигиена >> Аптечка для малыша >> Аптечка для малыша Canpol babies",canpol-babies,Набір гребінців для дитячого волосся Canpol babies рожева (56/160_pin),,269,1,https://comfy.ua/nabor-raschesok-dlja-detskih-volos-canpol-babies-rozovaja-56-160-pin.html,,05.11.2025 20:58,,"вул. Соборна, 42",Фастів,0
807254283,,,,,1748101,"Comfy KIDS >> Уход, купание и гигиена >> Аптечка для малыша >> Аптечка для малыша Canpol babies",canpol-babies,Набір гребінців для дитячого волосся Canpol babies м'яка з гребінцем (2/417),,175,1,https://comfy.ua/nabor-raschesok-dlja-detskih-volos-canpol-babies-mjagkaja-s-grebeshkom-2-417.html,,05.11.2025 20:56,,"вул. Соборна, 42",Фастів,0
807254286,,,,,1748087,"Детские товары >> Уход, купание и гигиена >> Аптечка для малыша >> Аптечка для малыша Canpol babies",canpol-babies,Набір гребінців для дитячого волосся Canpol babies з гребінцем біла (7/406_whi),,329,1,https://comfy.ua/nabor-raschesok-dlja-detskih-volos-canpol-babies-s-grebeshkom-belaja-7-406-whi.html,,05.11.2025 20:56,,"вул. Соборна, 42",Фастів,0
807254291,,,,,1748086,"Детские товары >> Уход, купание и гигиена >> Аптечка для малыша >> Аптечка для малыша Canpol babies",canpol-babies,Набір гребінців для дитячого волосся Canpol babies блакитна (56/160_blu),,269,1,https://comfy.ua/nabor-raschesok-dlja-detskih-volos-canpol-babies-golubaja-56-160-blu.html,,05.11.2025 20:58,,"вул. Соборна, 42",Фастів,0
807254311,7047612,LINDO,Нагрудник LINDO Ф 933 желтый (Ф 933 жел),92,1745987,Comfy KIDS >> Кормление >> Нагрудники детские >> Нагрудники детские Lindo,lindo,"Нагрудник силіконовий Lindo з кишенею на застібці, смайл, жовтий (Ф 933 жел)",,129,1,https://comfy.ua/nagrudnik-kauchukovyj-lindo-s-karmanom-na-zastezhke-smajl-zheltyj-f-933-zhel.html,,05.11.2025 21:10,,"вул. Соборна, 42",Фастів,0
807254318,,,,,1749480,Детские товары >> Кормление,babyono,Механічний молоковідсмоктувач BabyOno ручний (1 399),,289,1,https://comfy.ua/mehanicheskij-molokootsos-babyono-ruchnoj-1399.html,,05.11.2025 21:17,,"вул. Соборна, 42",Фастів,0
807254319,,,,,1749499,Детские товары >> Кормление >> Пустышки и прорезыватели >> Пустышки и прорезыватели BabyOno,babyono,Контейнер для зберігання пустушок BabyOno Natural nursing білий (535/01),,215,1,https://comfy.ua/kontejner-dlja-hranenija-pustyshek-babyono-natural-nursing-belyj-535-01.html,,05.11.2025 21:28,,"вул. Соборна, 42",Фастів,0
807254321,,,,,1749493,Детские товары >> Кормление >> Пустышки и прорезыватели >> Пустышки и прорезыватели BabyOno,babyono,Контейнер для зберігання пустушок BabyOno Natural nursing жовтий (535/03),,215,1,https://comfy.ua/kontejner-dlja-hranenija-pustyshek-babyono-natural-nursing-zheltyj-535-03.html,,05.11.2025 21:55,,"вул. Соборна, 42",Фастів,0
807254323,,,,,1749465,Детские товары >> Кормление >> Пустышки и прорезыватели >> Пустышки и прорезыватели BabyOno,babyono,Контейнер для зберігання пустушок BabyOno Natural nursing м'ятний (535/02),,215,1,https://comfy.ua/kontejner-dlja-hranenija-pustyshek-babyono-natural-nursing-mjatnyj-535-02.html,,05.11.2025 21:55,,"вул. Соборна, 42",Фастів,0
807254325,,,,,1749460,Детские товары >> Кормление >> Пустышки и прорезыватели >> Пустышки и прорезыватели BabyOno,babyono,Контейнер для зберігання пустушок BabyOno слоник рожевий (529/03),,175,1,https://comfy.ua/kontejner-dlja-hranenija-pustyshek-babyono-slonik-rozovyj-529-03.html,,05.11.2025 21:46,,"вул. Соборна, 42",Фастів,0
