1669027288,column,column,column,column,2887050,______________york,york,_york_salsa__pepita_81302,column,529,1,httpscomfyuashvabrayorksalsamorpepita81302html,column,05112025_1919,column,__42,Фастів,0
1669033360,,,,,.2852565,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",powercom,Джерело безперебійного живлення Powercom MRT-10K LCD USB,,146445,1,https://comfy.ua/istochnik-besperebojnogo-pitanija-powercom-mrt-10k-lcd-usb.html,,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
1669033377,,,,,.2835830,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",fbtech,Акумулятор для ДБЖ FBTECH IFR-32700-2430,,12119,1,https://comfy.ua/akkumuljator-dlja-ibp-fbtech-ifr-32700-2430.html,,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,0
1669034464,,,,,.2925724,Техника для кухни >> Мелкая техника,eta,Електричний чайник ETA Storio 9186 90040,,1499,1,https://comfy.ua/jelektricheskij-chajnik-eta-storio-9186-90040.html,,05.11.2025 19:35,,"вул. Соборна, 42",Фастів,0
1669035035,,,,,2741724,Смарт-часы и гаджеты >> Аксессуары >> Аксессуары для фитнес-браслетов >> Аксессуары для фитнес-браслетов BeCover,becover,Ремінець для фітнес-браслету BeCover Crystal Style for Huawei Band 7/Honor Band 7 Purple (709434),,199,1,https://comfy.ua/remeshok-dlja-fitnes-brasleta-becover-crystal-style-for-huawei-band-7-honor-band-7-purple-709434.html,,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
1669035267,,,,,2741416,Смарт-часы и гаджеты >> Аксессуары >> Аксессуары для фитнес-браслетов >> Аксессуары для фитнес-браслетов BeCover,becover,Ремінець для фітнес-браслету BeCover Metal for Xiaomi Mi Smart Band 8 Rose Gold (709360),,349,1,https://comfy.ua/remeshok-dlja-fitnes-brasleta-becover-metal-for-xiaomi-mi-smart-band-8-rose-gold-709360.html,,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
1669037994,,,,,2738140,Посуда >> Для приготовления >> Сковороды >> Сковороды Vitrinor,vitrinor,Сковорода універсальна Vitrinor TOSCANA 20 см (2108066),,433,1,https://comfy.ua/skovoroda-universal-naja-vitrinor-toscana-20-sm-2108066.html,,05.11.2025 20:44,,"вул. Соборна, 42",Фастів,0
1669038293,,,,,2738133,Посуда >> Для приготовления >> Сковороды >> Сковороды Vitrinor,vitrinor,Сковорода універсальна Vitrinor TOSCANA 24 см (2108068),,495,1,https://comfy.ua/skovoroda-universal-naja-vitrinor-toscana-24-sm-2108068.html,,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
1669038298,,,,,2738130,Посуда >> Для приготовления >> Сковороды >> Сковороды Vitrinor,vitrinor,Сковорода універсальна Vitrinor TOSCANA 26 см (2108069),,545,1,https://comfy.ua/skovoroda-universal-naja-vitrinor-toscana-26-sm-2108069.html,,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
1669038299,,,,,2738138,Посуда >> Для приготовления >> Сковороды >> Сковороды Vitrinor,vitrinor,Сковорода універсальна Vitrinor PIEDRA 20 см (1107645),,640,1,https://comfy.ua/skovoroda-universal-naja-vitrinor-piedra-20-sm-1107645.html,,05.11.2025 20:41,,"вул. Соборна, 42",Фастів,0
1669038300,,,,,2737966,Посуда >> Для приготовления >> Сковороды >> Сковороды Bollire,bollire,Сковорода універсальна Bollire BR-1505 SICILIA 20 см,,700,1,https://comfy.ua/skovoroda-universal-naja-bollire-br-1505-sicilia-20-sm.html,,05.11.2025 20:44,,"вул. Соборна, 42",Фастів,0
1669038301,,,,,2738124,Посуда >> Для приготовления >> Сковороды >> Сковороды Vitrinor,vitrinor,Сковорода універсальна Vitrinor TOSCANA 28 см (2108070),,619,1,https://comfy.ua/skovoroda-universal-naja-vitrinor-toscana-28-sm-2108070.html,,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
1669038323,,,,,2738127,Посуда >> Для приготовления >> Сковороды >> Сковороды Vitrinor,vitrinor,Сковорода універсальна Vitrinor PIEDRA 28 см (1107648),,920,1,https://comfy.ua/skovoroda-universal-naja-vitrinor-piedra-28-sm-1107648.html,,05.11.2025 20:57,,"вул. Соборна, 42",Фастів,0
1669038327,,,,,2738128,Посуда >> Для приготовления >> Сковороды >> Сковороды Vitrinor,vitrinor,Сковорода універсальна Vitrinor ARES 28 см (1114808),,906,1,https://comfy.ua/skovoroda-universal-naja-vitrinor-ares-28-sm-1114808.html,,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
1669039512,,,,,.2898032,Смарт-часы и гаджеты >> Аксессуары,creality,Нитка для PLA-картриджа Creality Hyper Filament 1.75 мм (3301010378),,859,1,https://comfy.ua/nitka-dlja-pla-kartridzha-creality-hyper-filament-1-75-mm-3301010378.html,,05.11.2025 18:21,,"вул. Соборна, 42",Фастів,0
1669043102,,,,,2908840,Смартфоны и телефоны >> Аксессуары для смартфонов >> Чехлы для смартфонов >> Чехлы для смартфонов Colorway,colorway,Чохол для смартфону Colorway TPU matt Samsung Galaxy A55 Black (CW-CTMSGA556-BK),,199,1,https://comfy.ua/chehol-dlja-smartfona-colorway-tpu-matt-samsung-galaxy-a55-black-cw-ctmsga556-bk.html,,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,1
1669198318,6931229,JIMMY,Пылесос JIMMY HW9,7499,2933515,Техника для дома >> Мелкая техника >> Ручные пылесосы >> Ручные пылесосы JIMMY,jimmy,Пилосос ручний для дому JIMMY HW9,,7499,1,https://comfy.ua/pylesos-ruchnoj-dlja-doma-jimmy-hw9.html,12999,05.11.2025 18:03,,"вул. Соборна, 42",Фастів,0
