1094506353,column,column,column,column,1907892,Посуда >> Для напитков,noveen,_noveen_tb811_white_400_,column,499,1,httpscomfyuatermobutylkanoveentb811white400mlhtml,column,05112025_1920,column,__42,Фастів,0
1094653896,,,,,1876504,"Дом, отдых и зоотовары >> New Year >> Новогодний декор >> Новогодний декор Novogod'ko",novogodko,"Декор New Year Гном Novogod'ko «Гном», срібна паєтка, 45 см (973732)",,629,1,https://comfy.ua/dekor-new-year-gnom-novogod-ko-gnom-serebrjanaja-pajetka-45-sm-973732.html,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
1094672367,,,,,1904406,"Дом, отдых и зоотовары >> New Year >> Новогодний декор >> Новогодний декор Novogod'ko",novogodko,Декор New Year Novogod'ko Олень в червоному 61 см (974006),,629,1,https://comfy.ua/dekor-new-year-novogod-ko-olen-v-krasnom-61-sm-974006.html,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
1094672605,,,,,1904403,"Дом, отдых и зоотовары >> New Year >> Новогодний декор >> Новогодний декор Novogod'ko",novogodko,Декор New Year Novogod'ko Олень в червоному 80 см (974003),,885,1,https://comfy.ua/dekor-new-year-novogod-ko-olen-v-krasnom-80-sm-974003.html,,05.11.2025 20:10,,"вул. Соборна, 42",Фастів,0
1094672891,,,,,1904769,"Дом, отдых и зоотовары >> New Year",novogodko,Декор New Year Novogod'ko «Сова в ковпачку» 25 см (974010),,729,1,https://comfy.ua/dekor-new-year-novogod-ko-sova-v-kolpachke-25-sm-974010.html,,05.11.2025 20:17,,"вул. Соборна, 42",Фастів,0
1094673091,,,,,1904770,"Дом, отдых и зоотовары >> New Year",novogodko,Декор New Year Novogod'ko «Сова в ковпачку» 30 см (974011),,785,1,https://comfy.ua/dekor-new-year-novogod-ko-sova-v-kolpachke-30-sm-974011.html,,05.11.2025 20:20,,"вул. Соборна, 42",Фастів,0
1094673299,,,,,1904768,"Дом, отдых и зоотовары >> New Year",novogodko,Декор New Year Novogod'ko «Сова в ковпачку» 42 см (974009),,925,1,https://comfy.ua/dekor-new-year-novogod-ko-sova-v-kolpachke-42-sm-974009.html,,05.11.2025 20:17,,"вул. Соборна, 42",Фастів,0
1094673634,,,,,1904764,"Дом, отдых и зоотовары >> New Year",novogodko,Декор New Year Novogod'ko «Сова в навушниках» 19 см (974007),,645,1,https://comfy.ua/dekor-new-year-novogod-ko-sova-v-naushnikah-19-sm-974007.html,,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
1094674499,,,,,1904793,"Дом, отдых и зоотовары >> New Year",yes-fun,Декор New Year YES! Fun 20х12х45 см Білий (973610),,355,1,https://comfy.ua/dekor-new-year-yes-fun-20h12h45-sm-belyj-973610.html,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
1094680105,,,,,1904794,"Дом, отдых и зоотовары >> New Year",yes-fun,Декор New Year YES! Fun 20х12х54 см Білий (973611),,355,1,https://comfy.ua/dekor-new-year-yes-fun-20h12h54-sm-belyj-973611.html,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
1095047718,6802491,STARK,Пылесос STARK VC-1400-18,2697,1941414,Техника для дома >> Мелкая техника,stark,Пилосос для сухого прибирання без мішка Stark VC-1400-18 (225014018),,2699,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-bez-meshka-stark-vc-1400-18-225014018.html,,05.11.2025 18:13,,"вул. Соборна, 42",Фастів,0
1095047769,,,,,1942726,Comfy KIDS >> Творчество и развитие >> Все для рисования >> Все для рисования IHeartArt,iheartart,Набір для малювання IHeartArt Пастель-колаж (8008),,699,1,https://comfy.ua/nabor-dlja-risovanija-iheartart-pastel-kollazh-8008.html,,05.11.2025 20:44,,"вул. Соборна, 42",Фастів,0
1095047773,,,,,1942766,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Driven,driven,Ігровий набір мікс Driven 4 шт. (WH1121Z),,259,1,https://comfy.ua/igrovoj-nabor-miks-driven-4-sht-wh1121z.html,529,06.11.2025 0:17,,"вул. Соборна, 42",Фастів,0
1095047785,6855045,DRIVEN,Игровой набор DRIVEN POCKET SERIES Гоночная трасса 2в1 80 пр (WH1108Z),716,1942763,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Driven,driven,Ігровий набір дорога Driven Гоночна траса 2в1 80 шт. (WH1108Z),,849,1,https://comfy.ua/igrovoj-nabor-doroga-driven-gonochnaja-trassa-2v1-80-sht-wh1108z.html,1379,05.11.2025 23:05,,"вул. Соборна, 42",Фастів,0
1095047789,6861919,LI'L WOODZEEZ,Машинка LI'L WOODZEEZ Машинка фермера LI'I WOODZEEZ Red (WZ6611Z),1669,1942768,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Li'l Woodzeez,lil-woodzeez,Колекційна фігурка Li'l Woodzeez Машина фермера (WZ6611Z),,1989,1,https://comfy.ua/kollekcionnaja-figurka-li-l-woodzeez-mashina-fermera-wz6611z.html,2899,06.11.2025 1:39,,"вул. Соборна, 42",Фастів,0
1095047790,6813478,ADE,Термометр для духовки ADE BBQ 1801,545,1904325,Посуда >> Кухонные аксессуары,ade,Термометр для м'яса ADE BBQ 1801,,726,1,https://comfy.ua/termometr-dlja-mjasa-ade-bbq-1801.html,,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
1095047791,6906539,ELECTROLUX,Термометр для мяса ELECTROLUX E4KTD001 (902979406),1119,1939020,Посуда >> Кухонные аксессуары >> Посуда для мяса и рыбы >> Посуда для мяса и рыбы Electrolux,electrolux,Термометр для м'яса Electrolux E4KTD001,,1119,1,https://comfy.ua/termometr-dlja-mjasa-electrolux-e4ktd001.html,,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
