1441310812,6771709,TVS,Форма для выпечки TVS Velvet 31 х 23 см Grey (62706311430001),679,2236784,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко TVS,tvs,Форма для приготування TVS Velvet 31х23 см (8000807253038),,679,1,https://comfy.ua/forma-dlja-prigotovlenija-tvs-velvet-31h23-sm-8000807253038.html,1219,05.11.2025 18:57,,"вул. Соборна, 42",Фастів,0
1441375822,6834991,TVS,Форма TVS Terra Italia Induction 30 см (EH055301530201),1039,2236789,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко TVS,tvs,Форма для приготування TVS Terra Italia Induction 30 см (8000807062975),,1039,1,https://comfy.ua/forma-dlja-prigotovlenija-tvs-terra-italia-induction-30-sm-8000807062975.html,1479,05.11.2025 19:09,,"вул. Соборна, 42",Фастів,0
1441375828,,,,,2236788,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко TVS,tvs,Форма для приготування TVS Terra Italia Induction 35х27 см (8000807062968),,1749,1,https://comfy.ua/forma-dlja-prigotovlenija-tvs-terra-italia-induction-35h27-sm-8000807062968.html,2499,05.11.2025 19:10,,"вул. Соборна, 42",Фастів,0
1441411964,,,,,.2243073,Посуда >> Для приготовления,gusto,Каструля Gusto GT-T-120-WR Перчинка біла  20 см 4.0 л,,850,1,https://comfy.ua/kastrjulja-gusto-gt-t-120-wr-perchinka-belaja-20-sm-4-0-l.html,,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
1441411978,,,,,.2242958,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,Чохол для смартфону BeCover Exclusive for Samsung Galaxy M33 5G SM-M336 Dark Green (707944),,299,1,https://comfy.ua/chehol-dlja-smartfona-becover-exclusive-for-samsung-galaxy-m33-5g-sm-m336-dark-green-707944.html,,05.11.2025 18:11,,"вул. Соборна, 42",Фастів,0
1441417727,,,,,2244661,Посуда >> Для напитков >> Стаканы >> Стаканы Ardesto,ardesto,Набір склянок з подвійними стінками Ardesto Animals 300 мл 2 шт. (AR2630AR),,525,1,https://comfy.ua/nabor-stakanov-s-dvojnymi-stenkami-ardesto-animals-300-ml-2-sht-ar2630ar.html,,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
1441417728,6867180,ARDESTO,Набор кружек ARDESTO Animals 300 мл 2шт (AR2630ARB),337,2244662,Посуда >> Для напитков >> Стаканы >> Стаканы Ardesto,ardesto,Набір склянок з подвійними стінками Ardesto Animals 300 мл 2 шт. (AR2630ARB),,337,1,https://comfy.ua/nabor-stakanov-s-dvojnymi-stenkami-ardesto-animals-300-ml-2-sht-ar2630arb.html,555,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
1441480766,,,,,.2155116,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",asus,"""Адаптер мережі WiFi",,,,,,,,,,
"Asus PCE-AX1800""",,1449,1,https://comfy.ua/adapter-seti-wifi-asus-pce-ax1800.html,,05.11.2025 17:24,,"вул. Соборна, 42",Фастів,0,,,,,,,,
1441499766,6905153,TP-LINK,Wi-Fi роутер TP-LINK Deco X60 (1-pack),6599,2218455,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Маршрутизаторы интернет >> Маршрутизаторы интернет TP-Link",tp-link,MESH система WiFi6 TP-Link Deco X60(1-pack),,6235,1,https://comfy.ua/mesh-sistema-wifi5-tp-link-deco-x60-1-pack.html,,05.11.2025 17:55,,"вул. Соборна, 42",Фастів,0
1441500867,,,,,.2241735,"Аудио, фото и видео >> Наушники",jedel,Гарнітура дротова ігрова Jedel OH-625,,279,1,https://comfy.ua/garnitura-provodnaja-igrovaja-jedel-oh-625.html,,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
1441576705,6862247,HILTON,Электрочайник HILTON HEK-185,229,2232201,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические HILTON,hilton,Електричний чайник HILTON HEK-185,,229,1,https://comfy.ua/jelektricheskij-chajnik-hilton-hek-185.html,269,05.11.2025 18:46,,"вул. Соборна, 42",Фастів,0
1441590878,6834231,TEFAL,Электрочайник TEFAL KI831E10,3099,2216248,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Tefal,tefal,Електричний чайник Tefal KI831E10,,3099,1,https://comfy.ua/jelektricheskij-chajnik-tefal-ki831e10.html,3799,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
1441592777,6854438,MAGIO,Электрочайник Magio MG-499,1199,2244544,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Magio,magio,Електричний чайник Magio MG-499,,1369,1,https://comfy.ua/jelektricheskij-chajnik-magio-mg-499.html,,05.11.2025 19:56,,"вул. Соборна, 42",Фастів,0
1441802120,6855664,BOSCH,Дрель-шуруповерт BOSCH GSR 12V-3012 V (0.601.9G9.001),6504,2234033,Инструменты и автотовары >> Электроинструменты >> Шуруповерты >> Шуруповерты Bosch,bosch,Дриль-шуруповерт Bosch GSR 12V-30 (0.601.9G9.001),,6505,1,https://comfy.ua/drel-shurupovert-bosch-gsr-12v-30-0-601-9g9-001.html,,05.11.2025 20:41,,"вул. Соборна, 42",Фастів,0
1441873406,,,,,.2244548,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",avermedia,Веб-камера для комп'ютера Avermedia Live Streamer CAM 313 1080p30 Black (40AAPW313AWM),,2999,1,https://comfy.ua/veb-kamera-dlja-komp-jutera-avermedia-live-streamer-cam-313-1080p30-black-40aapw313asf.html,,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
1441893757,6833948,KIVI,Телевизор KIVI 32F750NW,7999,2242920,Телевизоры и мультимедиа >> Телевизоры >> Телевизоры KIVI,kivi,Телевізор KIVI 32F750NW,,7199,1,https://comfy.ua/televizor-kivi-32f750nw.html,7999,05.11.2025 18:13,,"вул. Соборна, 42",Фастів,0
