1660133635,column,column,column,column,2715548,Техника для кухни >> Крупная техника,faber,__faber_inka_plus_hcs_x_a522,column,7959,1,httpscomfyuavytjazhkavstraivaemajafaberinkaplushcsxa52html,column,05112025_2018,column,__42,Фастів,0
1661431243,,,,,2900390,Смартфоны и телефоны >> Аксессуары для смартфонов >> Держатели >> Держатели Colorway,colorway,Автотримач Colorway Metallic Gravity Holder 3 Black (CW-CHG14-BK),,209,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-colorway-metallic-gravity-holder-3-black-cw-chg14-bk.html,,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
1661431670,,,,,.2899637,Техника для кухни >> Хранение продуктов,eta,Сушарка для фруктів та овочів ETA Vital Air II 2302 90000,,7899,1,https://comfy.ua/sushilka-dlja-fruktov-i-ovoschej-eta-vital-air-ii-2302-90000.html,,05.11.2025 17:24,,"вул. Соборна, 42",Фастів,0
1661435016,6803804,IDEA HOME,Вешалка IDEA HOME 8 шт,139,2780191,"Дом, отдых и зоотовары >> Хранение и уход за одеждой >> Вешалки и чехлы для одежды >> Вешалки и чехлы для одежды Idea Home",idea-home,"Вішалка Idea Home 39,4х21 см 8 шт. Black (6803804)",,199,1,https://comfy.ua/veshalka-idea-home-39-4h21-sm-8-sht-black-6803804.html,,05.11.2025 19:59,,"вул. Соборна, 42",Фастів,0
1661437373,6965872,OCLEAN,Набор сменных насадок OCLEAN Ultra Gum Care Brush Head 2psc UG01 G02 Green (6970810553536),799,2860825,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки Oclean,oclean,Насадка для зубної щітки Oclean UG01 G02 Ultra Gum Care Brush Green 2 шт. (6970810553536),,799,1,https://comfy.ua/nasadka-dlja-zubnoj-schetki-oclean-ug01-g02-ultra-gum-care-brush-green-2-sht-6970810553536.html,899,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
1661437414,6965871,OCLEAN,Набор сменных насадок OCLEAN Ultra Gum Care Brush Head 2psc UG02 B02 Black (6970810553567),799,2860826,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки Oclean,oclean,Насадка для зубної щітки Oclean UG02 B02 Ultra Gum Care Brush Black 2 шт. (6970810553567),,799,1,https://comfy.ua/nasadka-dlja-zubnoj-schetki-oclean-ug02-b02-ultra-gum-care-brush-black-2-sht-6970810553567.html,899,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
1661437423,6965862,OCLEAN,Насадки OCLEAN Professional Clean Brush Head P1C1 W02 pcs White (6970810553765),599,2860816,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки Oclean,oclean,Насадка для зубної щітки Oclean P1C1 W02 Professional Clean Brush Head White 2 шт. (6970810553765),,599,1,https://comfy.ua/nasadka-dlja-zubnoj-schetki-oclean-p1c1-w02-professional-clean-brush-head-white-2-sht-6970810553765.html,699,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
1661437449,6965864,OCLEAN,Насадки OCLEAN Professional Clean Brush Head P1C5 B02 2psc Black (6970810553857),599,2860819,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки Oclean,oclean,Насадка для зубної щітки Oclean P1C5 B02 Professional Clean Brush Head Black 2 шт. (6970810553857),,599,1,https://comfy.ua/nasadka-dlja-zubnoj-schetki-oclean-p1c5-b02-professional-clean-brush-head-black-2-sht-6970810553857.html,699,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
1661437455,6965865,OCLEAN,Насадки OCLEAN Professional Clean Brush Head P1C5 B06 6psc Black (6970810553864),1006,2860818,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки Oclean,oclean,Насадка для зубної щітки Oclean P1C5 B06 Professional Clean Brush Head Black 6 шт. (6970810553864),,1199,1,https://comfy.ua/nasadka-dlja-zubnoj-schetki-oclean-p1c5-b06-professional-clean-brush-head-black-6-sht-6970810553864.html,1399,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
1661437469,6965868,OCLEAN,Насадки OCLEAN Ultra Clean Brush Head 2psc UC01 G02 Green (6970810553512),799,2860821,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки Oclean,oclean,Насадка для зубної щітки Oclean UC01 G02 Ultra Clean Brush Head Green 2 шт. (6970810553512),,799,1,https://comfy.ua/nasadka-dlja-zubnoj-schetki-oclean-uc01-g02-ultra-clean-brush-head-green-2-sht-6970810553512.html,899,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
1661437481,6965867,OCLEAN,Насадки OCLEAN Ultra Clean Brush Head 2psc UC02 B02 Black (6970810553543),799,2860822,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки Oclean,oclean,Насадка для зубної щітки Oclean UC02 B02 Ultra Clean Brush Head Black 2 шт. (6970810553543),,799,1,https://comfy.ua/nasadka-dlja-zubnoj-schetki-oclean-uc02-b02-ultra-clean-brush-head-black-2-sht-6970810553543.html,899,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
1661437494,6965870,OCLEAN,Насадки OCLEAN Ultra White Brush Head 2psc UW01 G02 Green (6970810553529),799,2860824,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки Oclean,oclean,Насадка для зубної щітки Oclean UW01 G02 Ultra White Brush Head Green 2 шт. (6970810553529),,799,1,https://comfy.ua/nasadka-dlja-zubnoj-schetki-oclean-uw01-g02-ultra-white-brush-head-green-2-sht-6970810553529.html,899,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
1661439757,,,,,.2893185,Техника для кухни >> Мелкая техника,eta,Електричний чайник ETA Ela Digi 9598 90010,,1499,1,https://comfy.ua/jelektricheskij-chajnik-eta-ela-digi-9598-90010.html,,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
1661461273,,,,,2850626,Игровые консоли и гейминг >> Комплектующие для игровых ПК,arctic,Корпусний вентилятор ARCTIC S8038-10K (ACFAN00279A),,569,1,https://comfy.ua/korpusnyi-ventilyator-arctic-s8038-10k-acfan00279a.html,,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,0
1661461461,,,,,.2850628,Игровые консоли и гейминг >> Комплектующие для игровых ПК,arctic,Корпусний вентилятор ARCTIC S8038-10K/4-PACK (ACFAN00291A),,1899,1,https://comfy.ua/korpusnyi-ventilyator-arctic-s8038-10k-4-pack-acfan00291a.html,,05.11.2025 19:01,,"вул. Соборна, 42",Фастів,0
1661461475,6974556,PRIME TECHNICS,Мясорубка PRIME TECHNICS PG 2243 WGD,3999,2890779,Техника для кухни >> Мелкая техника >> Мясорубки >> Мясорубки Prime Technics,prime-technics,М'ясорубка Prime Technics PG 2243 WGD,,3999,1,https://comfy.ua/mjasorubka-prime-technics-pg-2243-wgd.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
