1661931443,6989468,xiaomi,_xiaomi_smart_air_fryer_maf10_white,4999,2896214,______________xiaomi,xiaomi,_xiaomi_smart_air_fryer_maf10_white,column,4999,1,httpscomfyuamultipechxiaomismartairfryermaf10whitehtml,column,05112025_1739,column,__42,Фастів,0
1661937677,7110243,TREFL,Пазлы TREFL Star Wars Мандалорец Единство 160 эл. (20187),659,2876352,Детские товары >> Игрушки >> Пазлы >> Пазлы Trefl,trefl,"""Пазли (5-7 років) Trefl """"Зоряні війни - Мандалорець""""  (160 елем.) (20187)""",,515,1,https://comfy.ua/pazly-derevjannye-5-7-let-trefl-zvezdnye-vojny-mandalorec-160-jelem-20187.html,,06.11.2025 0:01,,"вул. Соборна, 42",Фастів,0
1661937679,7031158,TREFL,Пазл TREFL Антикварный магазин 1000 эл (20175),1434,2876354,Детские товары >> Игрушки,trefl,"""Пазли (5-7 років) Trefl """"Антикварний магазин""""  (1000 елем.) (20175)""",,1439,1,https://comfy.ua/pazly-derevjannye-5-7-let-trefl-antikvarnyj-magazin-1000-jelem-20175.html,,05.11.2025 23:27,,"вул. Соборна, 42",Фастів,0
1661937681,,,,,2876357,Детские товары >> Игрушки,trefl,"""Пазли (5-7 років) Trefl """"Дісней - Мікі Маус""""  (50 елем.) (20199)""",,509,1,https://comfy.ua/pazly-derevjannye-5-7-let-trefl-disnej-mikki-maus-50-elem-20199.html,,05.11.2025 23:30,,"вул. Соборна, 42",Фастів,0
1661937686,7109941,TREFL,Пазл TREFL Wooden Marvel Heroes Танос на троне 160 эл (20184),629,2876363,Детские товары >> Игрушки >> Пазлы >> Пазлы Trefl,trefl,"""Пазли (5-7 років) Trefl """"Месники - Танос на троні""""  (160 елем.) (20184)""",,515,1,https://comfy.ua/pazly-derevjannye-5-7-let-trefl-mstiteli-tanos-na-trone-160-jelem-20184.html,,06.11.2025 0:01,,"вул. Соборна, 42",Фастів,0
1661937687,7031146,TREFL,"""acc/child TREFL Пазли фігурні з дерева - (500 + 1 елм.) - """"Міні та Міккі""""""",1145,2876364,Детские товары >> Игрушки,trefl,"""Пазли (5-7 років) Trefl """"Міні та Міккі""""  (500 + 1 елем.) (20182)""",,1149,1,https://comfy.ua/pazly-derevjannye-5-7-let-trefl-mini-i-mikki-500-1-jelem-20182.html,,05.11.2025 23:46,,"вул. Соборна, 42",Фастів,0
1661937688,7031147,TREFL,"""Пазл TREFL 500 + 5 елм. - """"Маска робота"""" (20195)""",1399,2876365,Детские товары >> Игрушки >> Пазлы >> Пазлы Trefl,trefl,"""Пазли (5-7 років) Trefl """"Маска робота""""  (500 + 5 елем.) (20195)""",,1669,1,https://comfy.ua/pazly-derevjannye-5-7-let-trefl-maska-robota-500-5-jelem-20195.html,,06.11.2025 0:01,,"вул. Соборна, 42",Фастів,0
1661937689,,,,,2876366,Детские товары >> Игрушки,trefl,"""Пазли (5-7 років) Trefl """"Дісней - Різдво у Міккі та Міні""""  (160 елем.) (20192)""",,515,1,https://comfy.ua/pazly-derevjannye-5-7-let-trefl-disnej-rozhdestvo-v-mikki-i-mini-160-jelem-20192.html,,05.11.2025 23:39,,"вул. Соборна, 42",Фастів,0
1661937690,7031144,TREFL,"""Пазл TREFL 500 + 1 елм. - """"Сокровища на чердаке"""" (20179)""",949,2876367,Детские товары >> Игрушки >> Пазлы >> Пазлы Trefl,trefl,"""Пазли (5-7 років) Trefl """"Скарби на горищі""""  (500 + 1 елем.) (20179)""",,1075,1,https://comfy.ua/pazly-derevjannye-5-7-let-trefl-sokrovischa-na-cherdake-500-1-jelem-20179.html,,05.11.2025 23:39,,"вул. Соборна, 42",Фастів,0
1661937692,,,,,2876377,Детские товары >> Игрушки,trefl,"""Пазли (3-4 роки) Trefl розмальовка - """"Музика тролів"""" (24 елем. SUPER MAXI) (41017)""",,325,1,https://comfy.ua/pazly-kartonnye-3-4-goda-trefl-raskraska-muzyka-trollej-24-jelem-super-maxi-41017.html,,05.11.2025 23:46,,"вул. Соборна, 42",Фастів,0
1661937693,,,,,2876378,Детские товары >> Игрушки,trefl,"""Пазли (3-4 роки) Trefl розмальовка - """"Подорож"""" / Томас та його друзі  (24 елем. SUPER MAXI) (41014)""",,325,1,https://comfy.ua/pazly-kartonnye-3-4-goda-trefl-raskraska-puteshestvie-tomas-i-ego-druz-ja-24-jelem-super-maxi-41014.html,,06.11.2025 0:01,,"вул. Соборна, 42",Фастів,0
1661937734,,,,,2832264,Инструменты и автотовары >> Электроинструменты >> Шлифовальные машины >> Шлифовальные машины Ronix,ronix,Болгарка Ronix 3260,,3599,1,https://comfy.ua/bolgarka-ronix-3260.html,,05.11.2025 21:10,,"вул. Соборна, 42",Фастів,0
1661937867,,,,,.2893162,Техника для кухни >> Мелкая техника,eta,Тостер ETA Storio 9166 90020 Black,,1399,1,https://comfy.ua/toster-eta-storio-9166-90020-black.html,,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
1661937868,,,,,.2893163,Техника для кухни >> Мелкая техника,eta,Тостер ETA Storio 9166 90030 Red,,1399,1,https://comfy.ua/toster-eta-storio-9166-90030-red.html,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
1661937869,,,,,.2893164,Техника для кухни >> Мелкая техника,eta,Тостер ETA Storio 9166 90040 Beige,,1449,1,https://comfy.ua/toster-eta-storio-9166-90040-beige.html,,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
1661938954,,,,,2876081,Детские товары >> Игрушки >> Пазлы >> Пазлы Trefl,trefl,"""Пазли (3-4 роки) Trefl """"Зустрічайте веселих тролів""""  (3в1) (34870)""",,249,1,https://comfy.ua/pazly-kartonnye-3-4-goda-trefl-vstrechajte-veselyh-trollej-3v1-34870.html,,06.11.2025 0:30,,"вул. Соборна, 42",Фастів,0
1661941213,6950093,MASTERPRO,Набор форм MASTERPRO Foodies collection 2 пр (BGMP-7345),809,2818595,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Masterpro,masterpro,Набір форм для приготування Masterpro Foodies collection 2 шт. (BGMP-7345),,809,1,https://comfy.ua/nabor-form-dlja-prigotovlenija-masterpro-foodies-collection-2-sht-bgmp-7345.html,1459,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
1661943697,,,,,2669391,Comfy KIDS >> Творчество и развитие >> Мозаика >> Мозаика XOKO,xoko,Аквамозаїка XOKO Перлина 3200 +аксесуари+ книжка з трафаретами (XK-PRL-32-B),,599,1,https://comfy.ua/akvamozaika-xoko-zhemchuzhina-3200-aksessuary-kniga-s-trafaretami-xk-prl-32-b.html,,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
1661943713,,,,,2790959,Детские товары >> Кормление,akuku,Накладки для годування Akuku A0248,,399,1,https://comfy.ua/nakladki-dlja-kormlenija-akuku-a0248.html,,05.11.2025 20:55,,"вул. Соборна, 42",Фастів,0
1661943736,,,,,2308222,Детские товары >> Кормление,akuku,Прокладки для грудей Akuku A0354,,159,1,https://comfy.ua/prokladki-dlja-grudi-akuku-a0354.html,,05.11.2025 21:43,,"вул. Соборна, 42",Фастів,0
