1669208842,column,column,column,column,2915016,________________2e,2e,___switch_2e_powerlink_sp401f_2esp401f2,column,799,1,httpscomfyuakommutatorlokalnojsetiswitch2epowerlinksp401f2esp401f2html,column,05112025_1749,column,__42,Фастів,0
1669262529,6973351,HEINNER,Бутербродница HEINNER SM-K750FGSL,599,2937946,Техника для кухни >> Мелкая техника >> Бутербродницы >> Бутербродницы Heinner,heinner,Бутербродниця Heinner SM-K750FGSL,,599,1,https://comfy.ua/buterbrodnica-heinner-sm-k750fgsl.html,,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
1669282833,6952943,HEINNER,Электропечь HEINNER HCE-S37DKA,4199,2937728,Техника для кухни >> Крупная техника >> Электрические печи >> Электрические печи Heinner,heinner,Піч електрична Heinner HCE-S37DKA,,4199,1,https://comfy.ua/pech-jelektricheskaja-heinner-hce-s37dka.html,,05.11.2025 19:54,,"вул. Соборна, 42",Фастів,0
1669290038,,,,,2531858,Инструменты и автотовары >> Полив >> Насосы >> Насосы Werk,werk,Занурювальний насос Werk SPD-10H,,2205,1,https://comfy.ua/poverhnevij-nasos-werk-spd-10h.html,,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
1669292608,6977778,KITCHENAID,Сковорода KITCHENAID Forged Hardened Aluminium 20 см Black (CC005692-001),5349,2868298,Посуда >> Для приготовления >> Сковороды >> Сковороды KitchenAid,kitchenaid,Сковорода універсальна KitchenAid FHA 20 см (CC005692-001),,5349,1,https://comfy.ua/skovoroda-universal-naja-kitchenaid-fha-20-sm-cc005692-001.html,,05.11.2025 20:43,,"вул. Соборна, 42",Фастів,0
1669293277,,,,,.2908721,Игровые консоли и гейминг >> Комплектующие для игровых ПК,arctic,Процесорний кулер ARCTIC Freezer 36 (ACFRE00121A),,1579,1,https://comfy.ua/processornyj-kuler-arctic-freezer-36-acfre00121a.html,,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,0
1669293278,,,,,.2908722,Игровые консоли и гейминг >> Комплектующие для игровых ПК,arctic,Процесорний кулер ARCTIC Freezer 36 CO (ACFRE00122A),,1919,1,https://comfy.ua/processornyj-kuler-arctic-freezer-36-co-acfre00122a.html,,05.11.2025 19:02,,"вул. Соборна, 42",Фастів,0
1669293279,,,,,.2908724,Игровые консоли и гейминг >> Комплектующие для игровых ПК,arctic,Процесорний кулер ARCTIC Freezer 36 Black (ACFRE00123A),,1669,1,https://comfy.ua/processornyj-kuler-arctic-freezer-36-black-acfre00123a.html,,05.11.2025 18:59,,"вул. Соборна, 42",Фастів,0
1669299030,,,,,2915017,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Коммутатор локальной сети >> Коммутатор локальной сети 2E",2e,Коммутатор локальної мережі (Switch) 2E PowerLink SP402F (2E-SP402F-2),,935,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-2e-powerlink-sp402f-2e-sp402f-2.html,,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
1669307388,6963859,MIELE,Пылесос MIELE SOUL5 36 TRIFLEX HX2 125 Edition Gray (41OUL536UA),22985,2940858,Техника для дома >> Мелкая техника >> Ручные пылесосы >> Ручные пылесосы Miele,miele,Пилосос ручний для дому Miele SOUL5 36 TRIFLEX HX2 125 Edition сірий (41OUL536UA),,22985,1,https://comfy.ua/pylesos-ruchnoj-dlja-doma-miele-soul5-36-triflex-hx2-125-edition-seryj-41oul536ua.html,,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
1669311543,6930452,HATOR,Кресло HATOR Flash Black/Red (HTC-401),4399,2935915,"Дом, отдых и зоотовары >> Мебель >> Кресла для геймеров и аксессуары >> Кресла для геймеров и аксессуары Hator",hator,Крісло для геймерів Hator Flash Black/Red (HTC-401),,4399,1,https://comfy.ua/kreslo-dlja-gejmerov-hator-flash-black-red-htc-401.html,5999,05.11.2025 20:04,,"вул. Соборна, 42",Фастів,0
1669311550,6893354,DEFENDER,Кресло DEFENDER Watcher Black ((64334)),6999,2914020,"Дом, отдых и зоотовары >> Мебель >> Кресла для геймеров и аксессуары >> Кресла для геймеров и аксессуары Defender",defender,Крісло для геймерів Defender Watcher Black (64334),,6299,1,https://comfy.ua/kreslo-dlja-gejmerov-defender-watcher-black-64334.html,,05.11.2025 19:46,,"вул. Соборна, 42",Фастів,0
1669311552,6893356,DEFENDER,Кресло DEFENDER Ultimate Black (64355),7399,2914022,"Дом, отдых и зоотовары >> Мебель >> Кресла для геймеров и аксессуары >> Кресла для геймеров и аксессуары Defender",defender,Крісло для геймерів Defender Ultimate Black (64355),,7299,1,https://comfy.ua/kreslo-dlja-gejmerov-defender-ultimate-black-64355.html,,05.11.2025 20:06,,"вул. Соборна, 42",Фастів,0
1669311593,6983771,ROWENTA,Выпрямитель ROWENTA SF3320F0,1599,2913219,Красота и здоровье >> Уход за волосами >> Выпрямители волос >> Выпрямители волос Rowenta,rowenta,Вирівнювач волосся Rowenta SF3320F0,,1599,1,https://comfy.ua/vyprjamitel-volos-rowenta-sf3320f0.html,1799,05.11.2025 18:29,,"вул. Соборна, 42",Фастів,0
1669314184,6973896,ZELMER,Мясорубка ZELMER ZMM5802P,6759,2900379,Техника для кухни >> Мелкая техника,zelmer,М'ясорубка Zelmer ZMM5802P,,6759,1,https://comfy.ua/mjasorubka-zelmer-zmm5802p.html,,05.11.2025 19:10,,"вул. Соборна, 42",Фастів,0
1669314379,6971413,PHILIPS,Настольная лампа PHILIPS Ivory (929003194707),1889,2898061,"Дом, отдых и зоотовары >> Освещение >> Настольные лампы и ночники >> Настольные лампы и ночники Philips",philips,Настільна лампа Philips Ivory 5Вт 3000/4000/5000K 3000мАг USB-A (929003194707),,1749,1,https://comfy.ua/nastol-naja-lampa-philips-ivory-5vt-3000-4000-5000k-3000mag-usb-a-929003194707.html,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
