743724940,,,,,1680381,Посуда >> Для запекания и выпечки,tescoma,Набір форм для печива tescoma 630927 Delicia Kids 8 шт.,,399,1,https://comfy.ua/nabor-form-dlja-pechen-ja-tescoma-630927-delicia-kids-8-sht.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
743724947,,,,,.1680382,Посуда >> Для запекания и выпечки,tescoma,Набір форм для печива tescoma 630929 Delicia Kids 9 шт.,,399,1,https://comfy.ua/nabor-form-dlja-pechen-ja-tescoma-630929-delicia-kids-9-sht.html,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
743724952,,,,,1661418,Посуда >> Для сервировки,tescoma,Салатник tescoma 389228 Giro 28 см,,999,1,https://comfy.ua/salatnik-tescoma-389228-giro-28-sm.html,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
743724980,,,,,1677579,Посуда >> Для сервировки >> Бокалы >> Бокалы Tescoma,tescoma,Келих tescoma 306416 Charlie 700 мл,,459,1,https://comfy.ua/bokal-tescoma-306416-charlie-700-ml.html,,05.11.2025 20:04,,"вул. Соборна, 42",Фастів,0
743724981,,,,,1677576,Посуда >> Для сервировки >> Бокалы и рюмки >> Бокалы и рюмки Tescoma,tescoma,Келих tescoma 306260 Crema 300 мл,,449,1,https://comfy.ua/bokal-tescoma-306260-crema-300-ml.html,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
743724982,,,,,1677577,Посуда >> Для сервировки >> Бокалы и рюмки >> Бокалы и рюмки Tescoma,tescoma,Келих tescoma 306262 Crema 500 мл,,549,1,https://comfy.ua/bokal-tescoma-306262-crema-500-ml.html,,05.11.2025 20:08,,"вул. Соборна, 42",Фастів,0
743725138,,,,,1661386,Посуда >> Для сервировки,tescoma,Салатник tescoma 387094 Crema 17 см,,649,1,https://comfy.ua/salatnik-tescoma-387094-crema-17-sm.html,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
743729526,,,,,1677876,Посуда >> Для запекания и выпечки,tescoma,Форма для приготування tescoma 622014 25 х 16 см,,999,1,https://comfy.ua/forma-dlja-prigotovlenija-tescoma-622014-25-h-16-sm.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
743729584,,,,,1675304,Инструменты и автотовары >> Электроинструменты >> Аккумуляторы и зарядные устройства >> Аккумуляторы и зарядные устройства Ryobi,ryobi,З/П до акумуляторної батареї для електроінструментів Ryobi RY36C60A,,3449,1,https://comfy.ua/z-u-k-akkumuljatornoj-bataree-dlja-jelektroinstrumentov-ryobi-ry36c60a.html,4444,05.11.2025 21:53,,"вул. Соборна, 42",Фастів,0
743730153,6312893,JABRA,Гарнитура JABRA Evolve 20 MS Stereo (4999-823-109),1899,1651038,"Аудио, фото и видео >> Наушники >> Наушники Jabra",jabra,Гарнітура дротова Jabra Evolve 20 MS Stereo (4999-823-109),,1899,1,https://comfy.ua/garnitura-provodnaja-jabra-evolve-20-ms-stereo-4999-823-109.html,,05.11.2025 18:21,,"вул. Соборна, 42",Фастів,0
743730202,,,,,1661461,Посуда >> Для сервировки,tescoma,Тарілка супова tescoma 387030 Crema 22 см,,449,1,https://comfy.ua/tarelka-supovaja-tescoma-387030-crema-22-sm.html,,05.11.2025 20:19,,"вул. Соборна, 42",Фастів,0
743730243,,,,,1677712,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Tescoma,tescoma,Тарілка супова tescoma 385138 Opus Gold 22 см,,599,1,https://comfy.ua/tarelka-supovaja-tescoma-385138-opus-gold-22-sm.html,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
743760165,,,,,1683562,Техника для кухни >> Крупная техника,liberton,Мікрохвильова піч (НВЧ) Liberton LMW-2089MG,,2699,1,https://comfy.ua/catalog/product/view/id/1363633,,05.11.2025 18:11,,"вул. Соборна, 42",Фастів,0
743760166,,,,,1683565,Техника для кухни >> Крупная техника,gorenje,Варильна поверхня газова Gorenje GW 642 CLB,,13799,1,https://comfy.ua/catalog/product/view/id/1363593,14399,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
743771256,,,,,1683565,Техника для кухни >> Крупная техника,gorenje,Варильна поверхня газова Gorenje GW 642 CLB,,13799,1,https://comfy.ua/catalog/product/view/id/1363593/s/varochnaja-panel-gazovaja-gorenje-gw-642-clb,14399,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
743785849,6377543,PHILIPS,Пылесос PHILIPS FC9334/09,6999,1679007,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Philips,philips,Пилосос для сухого прибирання без мішка Philips FC9334/09,,6999,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-bez-meshka-philips-fc9334-09.html,8499,05.11.2025 17:30,,"вул. Соборна, 42",Фастів,1
