1336846244,6812318,LIBERTY,Электропечь LIBERTY T-260 CW,4609,2052136,Техника для кухни >> Крупная техника >> Электрические печи >> Электрические печи Liberty,liberty,Піч електрична Liberty T-260 CW,,4609,1,https://comfy.ua/pech-jelektricheskaja-liberty-t-260-cw.html,,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
1337100779,6805816,INDESIT,Посудомоечная машина INDESIT DSFO3T224C,14599,2053080,Техника для кухни >> Крупная техника >> Посудомоечные машины >> Посудомоечные машины Indesit,indesit,Посудомийна машина окремостояча Indesit DSFO 3T224 C,,14999,1,https://comfy.ua/posudomoechnaja-mashina-otdel-nostojaschaja-indesit-dsfo-3t224-c.html,15599,05.11.2025 18:18,,"вул. Соборна, 42",Фастів,0
1337114049,7170868,PERFELLI,Варочная поверхность PERFELLI HGM 61424 WH,6299,1975758,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Perfelli,perfelli,Варильна поверхня газова Perfelli HGM 61424 WH,,6299,1,https://comfy.ua/varochnaja-panel-gazovaja-perfelli-hgm-61424-wh.html,,05.11.2025 20:57,,"вул. Соборна, 42",Фастів,0
1337115577,,,,,.2032646,Игровые консоли и гейминг >> Комплектующие для игровых ПК,qube,Блок живлення для ПК QUBE 700W 80+ Bronze (QBC-GPM-700W-80B),,2349,1,https://comfy.ua/blok-pitanija-dlja-pk-qube-700w-80-bronze-qbc-gpm-700w-80b.html,,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
1337115578,,,,,2032647,Игровые консоли и гейминг >> Комплектующие для игровых ПК,qube,Блок живлення для ПК QUBE 600W 80+ (QBC-GPS600A12),,1829,1,https://comfy.ua/blok-pitanija-dlja-pk-qube-600w-80-qbc-gps600a12.html,,05.11.2025 19:06,,"вул. Соборна, 42",Фастів,0
1337115612,,,,,2032666,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gigabyte,Блок живлення для ПК Gigabyte 850W (P850GM),,4599,1,https://comfy.ua/blok-pitanija-dlja-pk-gigabyte-850w-p850gm.html,,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
1337121926,,,,,2035564,Посуда >> Для хранения >> Емкости для хранения >> Емкости для хранения Tavialo,tavialo,Набір ємностей для зберігання Tavialo 6 пр. (193500006),,580,1,https://comfy.ua/nabor-emkostej-dlja-hranenija-tavialo-6-pr-193500006.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
1337134225,6858175,BRAUN,Утюг BRAUN SI5017GR,2399,2055034,Техника для дома >> Мелкая техника >> Утюги >> Утюги Braun,braun,Праска Braun SI5017GR,,2399,1,https://comfy.ua/utjug-braun-si5017gr.html,,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
1337139626,,,,,2047874,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",viewcon,Перехідник Viewcon USB-C на HDMI (TE385),,399,1,https://comfy.ua/perehodnik-viewcon-usb-c-na-hdmi-te385.html,,05.11.2025 18:30,,"вул. Соборна, 42",Фастів,0
1337215243,6806808,KINGSTON,Флеш-драйв KINGSTON DT Exodia M 256GB USB 3.2 Teal (DTXM/256GB),749,2051324,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> Флеш USB >> Флеш USB Kingston",kingston,Флеш USB Kingston DataTraveler Exodia M 256GB Black/Teal (DTXM/256GB),,749,1,https://comfy.ua/flesh-usb-kingston-datatraveler-exodia-m-256gb-black-teal-dtxm-256gb.html,,05.11.2025 17:20,,"вул. Соборна, 42",Фастів,0
