780955074,6553990,SENSEI,Кондиционер SENSEI SAC-09HRWE/I,22269,1707121,Техника для дома >> Климатическая техника >> Кондиционеры >> Кондиционеры Sensei,sensei,Кондиціонер спліт Sensei SAC-09HRWE/I,,22269,1,https://comfy.ua/kondicioner-split-sensei-sac-09hrwe-i.html,,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
780955075,6553993,SENSEI,Кондиционер SENSEI SAC-12HRWE/I,29129,1707120,Техника для дома >> Климатическая техника >> Кондиционеры >> Кондиционеры Sensei,sensei,Кондиціонер спліт Sensei SAC-12HRWE/I,,26795,1,https://comfy.ua/kondicioner-split-sensei-sac-12hrwe-i.html,,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
780955328,,,,,1735615,Инструменты и автотовары >> Расходные материалы,tolsen,Стамеска Tolsen Профи 8 мм (25058),,169,1,https://comfy.ua/stameska-tolsen-profi-8-mm-25058.html,,05.11.2025 22:27,,"вул. Соборна, 42",Фастів,0
780955332,6945425,TOLSEN,Стамеска TOLSEN Профи 32 мм (25073),160,1734938,Инструменты и автотовары >> Расходные материалы >> Сверла и буры >> Сверла и буры Tolsen,tolsen,Стамеска Tolsen Профи 32 мм (25073),,199,1,https://comfy.ua/stameska-tolsen-profi-32-mm-25073.html,,05.11.2025 22:15,,"вул. Соборна, 42",Фастів,0
780956517,,,,,1733952,Бытовая химия >> Средства для стирки,lion,Пральний порошок Lion Beat Econo Max 3 кг,,552,1,https://comfy.ua/stiral-nyj-poroshok-lion-beat-econo-max-3-kg.html,,05.11.2025 19:30,,"вул. Соборна, 42",Фастів,0
780956526,,,,,1733953,Бытовая химия >> Средства для стирки >> Гели для стирки >> Гели для стирки Lion,lion,Гель для прання Lion Beat Drum 2 л,,629,1,https://comfy.ua/gel-dlja-stirki-lion-beat-drum-2-1-l.html,,05.11.2025 19:30,,"вул. Соборна, 42",Фастів,0
780956803,7041506,TOLSEN,Плоскогубцы TOLSEN ЕРГО 180 мм (10001),172,1734936,Инструменты и автотовары >> Ручные инструменты,tolsen,Плоскогубці Tolsen 180 мм Ерго (10001),,195,1,https://comfy.ua/catalog/product/view/id/1876053,,05.11.2025 21:42,,"вул. Соборна, 42",Фастів,0
780956804,6945438,TOLSEN,Клещи для снятия изоляции TOLSEN 160 мм (10013),156,1734935,Инструменты и автотовары >> Ручные инструменты,tolsen,Кліщі Tolsen 160 мм Ерго (10013),,195,1,https://comfy.ua/catalog/product/view/id/1876063,,05.11.2025 23:20,,"вул. Соборна, 42",Фастів,0
780956808,,,,,.1722678,Инструменты и автотовары >> Ручные инструменты,stal,Кліщі Сталь Profi 250 мм (41086),,299,1,https://comfy.ua/kleschi-stal-profi-250-mm-41086.html,,05.11.2025 21:55,,"вул. Соборна, 42",Фастів,0
780956810,,,,,.1736274,Инструменты и автотовары >> Ручные инструменты,stal,Кліщі Сталь C-type  280 мм (41122),,329,1,https://comfy.ua/kleschi-stal-c-type-280-mm-41122.html,,05.11.2025 22:11,,"вул. Соборна, 42",Фастів,0
