819712513,column,column,column,column,1711331,"Дом, отдых и зоотовары >> Сантехника",elleci,__elleci_blade_fango_43,column,6799,1,httpscomfyuasmesitelkuhonnyjellecibladefango43html,22549,05112025_2010,column,__42,Фастів,0
819712837,6869805,ELLECI,Мойка ELLECI Q 105 on top nero 40,9999,1725412,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Elleci",elleci,Мийка кухонна Elleci Q 105 On Top Nero 40,,10299,1,https://comfy.ua/mojka-kuhonnaja-elleci-q-105-on-top-nero-40.html,10999,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
819712847,6403134,ELLECI,Мойка ELLECI Q 105 under top aluminium 79,9499,1711380,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Elleci",elleci,Мийка кухонна Elleci Q 105 Under Top Aluminium 79,,10499,1,https://comfy.ua/mojka-kuhonnaja-elleci-q-105-under-top-aluminium-79.html,11499,05.11.2025 20:24,,"вул. Соборна, 42",Фастів,0
819712849,6610393,ELLECI,Мойка ELLECI Q 105 under top titanium 73,10199,1711390,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Elleci",elleci,Мийка кухонна Elleci Q 105 Under Top Titanium 73,,10499,1,https://comfy.ua/mojka-kuhonnaja-elleci-q-105-under-top-titanium-73.html,11499,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
819712929,,,,,1680587,Посуда >> Для запекания и выпечки,tescoma,Килимок для випічки tescoma 629460 Delicia SiliconPrime 40х34 см,,899,1,https://comfy.ua/kovrik-dlja-vypechki-tescoma-629460-delicia-siliconprime-40h34-sm.html,,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
819712930,,,,,1680586,Посуда >> Для запекания и выпечки,tescoma,Килимок для випічки tescoma 629458 Delicia SiliconPrime 40x30 см,,899,1,https://comfy.ua/kovrik-dlja-vypechki-tescoma-629458-delicia-siliconprime-40x30-sm.html,,05.11.2025 19:10,,"вул. Соборна, 42",Фастів,0
819712931,,,,,1661259,Посуда >> Для запекания и выпечки,tescoma,Килимок для випічки tescoma 629449 Delicia SiliconPrime 60x50 см,,2299,1,https://comfy.ua/kovrik-dlja-vypechki-tescoma-629449-delicia-siliconprime-60x50-sm.html,,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
819712932,,,,,1661260,Посуда >> Для запекания и выпечки,tescoma,Килимок для випічки tescoma 629448 Delicia SiliconPrime 50x40 см,,1599,1,https://comfy.ua/kovrik-dlja-vypechki-tescoma-629448-delicia-siliconprime-50x40-sm.html,,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
819712940,,,,,1689060,Посуда >> Для запекания и выпечки,tescoma,Відокремлювач білка tescoma 630092 Delicia,,199,1,https://comfy.ua/otdelitel-belka-tescoma-630092-delicia.html,,05.11.2025 18:56,,"вул. Соборна, 42",Фастів,0
819712944,,,,,1695407,Посуда >> Для запекания и выпечки >> Кондитерские принадлежности >> Кондитерские принадлежности Tescoma,tescoma,Шкребок для тіста tescoma 630067 Delicia,,699,1,https://comfy.ua/skrebok-dlja-testa-tescoma-630067-delicia.html,,05.11.2025 18:56,,"вул. Соборна, 42",Фастів,0
819712945,,,,,1723075,Посуда >> Для запекания и выпечки,tescoma,Кондитерський шприц tescoma 630534 Delicia,,1199,1,https://comfy.ua/konditerskij-shpric-tescoma-630534-delicia.html,,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
819712946,,,,,1099172,Посуда >> Для запекания и выпечки,tescoma,"Набір кондитерських насадок tescoma 630496 DELICIA, 21 шт.",,799,1,https://comfy.ua/nabor-konditerskih-nasadok-tescoma-630496-delicia-21-sht.html,,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
819712974,6869763,ELLECI,Мойка ELLECI EASY 300 CEMENTO 48 (8032557031253),8799,1740115,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Elleci",elleci,Мийка кухонна Elleci Easy 300 Cemento 48,,8899,1,https://comfy.ua/mojka-kuhonnaja-elleci-easy-300-cemento-48.html,9899,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
819712980,6403130,ELLECI,Мойка ELLECI Q 100 on top titanium 73,8399,1725405,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Elleci",elleci,Мийка кухонна Elleci Q 100 On Top Titanium 73,,8399,1,https://comfy.ua/mojka-kuhonnaja-elleci-q-100-on-top-titanium-73.html,9299,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
819712986,6869833,ELLECI,Мойка ELLECI Zen 102 dark grey 99,10199,1711459,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Elleci",elleci,Мийка кухонна Elleci Zen 102 Dark Grey 99,,10299,1,https://comfy.ua/mojka-kuhonnaja-elleci-zen-102-dark-grey-99.html,11499,05.11.2025 20:25,,"вул. Соборна, 42",Фастів,0
819712988,6403131,ELLECI,Мойка ELLECI Q 105 on top aluminium 79,9499,1711379,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Elleci",elleci,Мийка кухонна Elleci Q 105 On Top Aluminium 79,,10299,1,https://comfy.ua/mojka-kuhonnaja-elleci-q-105-on-top-aluminium-79.html,10599,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
819712997,,,,,1711362,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Elleci",elleci,Мийка кухонна Elleci Easy Corner Full Black 40,,14499,1,https://comfy.ua/mojka-kuhonnaja-elleci-easy-corner-full-black-40.html,15999,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
819713000,6720375,ARDESTO,Набор чашек Ardesto Animals 250 мл 2 шт (AR2625GHA),373,1780160,Посуда >> Для напитков >> Чашки >> Чашки Ardesto,ardesto,Набір чашок з подвійними стінками Ardesto Animals 250 мл 2 шт. (AR2625GHA),,373,1,https://comfy.ua/nabor-chashek-s-dvojnymi-stenkami-ardesto-animals-250-ml-2-sht-ar2625gha.html,515,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
819713008,,,,,1765073,Посуда >> Для напитков,jura,Чашка Jura 270 мл (71569),,750,1,https://comfy.ua/chashka-jura-270-ml-71569.html,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
819713011,,,,,1751344,Посуда >> Для напитков,tescoma,Набір чашок tescoma 387765 myCOFFEE 4 шт. Sugar,,2299,1,https://comfy.ua/chashka-tescoma-387765-mycoffee-4-sht-sugar.html,,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
819713014,6686913,EINHELL,Клеевый пистолет аккумуляторный Einhell X-Change TE-CG 18 Li - Solo (4522200),1554,1783639,Инструменты и автотовары >> Электроинструменты >> Клеевые пистолеты >> Клеевые пистолеты Einhell,einhell,Клейовий пістолет Einhell TE-CG 18 Li - Solo (4522200),,1555,1,https://comfy.ua/kleevoj-pistolet-einhell-te-cg-18-li-solo-4522200.html,,05.11.2025 21:33,,"вул. Соборна, 42",Фастів,0
