951431817,column,column,column,column,1831204,Смартфоны и телефоны >> Аксессуары для смартфонов,ugreen,___ugreen_cd213_36w_2xusb_qc_30_3a_car_charger_dark_blue_10144,column,429,1,httpscomfyuacatalogproductviewid2699183,column,05112025_1754,column,__42,Фастів,0
951729794,,,,,1829141,Техника для дома >> Крупная техника >> Стиральные машины >> Стиральные машины Whirlpool,whirlpool,Пральна машина Whirlpool TDLR 55020S UA,,15999,1,https://comfy.ua/stiral-naja-mashina-whirlpool-tdlr-55020s-ua.html,17499,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,0
951731245,,,,,1830722,Инструменты и автотовары >> Ручные инструменты >> Наборы инструментов >> Наборы инструментов Black&Decker,blackdecker,Набір інструментів Black&Decker A7144 71 пр.,,3729,1,https://comfy.ua/nabor-instrumentov-black-decker-a7144-71-pr.html,,05.11.2025 21:25,,"вул. Соборна, 42",Фастів,0
951796762,6748824,ZELMER,Отпариватель Zelmer ZGS1700 Perform,1499,1837231,Техника для дома >> Мелкая техника >> Утюги >> Утюги Zelmer,zelmer,Вертикальний відпарювач ручний Zelmer ZGS1700 Perform,,1499,1,https://comfy.ua/utjug-zelmer-zgs1700-perform.html,,05.11.2025 18:12,,"вул. Соборна, 42",Фастів,0
951836621,,,,,1840422,"Аудио, фото и видео >> Наушники",jabra,Гарнітура дротова Jabra BIZ 1500 Duo USB,,4535,1,https://comfy.ua/garnitura-provodnaja-jabra-biz-1500-duo-usb.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
951888195,6552064,SENCOR,Миксер SENCOR SHM 5203-EUE3,885,1840421,Техника для кухни >> Мелкая техника >> Миксеры >> Миксеры Sencor,sencor,Міксер Sencor SHM 5203-EUE3,,885,1,https://comfy.ua/mikser-sencor-shm-5203-eue3.html,,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
951888633,,,,,.1833359,Техника для дома >> Климатическая техника,roda,Радіатор опалення Roda 22 R 600х1100 (0302010119-000025464),,4399,1,https://comfy.ua/radiator-otoplenija-roda-22-r-600h1100-0302010119-000025464.html,,05.11.2025 18:30,,"вул. Соборна, 42",Фастів,0
951919503,,,,,1834855,Игровые консоли и гейминг >> Комплектующие для игровых ПК,aerocool,"Корпусний вентилятор AEROCOOL Saturn 12 FRGB, 120х120х25 мм, 3-Pin Molex",,219,1,https://comfy.ua/catalog/product/view/id/2767903,,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
951925048,6738696,ARDESTO,Турка ARDESTO BLACK MARS 0.5 л (AR0814SB),355,1834790,"Посуда >> Для напитков >> Кофеварки гейзерные, турки >> Кофеварки гейзерные, турки Ardesto",ardesto,Турка Ardesto Black Mars 0.5 л (AR0814SB),,355,1,https://comfy.ua/turka-ardesto-black-mars-0-5-l-ar0814sb.html,,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
951925049,6738695,ARDESTO,Турка Ardesto Black Mars 0.35 л (AR0835S),319,1834791,"Посуда >> Для напитков >> Кофеварки гейзерные, турки >> Кофеварки гейзерные, турки Ardesto",ardesto,Турка Ardesto Black Mars 0.35 л (AR0835S),,355,1,https://comfy.ua/turka-ardesto-black-mars-0-35-l-ar0835s.html,,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
951943492,,,,,1835430,Техника для кухни >> Крупная техника,vestfrost,Посудомийна машина окремостояча Vestfrost FDW4510W,,12499,1,https://comfy.ua/posudomoechnaja-mashina-otdel-nostojaschaja-vestfrost-fdw4510w.html,14599,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
951943960,6725133,STARK,Дрель ударная STARK ID-810Q (120080002),1289,1840060,Инструменты и автотовары >> Электроинструменты,stark,Електродриль Stark ID-810Q (120080002),,1289,1,https://comfy.ua/catalog/product/view/id/2769353,,05.11.2025 21:45,,"вул. Соборна, 42",Фастів,0
