787295682,column,column,column,column,1742465,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,____armorstandart_icon_for_samsung_galaxy_a72_sma725_black_033mm_arm58088,column,149,1,httpscomfyuazaschitnoesteklodljasmartfonaarmorstandarticonforsamsunggalaxya72sma725black033mmarm58088html,column,05112025_1806,column,__42,Фастів,0
787802400,,,,,1741197,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,"""Настільна гра (5-7 років) Strateg бродилка """"Сільський дворик"""", укр (30503)""",,67,1,https://comfy.ua/nastol-naja-igra-strategicheskaja-5-7-let-strateg-brodilka-sel-s-kij-dvorik-ukr-30503.html,,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
787802401,,,,,1741260,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,"""Настільна гра (5-7 років) Strateg бродилка """"Подорож Україною"""", укр (59)""",,75,1,https://comfy.ua/nastol-naja-igra-strategicheskaja-5-7-let-strateg-brodilka-puteshestvie-ukrainoj-ukr-59.html,,06.11.2025 0:34,,"вул. Соборна, 42",Фастів,0
787802403,,,,,1741195,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,"""Настільна гра (5-7 років) Strateg бродилка """"JunTime"""", укр (30511)""",,67,1,https://comfy.ua/nastol-naja-igra-strategicheskaja-5-7-let-strateg-brodilka-juntime-ukr-30511.html,,06.11.2025 0:54,,"вул. Соборна, 42",Фастів,0
787802405,7057020,STRATEG,Настольная игра STRATEG Почаевская лавра (30102),485,1741193,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,Настільна гра (5-7 років) Strateg Почаївська Лавра (30102),,795,1,https://comfy.ua/nastol-naja-igra-strategicheskaja-5-7-let-strateg-pochaevskaja-lavra-30102.html,,06.11.2025 1:30,,"вул. Соборна, 42",Фастів,0
787802408,7057043,STRATEG,Настольная игра STRATEG Дом Монстров (30866),135,1741192,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,Настільна гра (5-7 років) Strateg Будинок монстрів укр (30866),,149,1,https://comfy.ua/nastol-naja-igra-strategicheskaja-5-7-let-strateg-dom-monstrov-ukr-30866.html,,06.11.2025 0:33,,"вул. Соборна, 42",Фастів,0
787802409,,,,,1741146,Детские товары >> Творчество и развитие >> Лепка >> Лепка Strateg,strateg,Маса для ліплення Strateg Fireflies - мишка (30412),,135,1,https://comfy.ua/massa-dlja-lepki-strateg-fireflies-mishka-30412.html,,05.11.2025 20:40,,"вул. Соборна, 42",Фастів,0
787802412,,,,,1741147,Детские товары >> Творчество и развитие,strateg,Маса для ліплення Strateg Fireflies - жабка (30413),,135,1,https://comfy.ua/massa-dlja-lepki-strateg-fireflies-zhabka-30413.html,,05.11.2025 20:45,,"вул. Соборна, 42",Фастів,0
787802420,7057054,STRATEG,Настольная игра STRATEG Forest Duo (30867),155,1741177,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,Настільна гра (3-4 роки) Strateg мемо Forest Duo укр (30867),,189,1,https://comfy.ua/nastol-naja-igra-razvivajuschaja-3-4-goda-strateg-memo-forest-duo-ukr-30867.html,,05.11.2025 20:36,,"вул. Соборна, 42",Фастів,0
787802426,7057017,STRATEG,"""acc/child STRATEG Стратегічна гра 30309 (eng.) """"IMAGO"""" у кор-ці 30см-30см-7,5см""",499,1741229,Comfy KIDS >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,Настільна гра (8+) Strateg IMAGO Імаго англ (30309),,605,1,https://comfy.ua/nastol-naja-igra-strategicheskaja-8-strateg-imago-imago-angl-30309.html,,06.11.2025 0:58,,"вул. Соборна, 42",Фастів,0
787802430,,,,,1741231,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,"Настільна гра (5-7 років) Strateg Велика монополія, укр (515)",,119,1,https://comfy.ua/nastol-naja-igra-strategicheskaja-8-strateg-bol-shaja-monopolija-ukr-515.html,,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
787802432,,,,,1741168,Детские товары >> Игрушки,strateg,Настільна гра (12+) Strateg The time of legends/Час легенд англ (30266),,605,1,https://comfy.ua/nastol-naja-igra-obschenie-12-strateg-the-time-of-legends-vremja-legend-angl-30266.html,,06.11.2025 1:30,,"вул. Соборна, 42",Фастів,0
787803729,6661694,PHILIPS,Отпариватель PHILIPS STH3000/20,1799,1742527,Техника для дома >> Мелкая техника >> Утюги >> Утюги Philips,philips,Вертикальний відпарювач ручний Philips STH3000/20,,1799,1,https://comfy.ua/vertikal-nyj-otparivatel-ruchnoj-philips-sth3000-20.html,2199,05.11.2025 17:33,,"вул. Соборна, 42",Фастів,3
