783572347,column,column,column,column,1739395,Детские товары >> Игрушки,tigres,__tigres___30__0209,column,519,1,httpscomfyuamjagkajaigrushkazhivotnoetigresmishkahani30smve0209html,column,06112025_136,column,__42,Фастів,0
783641770,6665181,CANYON,Powerbank CANYON PB-106 10000mAh Black (CNE-CPB1006B),659,1738497,Смартфоны и телефоны >> Аксессуары для смартфонов >> Мобильные батареи >> Мобильные батареи Canyon,canyon,Батарея мобільна Canyon 10000mAh Black (CNE-CPB1006B),,599,1,https://comfy.ua/batareja-mobil-naja-canyon-10000mah-black-cne-cpb1006b.html,,05.11.2025 17:21,,"вул. Соборна, 42",Фастів,0
783641772,6665182,CANYON,Powerbank CANYON PB-106 10000mAh White (CNE-CPB1006W),899,1738498,Смартфоны и телефоны >> Аксессуары для смартфонов >> Мобильные батареи >> Мобильные батареи Canyon,canyon,Батарея мобільна Canyon 10000mAh White (CNE-CPB1006W),,599,1,https://comfy.ua/batareja-mobil-naja-canyon-10000mah-white-cne-cpb1006w.html,,05.11.2025 17:19,,"вул. Соборна, 42",Фастів,0
783646967,,,,,.1730653,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",merlion,Мережевий фільтр Merlion G518CU (RT-G518-CU),,209,1,https://comfy.ua/setevoj-fil-tr-merlion-g518cu-rt-g518-cu.html,,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,0
783760303,,,,,1651018,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax ATX без блока живлення ET-212-NP-U3,,1009,1,https://comfy.ua/korpus-gamemax-atx-bez-bloka-pitanija-et-212-np-u3.html,,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
783762131,,,,,.1739548,Игровые консоли и гейминг >> Комплектующие для игровых ПК,xilence,Процесорний кулер Xilence Performance C A404T (XC040),,949,1,https://comfy.ua/processornyj-kuler-xilence-performance-c-a404t-xc040.html,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
783762136,,,,,.1739545,Игровые консоли и гейминг >> Комплектующие для игровых ПК,xilence,Процесорний кулер Xilence Performance C M504D (XC044),,1899,1,https://comfy.ua/processornyj-kuler-xilence-performance-c-m504d-xc044.html,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
783762142,,,,,.1739660,Игровые консоли и гейминг >> Комплектующие для игровых ПК,xilence,Водяна система охолодження Xilence LQ240 ARGB (XC977),,3599,1,https://comfy.ua/vodjanaja-sistema-ohlazhdenija-xilence-lq240-argb-xc977.html,,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
784104559,6518219,MAGIO,Триммер MAGIO MG-917,199,1735673,Красота и здоровье >> Уход за лицом >> Триммеры >> Триммеры Magio,magio,Тример для носа і вух Magio MG-917,,226,1,https://comfy.ua/trimmer-dlja-nosa-i-ushej-magio-mg-917.html,,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
784108130,,,,,.1735925,"Аудио, фото и видео >> Фотокамеры",sony,Фотокамера бездзеркальна Sony Alpha A7C + FE 28–60 mm f/4–5.6 Black (ILCE7CLB.CEC),,69999,1,https://comfy.ua/fotokamera-bezzerkal-naja-sony-alpha-a7c-fe-28-60-mm-f-4-5-6-black-ilce7clb-cec.html,79999,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
784115984,,,,,1739389,Детские товары >> Игрушки,tigres,"""М'яка іграшка Tigres Мишка """"Адріан"""", (ВЕ-0215)""",,429,1,https://comfy.ua/catalog/product/view/id/1898903,505,06.11.2025 1:37,,"вул. Соборна, 42",Фастів,0
