808183066,6611350,JANOD,Телефон со звуком JANOD (J05334),560,1771037,Детские товары >> Игрушки для малышей,janod,Інтерактивний гаджет Janod Телефон зі звуком (J05334),,559,1,https://comfy.ua/catalog/product/view/id/2111343,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
808183077,,,,,1773865,Детские товары >> Игрушки для малышей,janod,Ігровий центр для малюка Janod Тварини (J08018),,3999,1,https://comfy.ua/catalog/product/view/id/2111193,,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
808183082,6611391,JANOD,Музыкальный инструмент JANOD Гитара J07598,1379,1773868,Детские товары >> Игрушки для малышей,janod,Гітара Janod J07598,,1439,1,https://comfy.ua/catalog/product/view/id/2111113,1799,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
808184049,,,,,1770926,Посуда >> Нарезка и измельчение,fiskars,Ножиці кухонні Fiskars универсальные Functional Form (1020413),,835,1,https://comfy.ua/nozhnicy-kuhonnye-fiskars-universal-nye-functional-form-1020413.html,,05.11.2025 19:34,,"вул. Соборна, 42",Фастів,0
808184050,,,,,1770927,Посуда >> Нарезка и измельчение,fiskars,Ножиці кухонні Fiskars универсальные Functional Form (1020415),,835,1,https://comfy.ua/nozhnicy-kuhonnye-fiskars-universal-nye-functional-form-1020415.html,,05.11.2025 19:34,,"вул. Соборна, 42",Фастів,0
808197984,6457367,SEQUIN ART,Картина по номерам SEQUIN ART JUNIOR-PAIRS Horses SA0215,187,1773947,"Дом, отдых и зоотовары >> Декор для дома",sequin-art,Картина за номерами Sequin Коні (SA0215),,235,1,https://comfy.ua/catalog/product/view/id/2111843,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
808197985,,,,,1773946,"Дом, отдых и зоотовары >> Декор для дома",sequin-art,Картина за номерами Sequin Собаки (SA0214),,259,1,https://comfy.ua/catalog/product/view/id/2111793,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
808197986,6457366,SEQUIN ART,Картина по номерам SEQUIN ART JUNIOR-PAIRS Cats SA0213,187,1773945,"Дом, отдых и зоотовары >> Декор для дома",sequin-art,Картина за номерами Sequin Коти (SA0213),,235,1,https://comfy.ua/catalog/product/view/id/2111743,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
808197990,6457383,SEQUIN ART,Картина по номерам SEQUIN ART SENIOR A Quiet Street SA0129,214,1773943,"Дом, отдых и зоотовары >> Декор для дома",sequin-art,Картина за номерами Sequin Тиха вулиця (SA0129),,259,1,https://comfy.ua/catalog/product/view/id/2111693,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
808197991,,,,,1773864,Детские товары >> Игрушки,janod,Сюжетно-рольова гра. Набір-професій Janod Майстерня на колесах (J06478),,4199,1,https://comfy.ua/catalog/product/view/id/2111683,,06.11.2025 0:15,,"вул. Соборна, 42",Фастів,0
808197992,6457375,SEQUIN ART,Картина по номерам SEQUIN ART JUNIOR Fairies (SA0126),147,1773942,"Дом, отдых и зоотовары >> Декор для дома",sequin-art,Картина за номерами Sequin Феї (SA0126),,179,1,https://comfy.ua/catalog/product/view/id/2111653,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
808205882,6543418,TRANSCEND,SSD накопитель TRANSCEND MTS820S 960GB M.2 2280 SATAIII TLC (TS960GMTS820S),4515,1757915,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",transcend,SSD-накопичувач внутрішній Transcend 2280 960GB (TS960GMTS820S),,3209,1,https://comfy.ua/catalog/product/view/id/2104753,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
808207065,7018442,VITA-RICH,"Лосьон для тела Johnson's Vita-Rich Smoothies Ухаживающий с йогуртом, овсом и медом 400 мл (3574661385723)",231,1758223,"Детские товары >> Уход, купание и гигиена",johnsons-baby,"Молочко і лосьйони для тіла дитячі Johnson’s Baby Той, хто доглядає за йогуртом, вівсом і медом 400 мл (3574661385723)",,249,1,https://comfy.ua/catalog/product/view/id/2112573,,05.11.2025 20:57,,"вул. Соборна, 42",Фастів,0
808207257,,,,,1773375,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",,Стабілізатор напруги Forte HDR-5000,,7431,1,https://comfy.ua/catalog/product/view/id/2105673,,05.11.2025 17:21,,"вул. Соборна, 42",Фастів,0
808209468,,,,,959490,Телевизоры и мультимедиа >> Аксессуары для ТВ,itech,Кріплення для телевізора iTECH LCD-33B,,459,1,https://comfy.ua/catalog/product/view/id/2104833,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
808274549,,,,,1773272,Техника для кухни >> Крупная техника,borgio,Витяжка декоративна Borgio RNT-SU 60 Ivory,,4729,1,https://comfy.ua/catalog/product/view/id/2108883,,05.11.2025 21:00,,"вул. Соборна, 42",Фастів,0
808325412,,,,,1771062,Телевизоры и мультимедиа >> Аксессуары для ТВ,gembird,Засіб для чищення комп'ютерної техніки Gembird Сжатый воздух 750 мл (1604998),,209,1,https://comfy.ua/catalog/product/view/id/2106363,,05.11.2025 17:54,,"вул. Соборна, 42",Фастів,0
808386686,6622833,GORENJE,Варочная поверхность GORENJE GT641EXB (BG6IA-G0B),9899,1763749,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Gorenje,gorenje,Варильна поверхня газова Gorenje GT 641 EXB,,9899,1,https://comfy.ua/varochnaja-panel-gazovaja-gorenje-gt-641-exb.html,11799,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
808386697,,,,,1760538,"Детские товары >> Уход, купание и гигиена >> Личная гигиена малыша >> Личная гигиена малыша Friendly Organic",friendly-organic,Олія для тіла дитяче Friendly organic масажне 100 мл (FR0966),,425,1,https://comfy.ua/maslo-dlja-tela-detskoe-friendly-organic-massazhnoe-100-ml-fr0966.html,,05.11.2025 20:52,,"вул. Соборна, 42",Фастів,0
808386699,6611385,JANOD,Кроватка для куклы JANOD J05889,1685,1771038,"Comfy KIDS >> Игрушки >> Куклы и пупсы >> Мебель, одежда и аксессуары для кукол >> Мебель, одежда и аксессуары для кукол Janod",janod,Меблі і будиночки для ляльки Janod Ліжко для ляльки (J05889),,2199,1,https://comfy.ua/mebel-i-domiki-dlja-klassicheskoj-kukly-janod-krovat-dlja-kukly-j05889.html,,06.11.2025 0:36,,"вул. Соборна, 42",Фастів,0
808386717,7018442,VITA-RICH,"Лосьон для тела Johnson's Vita-Rich Smoothies Ухаживающий с йогуртом, овсом и медом 400 мл (3574661385723)",231,1758223,"Comfy KIDS >> Уход, купание и гигиена >> Личная гигиена малыша >> Личная гигиена малыша Johnson’s Baby",johnsons-baby,"Молочко і лосьйони для тіла дитячі Johnson’s Baby Той, хто доглядає за йогуртом, вівсом і медом 400 мл (3574661385723)",,249,1,https://comfy.ua/molochko-i-los-ony-dlja-tela-detskie-johnson-s-baby-uhazhivajuschij-s-jogurtom-ovsom-i-medom-400-ml-3574661385723.html,,05.11.2025 20:58,,"вул. Соборна, 42",Фастів,0
808386737,,,,,1739363,Comfy KIDS >> Кормление >> Пустышки и прорезыватели >> Пустышки и прорезыватели Canpol babies,canpol-babies,Прорізувач з охолодженням Canpol babies Серце (2/294),,119,1,https://comfy.ua/prorezyvatel-s-ohlazhdeniem-canpol-babies-serdce-2-294.html,,05.11.2025 21:57,,"вул. Соборна, 42",Фастів,0
808386740,,,,,1739358,Comfy KIDS >> Кормление >> Пустышки и прорезыватели >> Пустышки и прорезыватели Canpol babies,canpol-babies,Прорізувач з охолодженням Canpol babies Єдиноріг (51/007),,209,1,https://comfy.ua/prorezyvatel-s-ohlazhdeniem-canpol-babies-edinorog-51-007.html,,05.11.2025 21:44,,"вул. Соборна, 42",Фастів,0
808386743,,,,,1739357,Comfy KIDS >> Кормление >> Пустышки и прорезыватели >> Пустышки и прорезыватели Canpol babies,canpol-babies,Прорізувач з охолодженням Canpol babies Динозавр (51/006),,209,1,https://comfy.ua/prorezyvatel-s-ohlazhdeniem-canpol-babies-dinozavr-51-006.html,,05.11.2025 21:50,,"вул. Соборна, 42",Фастів,0
