754084647,column,column,column,column,1697490,____________battat,battat,__battat_____bx1227z,column,894,1,httpscomfyuainteraktivnyjkljuchbattatsuperkljuchikisvetzvuktomatnyjbx1227zhtml,column,05112025_2031,column,__42,Фастів,0
754363299,,,,,1701410,Comfy KIDS >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Hasbro,hasbro,Настільна гра (5-7 років) Hasbro Операція: врятувати цуценя (E9694),,617,1,https://comfy.ua/nastol-naja-igra-razvlekatel-naja-5-7-let-hasbro-operacija-spasti-schenka-e9694.html,1100,06.11.2025 0:32,,"вул. Соборна, 42",Фастів,0
754363321,,,,,1703723,Comfy KIDS >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Taka Maka,taka-maka,Настільна гра (12+) Taka Maka Сіміно (40001-UA),,629,1,https://comfy.ua/nastol-naja-igra-strategicheskaja-12-taka-maka-simino-40001-ua.html,855,06.11.2025 0:46,,"вул. Соборна, 42",Фастів,0
754363323,,,,,1703722,Детские товары >> Игрушки,taka-maka,Настільна гра (3-4 роки) Taka Maka Що за чим (130001-UA),,509,1,https://comfy.ua/nastol-naja-igra-razvivajuschaja-3-4-goda-taka-maka-chto-za-chem-130001-ua.html,,06.11.2025 1:08,,"вул. Соборна, 42",Фастів,0
754363324,,,,,1703721,Детские товары >> Игрушки,taka-maka,Настільна гра (5-7 років) Taka Maka Несміяка 6+ (10001-UA),,575,1,https://comfy.ua/nastol-naja-igra-obschenie-5-7-let-taka-maka-nesmijaka-6-10001-ua.html,750,05.11.2025 20:42,,"вул. Соборна, 42",Фастів,0
754363325,,,,,1703720,Comfy KIDS >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Taka Maka,taka-maka,Настільна гра (3-4 роки) Taka Maka Мемка Мімка-2 (20002-UA),,809,1,https://comfy.ua/nastol-naja-igra-obschenie-3-4-goda-taka-maka-memka-mimka-2-20002-ua.html,,06.11.2025 1:34,,"вул. Соборна, 42",Фастів,0
754363351,,,,,1715116,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Funko,funko,Колекційна фігурка FUNKO POP! Bobble: Star Wars : Training Luke with Yoda 46768 (FUN2549468),,845,1,https://comfy.ua/kollekcionnaja-figurka-funko-pop-bobble-star-wars-training-luke-with-yoda-46768-fun2549468.html,,06.11.2025 1:46,,"вул. Соборна, 42",Фастів,0
754363400,6510072,JAZWARES,Коллекционная фигурка Domez Jazwares Marvel - Captain Marvel S1 (DMZ0147),114,1715033,Детские товары >> Игрушки,domez,Колекційна фігурка Domez Jazwares Marvel's Captain Marvel S1 (1 фигурка) (DMZ0147),,149,1,https://comfy.ua/kollekcionnaja-figurka-domez-jazwares-marvel-s-captain-marvel-s1-1-figurka-dmz0147.html,,06.11.2025 1:37,,"вул. Соборна, 42",Фастів,0
754366850,6710462,SANO,Средство для унитаза Sano Blue 150 г (7290000287607),272,1694799,Бытовая химия >> Все для уборки >> Средства для чистки унитаза >> Средства для чистки унитаза Sano,sano,Засіб для миття у ванній кімнаті Sano для унітазу 150 г (7290000287607),,191,1,https://comfy.ua/sredstvo-dlja-myt-ja-v-vannoj-komnate-sano-dlja-unitaza-150-g-7290000287607.html,259,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
754366851,6710460,SANO,Средство для унитаза Sano Green 150 г (7290010935833),259,1694798,Бытовая химия >> Все для уборки >> Средства для чистки унитаза >> Средства для чистки унитаза Sano,sano,Засіб для миття у ванній кімнаті Sano для унітазу 150 г (7290010935833),,259,1,https://comfy.ua/sredstvo-dlja-myt-ja-v-vannoj-komnate-sano-dlja-unitaza-150-g-7290010935833.html,,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
754367027,,,,,1713400,Посуда >> Для приготовления >> Ковши и сотейники >> Ковши и сотейники Bollire,bollire,Ківш Bollire BR-1101 Milano 16 см 1.4 л,,1027,1,https://comfy.ua/kovsh-bollire-br-1101-milano-16-sm-1-4-l.html,,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
754368456,,,,,1713404,Посуда >> Для приготовления >> Сковороды >> Сковороды Bollire,bollire,Сковорода універсальна Bollire BR-1105 Milano 20 см,,745,1,https://comfy.ua/skovoroda-universal-naja-bollire-br-1105-milano-20-sm.html,,05.11.2025 21:19,,"вул. Соборна, 42",Фастів,0
754368457,,,,,1713407,Посуда >> Для приготовления >> Сковороды >> Сковороды Bollire,bollire,Сковорода для млинців Bollire BR-1108 Milano 24 см,,769,1,https://comfy.ua/skovoroda-dlja-blinov-bollire-br-1108-milano-24-sm.html,,05.11.2025 21:18,,"вул. Соборна, 42",Фастів,0
754380788,,,,,1710177,Техника для кухни >> Крупная техника,liberty,Плита газова Liberty PWE 5102-F,,9399,1,https://comfy.ua/catalog/product/view/id/1747283,,05.11.2025 18:47,,"вул. Соборна, 42",Фастів,0
754381423,,,,,1705824,Детские товары >> Игрушки для малышей,fisher-price,Інтерактивний гаджет Fisher-Price Розумний планшет із технологією Smart Stages (укр.) (FBR86),,1599,1,https://comfy.ua/catalog/product/view/id/1748313,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
754381453,,,,,1705823,Детские товары >> Игрушки для малышей,fisher-price,Інтерактивний гаджет Fisher-Price Веселий телефон (FGW66),,749,1,https://comfy.ua/catalog/product/view/id/1747663,,05.11.2025 20:06,,"вул. Соборна, 42",Фастів,0
754381457,,,,,1702626,Детские товары >> Творчество и развитие,hasbro,Матеріали Hasbro Play-Doh пластилін в баночці 112 м жовтий (B6756_B7412),,65,1,https://comfy.ua/catalog/product/view/id/1747463,89,05.11.2025 20:10,,"вул. Соборна, 42",Фастів,0
754391562,,,,,1705890,Детские товары >> Игрушки,mega-bloks,Пластиковий конструктор для малюків Mega Bloks розовый в мешке (80 дет.) (DCH62),,1199,1,https://comfy.ua/catalog/product/view/id/1749243,,05.11.2025 23:49,,"вул. Соборна, 42",Фастів,0
754391584,6375900,ORIBEL,Игрушка на стену ORIBEL OR801-90001,666,1716123,Детские товары >> Игрушки для малышей,oribel,Бізіборд-дошка Oribel Veritiplay Будинок містера Білки на дереві (OR801-90001),,799,1,https://comfy.ua/catalog/product/view/id/1748903,,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
754391588,,,,,1705898,Детские товары >> Игрушки,mega-bloks,Пластиковий конструктор для малюків Mega Bloks Поезд с буквами (DXH35),,1199,1,https://comfy.ua/catalog/product/view/id/1748823,,05.11.2025 23:31,,"вул. Соборна, 42",Фастів,0
754391591,6439775,ORIBEL,Игрушка на стену ORIBEL Веселый кролик и его друзья (OR800-90001),400,1716121,Детские товары >> Игрушки для малышей,oribel,Бізіборд-дошка Oribel Veritiplay Веселий кролик і його друзі (OR800-90001),,479,1,https://comfy.ua/catalog/product/view/id/1748793,,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
754391886,,,,,.1684409,Посуда >> Нарезка и измельчение,wmf,Яйцерізка WMF 634306040 GOURMET,,1599,1,https://comfy.ua/jajcerezka-wmf-634306040-gourmet.html,,05.11.2025 19:03,,"вул. Соборна, 42",Фастів,0
754395024,,,,,1705856,Детские товары >> Игрушки для малышей,fisher-price,Сортер Fisher-Price Метелик (CDC22),,349,1,https://comfy.ua/catalog/product/view/id/1749923,449,05.11.2025 20:06,,"вул. Соборна, 42",Фастів,0
754395026,6375636,ORIBEL,Настенная игрушка ORIBEL OR807-90001,180,1716128,Детские товары >> Игрушки для малышей,oribel,Інтерактивна тварина Oribel Veritiplay Молоточок Жабка (OR807-90001),,209,1,https://comfy.ua/catalog/product/view/id/1749883,,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
754395028,6375950,ORIBEL,Игрушка на стену ORIBEL OR805-90001,833,1716127,Детские товары >> Игрушки для малышей,oribel,Бізіборд-дошка Oribel Veritiplay Лось Гуфі (OR805-90001),,999,1,https://comfy.ua/catalog/product/view/id/1749823,,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
