1658323586,6965733,ROTEX,Машинка для чистки трикотажа ROTEX RCC100-R,133,2841980,"Дом, отдых и зоотовары >> Хранение и уход за одеждой >> Триммеры для ткани >> Триммеры для ткани Rotex",rotex,Тример для тканини Rotex RCC100-R,,159,1,https://comfy.ua/trimmer-dlja-tkani-rotex-rcc100-r.html,,05.11.2025 19:55,,"вул. Соборна, 42",Фастів,0
1658323588,6870834,ROTEX,Машинка для чистки трикотажа ROTEX RCC200-S,299,2379299,"Дом, отдых и зоотовары >> Хранение и уход за одеждой >> Триммеры для ткани >> Триммеры для ткани Rotex",rotex,Тример для тканини Rotex RCC200-S,,299,1,https://comfy.ua/trimmer-dlja-tkani-rotex-rcc200-s.html,,05.11.2025 19:47,,"вул. Соборна, 42",Фастів,0
1658347833,,,,,2852052,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Чохол для ноутбуку Armorstandart Laptop Sleeve Stand YL7 14  Black (ARM69065),,999,1,https://comfy.ua/chehol-dlja-noutbuka-armorstandart-laptop-sleeve-stand-yl7-14-black-arm69065.html,,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
1658347972,,,,,.2852051,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Чохол для ноутбуку Armorstandart Laptop Sleeve Stand YL7 16  Black (ARM69064),,1199,1,https://comfy.ua/chehol-dlja-noutbuka-armorstandart-laptop-sleeve-stand-yl7-16-black-arm69064.html,,05.11.2025 20:10,,"вул. Соборна, 42",Фастів,0
1658372226,6638130,MAXMARK,Форма для выпечки MAXMARK прямоугольная 40 х 28.2 х 3.5 см (МК-Р120G),458,2830074,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Maxmark,maxmark,Форма для приготування Maxmark MK-P120G,,458,1,https://comfy.ua/forma-dlja-prigotovlenija-maxmark-mk-p120g.html,669,05.11.2025 18:58,,"вул. Соборна, 42",Фастів,0
1658374335,7170339,PERFELLI,Вытяжка PERFELLI GRASSI 6HMB NERO,5499,2874665,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка декоративна Perfelli GRASSI 6HMB NERO,,5499,1,https://comfy.ua/vytjazhka-dekorativnaja-perfelli-grassi-6hmb-nero.html,6874,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
1658374336,7170340,PERFELLI,Вытяжка PERFELLI GRASSI 6HMX INOX,5499,2874664,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка декоративна Perfelli GRASSI 6HMX INOX,,5499,1,https://comfy.ua/vytjazhka-dekorativnaja-perfelli-grassi-6hmx-inox.html,6874,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
1658377355,7170427,PERFELLI,Вытяжка PERFELLI GRASSI 6PWB NERO,6999,2874667,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка декоративна Perfelli GRASSI 6PWB NERO,,6999,1,https://comfy.ua/vytjazhka-dekorativnaja-perfelli-grassi-6pwb-nero.html,8749,05.11.2025 18:47,,"вул. Соборна, 42",Фастів,0
1658434238,6970742,MPM,Холодильник MPM-46-CJ-02/Е,4999,2875453,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники MPM,mpm,Холодильник MPM MPM-46-CJ-02/Е,,4999,1,https://comfy.ua/holodil-nik-mpm-mpm-46-cj-02-e.html,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
1658463936,7149460,ELECTROLUX,Встраиваемый холодильник ELECTROLUX ENP7TD75S,74519,2875437,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Electrolux,electrolux,Холодильник вбудований Electrolux ENP7TD75S,,74519,1,https://comfy.ua/holodil-nik-vstraivaemyj-electrolux-enp7td75s.html,,05.11.2025 19:49,,"вул. Соборна, 42",Фастів,0
1658468429,,,,,.2878882,Техника для кухни >> Крупная техника,gunterhauer,Мікрохвильова піч (НВЧ) вбудовувана Gunter & Hauer EOK 2502 WH,,12999,1,https://comfy.ua/mikrovolnovaja-pech-svch-vstraivaemaja-gunter-hauer-eok-2502-wh.html,,05.11.2025 19:50,,"вул. Соборна, 42",Фастів,0
1658470919,7170399,PERFELLI,Вытяжка PERFELLI RIVA NERO,5499,2659052,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка декоративна Perfelli RIVA NERO,,5499,1,https://comfy.ua/vytjazhka-dekorativnaja-perfelli-riva-nero.html,8999,05.11.2025 18:24,,"вул. Соборна, 42",Фастів,0
1658484586,6966234,LEVOIT,Увлажнитель воздуха LEVOIT Dual 150 Ultrasonic Cool Mist LUH-D302-WEU (HEAPHULVNEU0052),2499,2880735,Техника для дома >> Климатическая техника >> Увлажнители воздуха >> Увлажнители воздуха Levoit,levoit,Зволожувач повітря Levoit Dual 150 Ultrasonic Cool Mist LUH-D302-WEU (HEAPHULVNEU0052),,2499,1,https://comfy.ua/uvlazhnitel-vozduha-levoit-dual-150-ultrasonic-cool-mist-luh-d302-weu-heaphulvneu0052.html,,05.11.2025 18:14,,"вул. Соборна, 42",Фастів,0
1658484587,6966235,LEVOIT,Увлажнитель воздуха LEVOIT Dual 200S Pro Smart Top-Fill LUH-D301S-KEUR (HEAPHULVSEU0079Y),3499,2880738,Техника для дома >> Климатическая техника >> Увлажнители воздуха >> Увлажнители воздуха Levoit,levoit,Зволожувач повітря Levoit Dual 200S Pro Smart Top-Fill LUH-D301S-KEUR (HEAPHULVSEU0079Y),,3499,1,https://comfy.ua/uvlazhnitel-vozduha-levoit-dual-200s-pro-smart-top-fill-luh-d301s-keur-heaphulvseu0079y.html,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
1658731617,7099377,GRUNHELM,Минимойка GRUNHELM GR-18LW (132143),4985,2877165,Техника для дома >> Мелкая техника >> Минимойки >> Минимойки Grunhelm,grunhelm,Мінімийка Grunhelm GR-18LW,,4985,1,https://comfy.ua/minimojka-grunhelm-gr-18lw.html,,05.11.2025 18:30,,"вул. Соборна, 42",Фастів,0
