947135619,6634553,LIMITED EDITION,Салатник LIMITED EDITION TERRA 650 мл (YF6007-3),89,1835255,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Limited Edition,limited-edition,Салатник Limited Edition Terra 650 мл Powdery Pink (YF6007-3),,90,1,https://comfy.ua/salatnik-limited-edition-terra-650-ml-powdery-pink-yf6007-3.html,,05.11.2025 19:05,,"вул. Соборна, 42",Фастів,0
947140148,,,,,1831265,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Кабели и переходники >> Кабели и переходники UGREEN",ugreen,Кабель UGREEN US289 USB - Micro USB Cable 1.5 м Black (60137),,209,1,https://comfy.ua/kabel-ugreen-us289-usb-micro-usb-cable-1-5-m-black-60137.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
947141624,,,,,1834206,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Коврики для мыши >> Коврики для мыши Trust",trust,Килимок для миші ігровий Trust Mouse Pad XXL (24194),,399,1,https://comfy.ua/kovrik-dlja-myshi-trust-mouse-pad-xxl-24194.html,,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
947142622,6926546,GRAPHITE,Круг зачистной GRAPHITE с хвостовиком 40х20 мм K60 (55H755),38,1835368,Инструменты и автотовары >> Расходные материалы >> Диски >> Диски GRAPHITE,graphite,Круг шліфувальний GRAPHITE 40x20 мм K60 (55H755),,38,1,https://comfy.ua/krug-shlifoval-nyj-graphite-40x20-mm-k60-55h755.html,,05.11.2025 21:43,,"вул. Соборна, 42",Фастів,0
947142625,6871643,GRAPHITE,Круг шлифовочный GRAPHITE K60 60х30 мм (55H758),85,1835371,Инструменты и автотовары >> Расходные материалы >> Диски >> Диски GRAPHITE,graphite,Круг шліфувальний GRAPHITE 60x30 мм K60 (55H758),,85,1,https://comfy.ua/krug-shlifoval-nyj-graphite-60x30-mm-k60-55h758.html,,05.11.2025 22:02,,"вул. Соборна, 42",Фастів,0
947142628,6926543,GRAPHITE,Круг зачистной Graphite лепестковый с хвостовиком 80x30 мм K80 (55H762),129,1835375,Инструменты и автотовары >> Расходные материалы >> Диски >> Диски GRAPHITE,graphite,Круг шліфувальний GRAPHITE 80x30 мм K80 (55H762),,135,1,https://comfy.ua/krug-shlifoval-nyj-graphite-80x30-mm-k80-55h762.html,,05.11.2025 22:02,,"вул. Соборна, 42",Фастів,0
947144208,,,,,1837239,Инструменты и автотовары >> Ручные инструменты,stal,Киянка Сталь 450 г (44073),,175,1,https://comfy.ua/catalog/product/view/id/2741063,,05.11.2025 21:54,,"вул. Соборна, 42",Фастів,0
947144210,,,,,1837244,Инструменты и автотовары >> Ручные инструменты,stal,Киянка Сталь 225 г (44020),,185,1,https://comfy.ua/catalog/product/view/id/2741043,,05.11.2025 21:54,,"вул. Соборна, 42",Фастів,0
947144211,,,,,1837240,Инструменты и автотовары >> Ручные инструменты,stal,Киянка Сталь 680 г (44074),,225,1,https://comfy.ua/catalog/product/view/id/2741053,,05.11.2025 22:18,,"вул. Соборна, 42",Фастів,0
947147956,,,,,1772570,"Дом, отдых и зоотовары >> Мебель >> Детские парты, стулья и столы >> Детские парты, стулья и столы FunDesk",fundesk,Крісло офісне FunDesk Bravo Grey,,6289,1,https://comfy.ua/kreslo-ofisnoe-fundesk-bravo-grey.html,,05.11.2025 20:16,,"вул. Соборна, 42",Фастів,0
947151586,,,,,1833805,Смарт-часы и гаджеты >> Аксессуары,becover,Ремінець для смарт-годинника BeCover for Samsung Galaxy Watch 42mm/Watch Active/Active 2 40/44mm/Watch 3 41mm/Gear S2 Classic/Gear Sport Blue-Horizo (706179),,179,1,https://comfy.ua/remeshok-dlja-smart-chasov-becover-for-samsung-galaxy-watch-42mm-watch-active-active-2-40-44mm-watch-3-41mm-gear-s2-classic-gear-sport-blue-horizo-706179.html,,05.11.2025 18:58,,"вул. Соборна, 42",Фастів,0
