752438701,column,column,column,column,1697427,Детские товары >> Игрушки,tigres,__tigres___55__0212,column,1569,1,httpscomfyuamjagkajaigrushkazhivotnoetigresmishkamariush55smve0212html,column,06112025_140,column,__42,Фастів,0
752438757,,,,,1696808,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Klein,klein,Базовий ігровий транспорт для малюка Klein Volvo Самоскид (2413),,329,1,https://comfy.ua/bazovyj-igrovoj-transport-dlja-malysha-klein-volvo-samosval-2413.html,434,06.11.2025 0:33,,"вул. Соборна, 42",Фастів,0
752438765,,,,,1696604,Comfy KIDS >> Игрушки для малышей >> Игрушки на коляску и кроватку >> Игрушки на коляску и кроватку Canpol babies,canpol-babies,Підвіска Canpol babies Pastel Friends Turquoise (68/067_tur),,349,1,https://comfy.ua/podveska-canpol-babies-pastel-friends-turquoise-68-067-tur.html,,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
752438766,,,,,1696603,Детские товары >> Игрушки для малышей >> Игрушки на коляску и кроватку >> Игрушки на коляску и кроватку Canpol babies,canpol-babies,Підвіска Canpol babies Pastel Friends Pink (68/067_pin),,349,1,https://comfy.ua/podveska-canpol-babies-pastel-friends-pink-68-067-pin.html,,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
752438768,,,,,1696597,Детские товары >> Игрушки для малышей >> Игрушки на коляску и кроватку >> Игрушки на коляску и кроватку Canpol babies,canpol-babies,Підвіска Canpol babies Pastel Friends Coral (68/067_cor),,349,1,https://comfy.ua/podveska-canpol-babies-pastel-friends-coral-68-067-cor.html,,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
752438773,,,,,1696726,Comfy KIDS >> Кормление >> Пустышки и прорезыватели >> Пустышки и прорезыватели Canpol babies,canpol-babies,Прорізувач з охолодженням Canpol babies Конячка (74/018),,185,1,https://comfy.ua/prorezyvatel-s-ohlazhdeniem-canpol-babies-loshadka-74-018.html,,05.11.2025 21:52,,"вул. Соборна, 42",Фастів,0
752438774,,,,,1696720,Детские товары >> Кормление >> Пустышки и прорезыватели >> Пустышки и прорезыватели Canpol babies,canpol-babies,Прорізувач з охолодженням Canpol babies Зірочка Кораловий (56/161_cor),,175,1,https://comfy.ua/prorezyvatel-s-ohlazhdeniem-canpol-babies-zvezdochka-koralovaja-56-161-cor.html,,05.11.2025 21:52,,"вул. Соборна, 42",Фастів,0
752438775,,,,,1696718,Детские товары >> Кормление >> Пустышки и прорезыватели >> Пустышки и прорезыватели Canpol babies,canpol-babies,Прорізувач з охолодженням Canpol babies Чарівна Паличка (56/152_yel),,199,1,https://comfy.ua/prorezyvatel-s-ohlazhdeniem-canpol-babies-volshebnaja-palochka-56-152-yel.html,,05.11.2025 21:58,,"вул. Соборна, 42",Фастів,0
752438777,,,,,1696716,Детские товары >> Кормление >> Пустышки и прорезыватели >> Пустышки и прорезыватели Canpol babies,canpol-babies,Прорізувач з охолодженням Canpol babies Чарівна Паличка (56/152_pin),,199,1,https://comfy.ua/prorezyvatel-s-ohlazhdeniem-canpol-babies-volshebnaja-palochka-56-152-pin.html,,05.11.2025 21:59,,"вул. Соборна, 42",Фастів,0
752438778,,,,,1696715,Детские товары >> Кормление >> Пустышки и прорезыватели >> Пустышки и прорезыватели Canpol babies,canpol-babies,Прорізувач з охолодженням Canpol babies Чарівна Паличка (56/152_blu),,189,1,https://comfy.ua/prorezyvatel-s-ohlazhdeniem-canpol-babies-volshebnaja-palochka-56-152-blu.html,,05.11.2025 21:52,,"вул. Соборна, 42",Фастів,0
752438780,,,,,1696669,Детские товары >> Кормление >> Пустышки и прорезыватели >> Пустышки и прорезыватели Canpol babies,canpol-babies,Прорізувач Canpol babies Bears (68/076_grey),,509,1,https://comfy.ua/prorezyvatel-canpol-babies-bears-68-076-grey.html,,05.11.2025 21:59,,"вул. Соборна, 42",Фастів,0
