937518763,column,column,column,column,1821608,__________haisser,haisser,_haisser_50__22025,column,815,1,httpscomfyuaruletkahaisser50m22025html,column,05112025_2151,column,__42,Фастів,0
939109680,6709772,BRAUN,Утюг BRAUN TexStyle 5 SI 5078 GY,3499,1679365,Техника для дома >> Мелкая техника >> Утюги >> Утюги Braun,braun,Праска Braun SI 5078 GY,,3099,1,https://comfy.ua/utjug-braun-si-5078-gy.html,3199,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
939109684,,,,,1830020,"Аудио, фото и видео >> Наушники",hoco,Навушники вкладиші дротові HOCO M34 Black,,68,1,https://comfy.ua/naushniki-vkladyshi-provodnye-hoco-m34-black.html,,05.11.2025 19:30,,"вул. Соборна, 42",Фастів,0
939128582,,,,,1830183,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",avermedia,Веб-камера для комп'ютера Avermedia Live Streamer CAM PW310P Full HD Black,,3799,1,https://comfy.ua/veb-kamera-dlja-komp-jutera-avermedia-live-streamer-cam-pw310p-full-hd-black.html,,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
939128583,,,,,1830184,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",avermedia,Веб-камера для комп'ютера Avermedia Live Streamer CAM PW315 Full HD Black,,6099,1,https://comfy.ua/veb-kamera-dlja-komp-jutera-avermedia-live-streamer-cam-pw315-full-hd-black.html,,05.11.2025 21:24,,"вул. Соборна, 42",Фастів,0
939128584,,,,,1830185,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",avermedia,Веб-камера для комп'ютера Avermedia Live Streamer CAM PW513 4K Black,,10145,1,https://comfy.ua/veb-kamera-dlja-komp-jutera-avermedia-live-streamer-cam-pw513-4k-black.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
939137034,,,,,1830180,Смартфоны и телефоны >> Аксессуары для смартфонов,defender,Мережевий зарядний пристрій Defender UPA-101 Black 1 USB QC 3.0 18W (83573),,165,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-defender-upa-101-black-1-usb-qc-3-0-18w-83573.html,,05.11.2025 20:05,,"вул. Соборна, 42",Фастів,0
939137461,,,,,1810092,Смартфоны и телефоны >> Аксессуары для смартфонов,colorway,Мережевий зарядний пристрій Colorway Power Delivery Port PPS 1USB-Cx3A 45W White (CW-CHS034PD-WT),,749,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-colorway-power-delivery-port-pps-1usb-cx3a-45w-white-cw-chs034pd-wt.html,,05.11.2025 17:27,,"вул. Соборна, 42",Фастів,0
939168051,,,,,.1822480,Техника для кухни >> Мелкая техника,wmf,Блендер стаціонарний WMF 0416530011 KULT,,5999,1,https://comfy.ua/blender-stacionarnyj-wmf-0416530011-kult.html,7999,05.11.2025 19:54,,"вул. Соборна, 42",Фастів,0
939187766,7058472,TENA,Трусы-подгузники TENA Pants Normal Large 30шт (7322541150895),689,1832209,Детские товары >> Подгузники и пеленание,tena,Одноразові підгузки-трусики Tena Pants Normal Large 30 (7322541150895),,865,1,https://comfy.ua/catalog/product/view/id/2678733,,05.11.2025 20:36,,"вул. Соборна, 42",Фастів,0
939191669,7058471,TENA,Трусы-подгузники TENA Pants Normal Medium 30шт (7322541150611),593,1832207,Детские товары >> Подгузники и пеленание,tena,Одноразові підгузки-трусики Tena Pants Normal Medium 30 (7322541150611),,759,1,https://comfy.ua/catalog/product/view/id/2678943,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
939193803,,,,,1830854,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",merlion,"Сумка для ноутбуку Merlion 15,6'' Polyester Q70 (DL156)",,279,1,https://comfy.ua/sumka-dlja-noutbuka-merlion-15-6-polyester-q70-dl156.html,,05.11.2025 18:55,,"вул. Соборна, 42",Фастів,0
939194036,,,,,1803350,Бытовая химия >> Средства для посудомоечных машин >> Ополаскиватели для мытья посуды >> Ополаскиватели для мытья посуды Sonett,sonett,Ополіскувач для посудомийної машини Sonett 500 мл (GB3081),,379,1,https://comfy.ua/opolaskivatel-dlja-posudomoechnoj-mashiny-sonett-500-ml-gb3081.html,447,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
939195308,,,,,1831137,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для мобільного телефону PowerPlant HTC A6262 (BA S380),,139,1,https://comfy.ua/akkumuljator-dlja-mobil-nogo-telefona-powerplant-htc-a6262-ba-s380.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
939199873,6738691,ARDESTO,Выпрямитель ARDESTO HS-615D,699,1831369,Красота и здоровье >> Уход за волосами >> Выпрямители волос >> Выпрямители волос Ardesto,ardesto,Вирівнювач волосся Ardesto HS-615D,,699,1,https://comfy.ua/plojka-ardesto-hs-615d.html,,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
939201920,,,,,1803348,Бытовая химия >> Средства для посудомоечных машин,sonett,Таблетка для посудомийної машини Sonett 25 шт. (DE4028),,659,1,https://comfy.ua/tabletka-dlja-posudomoechnoj-mashiny-sonett-25-sht-de4028.html,781,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
939281069,6768417,TEFAL,Шумовка TEFAL Ingenio (K2060314),259,1828927,Посуда >> Для приготовления >> Посуда со съемной ручкой Ingenio >> Посуда со съемной ручкой Ingenio Tefal,tefal,Шумовка Tefal Ingenio (K2060314),,259,1,https://comfy.ua/shumovka-tefal-ingenio-k2060314.html,399,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,0
939400251,6688898,MAGIO,Вафельница MAGIO MG-397,899,1795896,Техника для кухни >> Мелкая техника >> Вафельницы >> Вафельницы Magio,magio,Вафельниця Magio MG-397,,899,1,https://comfy.ua/vafel-nica-magio-mg-397.html,,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,0
