1042221821,column,column,column,column,1872126,Детские товары >> Игрушки,spidey,__spidey_little_plush_miles_morales___snf0004,column,579,1,httpscomfyuacatalogproductviewid3118073,column,06112025_104,column,__42,Фастів,0
1043465816,6926757,EINHELL,Перфоратор EINHELL TE-HD 18/12 Li-Solo (4513970) без АКБ и ЗУ,3864,1872297,Инструменты и автотовары >> Электроинструменты >> Перфораторы >> Перфораторы Einhell,einhell,Перфоратор Einhell TE-HD 18/12 Li-Solo без АКБ та ЗП (4513970),,3865,1,https://comfy.ua/perforator-einhell-te-hd-18-12-li-solo-bez-akb-ta-zu-4513970.html,,05.11.2025 21:30,,"вул. Соборна, 42",Фастів,0
1043480241,,,,,.1869138,Смарт-часы и гаджеты >> Аксессуары,armorstandart,Ремінець для фітнес-браслету Armorstandart for Xiaomi Mi Band 6/5 Transparent (ARM59267),,149,1,https://comfy.ua/remeshok-dlja-fitnes-brasleta-armorstandart-for-xiaomi-mi-band-6-5-transparent-arm59267.html,,05.11.2025 19:00,,"вул. Соборна, 42",Фастів,0
1043480243,,,,,.1869143,Смарт-часы и гаджеты >> Аксессуары,armorstandart,Ремінець для фітнес-браслету Armorstandart for Xiaomi Mi Band 6/5 Dark Lord Helmet Purple (ARM59259),,149,1,https://comfy.ua/remeshok-dlja-fitnes-brasleta-armorstandart-for-xiaomi-mi-band-6-5-dark-lord-helmet-purple-arm59259.html,,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
1043480244,,,,,.1869140,Смарт-часы и гаджеты >> Аксессуары,armorstandart,Ремінець для фітнес-браслету Armorstandart for Xiaomi Mi Band 6/5 Dark Lord Icon Transparent (ARM59262),,149,1,https://comfy.ua/remeshok-dlja-fitnes-brasleta-armorstandart-for-xiaomi-mi-band-6-5-dark-lord-icon-transparent-arm59262.html,,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,0
1043480247,,,,,.1869145,Смарт-часы и гаджеты >> Аксессуары,armorstandart,Ремінець для фітнес-браслету Armorstandart for Xiaomi Mi Band 6/5 Green (ARM59257),,149,1,https://comfy.ua/remeshok-dlja-fitnes-brasleta-armorstandart-for-xiaomi-mi-band-6-5-green-arm59257.html,,05.11.2025 19:04,,"вул. Соборна, 42",Фастів,0
1043480248,,,,,1869142,Смарт-часы и гаджеты >> Аксессуары >> Аксессуары для фитнес-браслетов >> Аксессуары для фитнес-браслетов Armorstandart,armorstandart,Ремінець для фітнес-браслету Armorstandart for Xiaomi Mi Band 6/5 Throoper Patern White (ARM59260),,149,1,https://comfy.ua/remeshok-dlja-fitnes-brasleta-armorstandart-for-xiaomi-mi-band-6-5-throoper-patern-white-arm59260.html,,05.11.2025 19:05,,"вул. Соборна, 42",Фастів,0
1043480249,,,,,.1869144,Смарт-часы и гаджеты >> Аксессуары,armorstandart,Ремінець для фітнес-браслету Armorstandart for Xiaomi Mi Band 6/5 Appeal Black (ARM59258),,149,1,https://comfy.ua/remeshok-dlja-fitnes-brasleta-armorstandart-for-xiaomi-mi-band-6-5-appeal-black-arm59258.html,,05.11.2025 19:00,,"вул. Соборна, 42",Фастів,0
1043517835,,,,,1873157,Детские товары >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Aurora,aurora,М'яка іграшка Aurora Ведмідь рожевий 28 см (180161B),,499,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-aurora-medved-rozovyj-28-sm-180161b.html,699,06.11.2025 1:28,,"вул. Соборна, 42",Фастів,0
1043517991,,,,,1837336,Техника для кухни >> Крупная техника,siemens,Варильна поверхня газова Siemens EG6B5HO92R,,14999,1,https://comfy.ua/varochnaja-panel-gazovaja-siemens-eg6b5ho92r.html,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
1043518013,,,,,1873151,Детские товары >> Игрушки,aurora,М'яка іграшка Aurora Кінь рябий 25 см (170387B),,899,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-aurora-kon-rjaboj-25-sm-170387b.html,,06.11.2025 1:02,,"вул. Соборна, 42",Фастів,0
1043518251,6776694,AMIGO,Смарт-часы AMIGO GO004 SP Camera Black,1599,1869617,Смарт-часы и гаджеты >> Смарт-часы >> Смарт-часы AmiGo,amigo,Дитячий годинник AmiGo GO004 SP Camera+LED Black,,1599,1,https://comfy.ua/detskie-chasy-amigo-go004-sp-camera-led-black.html,1799,05.11.2025 18:08,,"вул. Соборна, 42",Фастів,0
