1648695847,column,column,column,column,2781869,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,____armorstandart_for_xiaomi_mi_11i_arm59492,column,209,1,httpscomfyuazaschitnajaplenkadljasmartfonaarmorstandartforxiaomimi11iarm59492html,column,05112025_2031,column,__42,Фастів,0
1648910477,6947476,HP,Моноблок HP 24-cr0001ua (95Z23EA),32599,2808628,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки (ПК) >> Системные блоки (ПК) HP",hp,Комп'ютер-моноблок HP 24-cr0001ua (95Z23EA) Shell White,,32599,1,https://comfy.ua/komp-juter-monoblok-hp-24-cr0001ua-95z23ea-shell-white.html,,05.11.2025 17:40,,"вул. Соборна, 42",Фастів,0
1648914711,,,,,2818156,Техника для кухни >> Крупная техника >> Микроволновые печи >> Микроволновые печи Hisense,hisense,Мікрохвильова піч (НВЧ) Hisense H20MOMS4,,4499,1,https://comfy.ua/mikrovolnovaja-pech-svch-hisense-h20moms4.html,,05.11.2025 20:00,,"вул. Соборна, 42",Фастів,0
1648917704,6950120,BERGNER,Открывалка для бутылок BERGNER Gizmo 19 см (BG-3224),129,2808187,Посуда >> Кухонные аксессуары >> Штопоры и открывалки >> Штопоры и открывалки Bergner,bergner,Відкривачка для пляшок Bergner Gizmo 19 см (BG-3224),,129,1,https://comfy.ua/otkryvalka-dlja-butylok-bergner-gizmo-19-sm-bg-3224.html,229,05.11.2025 19:03,,"вул. Соборна, 42",Фастів,0
1648917705,6950068,MASTERPRO,Открывалка для бутылок MASTERPRO Foodies oenology (BGMP-5113),269,2802870,Посуда >> Кухонные аксессуары >> Штопоры и открывалки >> Штопоры и открывалки Masterpro,masterpro,Відкривачка для пляшок Masterpro Foodies oenology (BGMP-5113),,269,1,https://comfy.ua/otkryvalka-dlja-butylok-masterpro-foodies-oenology-bgmp-5113.html,489,05.11.2025 19:03,,"вул. Соборна, 42",Фастів,0
1648917707,6950063,MASTERPRO,Штопор MASTERPRO Foodies oenology (BGMP-5105),409,2799479,Посуда >> Кухонные аксессуары >> Штопоры и открывалки >> Штопоры и открывалки Masterpro,masterpro,Штопор Masterpro Foodies oenology (BGMP-5105),,409,1,https://comfy.ua/shtopor-masterpro-foodies-oenology-bgmp-5105.html,729,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
1648917708,6950064,MASTERPRO,Штопор MASTERPRO Foodies oenology (BGMP-5106),639,2799478,Посуда >> Кухонные аксессуары >> Штопоры и открывалки >> Штопоры и открывалки Masterpro,masterpro,Штопор Masterpro Foodies oenology (BGMP-5106),,859,1,https://comfy.ua/shtopor-masterpro-foodies-oenology-bgmp-5106.html,,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
1648917714,6950061,MASTERPRO,Штопор MASTERPRO Foodies oenology (BGMP-5102),1109,2799480,Посуда >> Кухонные аксессуары >> Штопоры и открывалки >> Штопоры и открывалки Masterpro,masterpro,Штопор Masterpro Foodies oenology (BGMP-5102),,1109,1,https://comfy.ua/shtopor-masterpro-foodies-oenology-bgmp-5102.html,1839,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
1648918050,7170786,WEILOR,Духовой шкаф WEILOR FPO6F8BI,10999,2633068,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Weilor,weilor,Духова шафа електрична Weilor FPO6F8BI,,11999,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-weilor-fpo6f8bi.html,13199,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
1648918052,7170783,WEILOR,Духовой шкаф WEILOR FDO6F8BK,12899,2584549,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Weilor,weilor,Духова шафа електрична Weilor FDO6F8BK,,12899,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-weilor-fdo6f8bk.html,15399,05.11.2025 20:19,,"вул. Соборна, 42",Фастів,0
1648918056,7170782,WEILOR,Духовой шкаф WEILOR FDO6F8BI,13699,2584551,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Weilor,weilor,Духова шафа електрична Weilor FDO6F8BI,,13699,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-weilor-fdo6f8bi.html,15399,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
1648918246,7170784,WEILOR,Духовой шкаф WEILOR FDO6F8WT,13699,2584550,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Weilor,weilor,Духова шафа електрична Weilor FDO6F8WT,,13699,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-weilor-fdo6f8wt.html,15599,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
