1664063044,column,column,column,column,2724465,Посуда >> Для сервировки,luminarc,__luminarc_brush_mania_terracotta_20__v5420,column,100,1,httpscomfyuatarelkasupovajaluminarcbrushmaniaterracotta20smv5420html,column,05112025_1931,column,__42,Фастів,0
1664228953,7056822,BRIZOLL,Сотейник с крышкой BRIZOLL Monolith 26 см Black (M2660P-6),869,2777434,Посуда >> Для приготовления >> Сковороды >> Сковороды Brizoll,brizoll,Сковорода універсальна Brizoll M2660P-6 26 см,,865,1,https://comfy.ua/skovoroda-universal-naja-brizoll-m2660p-6-26-sm.html,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
1664229035,6984001,MPM,Блендер MPM MBL-36,1599,2920317,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры MPM,mpm,Блендер заглибний MPM MBL-36,,1599,1,https://comfy.ua/blender-pogruzhnoj-mpm-mbl-36.html,,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
1664229150,7056753,BRIZOLL,Сковорода-гриль BRIZOLL Optima 28х28 см Black (O282850G-P),1029,2777429,Посуда >> Для приготовления >> Сковороды >> Сковороды Brizoll,brizoll,Сковорода гриль Brizoll O282850G-P Optima 280 х 280 х 50 мм,,800,1,https://comfy.ua/skovoroda-gril-brizoll-o282850g-p-optima-280-h-280-h-50-mm.html,,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
1664232125,,,,,.2841914,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Чохол для смартфону Armorstandart OneFold Case for OPPO A18 4G / A38 4G Black (ARM72621),,399,1,https://comfy.ua/chehol-dlja-smartfona-armorstandart-onefold-case-for-oppo-a18-4g-a38-4g-black-arm72621.html,,05.11.2025 18:46,,"вул. Соборна, 42",Фастів,0
1664240445,6984005,MPM,Холодильник MPM 87-CZ-13/E,8499,2920318,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники MPM,mpm,Холодильник MPM MPM-87-CZ-13/E,,8499,1,https://comfy.ua/holodil-nik-mpm-mpm-87-cz-13-e.html,,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
1664240446,6984015,MPM,Холодильник MPM 30-MBS-06/L,7999,2920315,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники MPM,mpm,Холодильник MPM MPM-30-MBS-06/L,,7999,1,https://comfy.ua/holodil-nik-mpm-mpm-30-mbs-06-l.html,,05.11.2025 19:09,,"вул. Соборна, 42",Фастів,0
1664242437,,,,,2917942,Техника для кухни >> Крупная техника,hansa,Плита газова Hansa FCMW68209,,19899,1,https://comfy.ua/plita-gazovaja-hansa-fcmw68209.html,,05.11.2025 18:24,,"вул. Соборна, 42",Фастів,0
1664276515,,,,,.2851240,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,"""Чохол для смартфону",,,,,,,,,,
"BeCover Anti-Shock for Oppo Reno7 Clear (709342)""",,179,1,https://comfy.ua/chehol-dlja-smartfona-becover-anti-shock-for-oppo-reno7-clear-709342.html,,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0,,,,,,,,
1664293603,,,,,2851972,Смартфоны и телефоны >> Аксессуары для смартфонов >> Чехлы для смартфонов >> Чехлы для смартфонов Armorstandart,armorstandart,Чохол для смартфону Armorstandart OneFold Case for Samsung M34 5G (M346) Black (ARM72640),,349,1,https://comfy.ua/chehol-dlja-smartfona-armorstandart-onefold-case-for-samsung-m34-5g-m346-black-arm72640.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
1664295996,,,,,.2835582,Игровые консоли и гейминг >> Комплектующие для игровых ПК,casecom,Блок живлення для ПК CASECOM CM 400-12 ATX,,529,1,https://comfy.ua/blok-pitanija-dlja-pk-casecom-cm-400-12-atx.html,,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
1664296001,,,,,.2835579,Игровые консоли и гейминг >> Комплектующие для игровых ПК,casecom,Блок живлення для ПК CASECOM CM 400 ATX,,579,1,https://comfy.ua/blok-pitanija-dlja-pk-casecom-cm-400-atx.html,,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,0
1664296039,,,,,.2837370,Игровые консоли и гейминг >> Комплектующие для игровых ПК,aerocool,Блок живлення для ПК AEROCOOL VX Plus 800 (ACPN-VS80AEY.11),,2499,1,https://comfy.ua/blok-pitanija-dlja-pk-aerocool-vx-plus-800-acpn-vs80aey-11.html,,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,0
1664296139,,,,,2832594,Игровые консоли и гейминг >> Комплектующие для игровых ПК,corsair,Блок живлення для ПК Corsair CP-9020279-EU,,3599,1,https://comfy.ua/blok-pitanija-dlja-pk-corsair-cp-9020279-eu.html,,05.11.2025 18:47,,"вул. Соборна, 42",Фастів,0
1664296567,,,,,2910139,Смарт-часы и гаджеты >> Электротранспорт >> Электросамокаты >> Электросамокаты MegaDrive,megadrive,Електросамокат MegaDrive X8F10GW,,16999,1,https://comfy.ua/jelektrosamokat-megadrive-x8f10gw.html,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
1664296568,,,,,2910138,Смарт-часы и гаджеты >> Электротранспорт >> Электросамокаты >> Электросамокаты MegaDrive,megadrive,Електросамокат MegaDrive X8F10GO,,16999,1,https://comfy.ua/jelektrosamokat-megadrive-x8f10go.html,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
1664296569,,,,,2910141,Смарт-часы и гаджеты >> Электротранспорт >> Электросамокаты >> Электросамокаты MegaDrive,megadrive,Електросамокат MegaDrive X9F10GW,,29999,1,https://comfy.ua/jelektrosamokat-megadrive-x9f10gw.html,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
