914063542,,,,,.1815686,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",case-logic,Сумка для ноутбуку Case Logic Casual Bag 17'' DLC-117 Black (3201434),,2599,1,https://comfy.ua/sumka-dlja-noutbuka-case-logic-casual-bag-17-dlc-117-black-3201434.html,,05.11.2025 22:28,,"вул. Соборна, 42",Фастів,0
914063627,,,,,1816054,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Мережевий зарядний пристрій Armorstandart AMHJ83 20W USB-C (ARM58528),,349,1,https://comfy.ua/catalog/product/view/id/2530003,,05.11.2025 17:19,,"вул. Соборна, 42",Фастів,0
914242528,,,,,1815701,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",printpro,Картридж для лазерних принтерів/БФП PrintPro HP CF244A M15/M28 (PP-H244),,749,1,https://comfy.ua/catalog/product/view/id/2530123,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
914289815,,,,,1816023,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",merlion,Зарядний пристрій для ноутбука Merlion Acer 19V 3.42A 65W 3.0х1.1 мм + каб (LAC65/19-3.0*1.1/01970),,379,1,https://comfy.ua/catalog/product/view/id/2529993,,05.11.2025 21:27,,"вул. Соборна, 42",Фастів,0
914289816,,,,,1816030,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",merlion,Зарядний пристрій для ноутбука Merlion Toshiba 19V 3.42A 65W 5.5х2.5 мм + каб. (LTO65/19-5.5*2.5/01787),,389,1,https://comfy.ua/catalog/product/view/id/2530013,,05.11.2025 21:10,,"вул. Соборна, 42",Фастів,0
914289817,,,,,1816028,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",merlion,Зарядний пристрій для ноутбука Merlion Lenovo 20V 3.25A 65W 5.5х2.5 мм + каб. (LLN65/20-5.5*2.5/06894),,379,1,https://comfy.ua/catalog/product/view/id/2530093,,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
914289818,,,,,1816029,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",merlion,Зарядний пристрій для ноутбука Merlion Samsung 19V 2.1A 40W 5.5х3.0 мм + каб. (LSA40/19-5.5.*3.0/00192),,409,1,https://comfy.ua/catalog/product/view/id/2530163,,05.11.2025 21:18,,"вул. Соборна, 42",Фастів,0
914292450,,,,,.1816024,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",merlion,Зарядний пристрій для ноутбука Merlion Acer 19V 6A 115W 5.5х2.5 мм + каб. (LAC115/19-5.5*2.5/04400),,819,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-merlion-acer-19v-6a-115w-5-5h2-5-mm-kab-lac115-19-5-5-2-5-04400.html,,05.11.2025 21:41,,"вул. Соборна, 42",Фастів,0
914346364,6711184,KELA,Сервиз KELA Mattia 50 мл 4 пр Grey (12751),1179,1813263,Посуда >> Для напитков >> Чашки >> Чашки Kela,kela,Набір чашок Kela Mattia 4 пр. Grey (12751),,1179,1,https://comfy.ua/serviz-kofejnyj-kela-mattia-4-pr-grey-12751.html,,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
914346366,6711182,KELA,Сервиз KELA Mattia 50 мл 4 пр Brown (12755),1179,1813301,Посуда >> Для напитков >> Чашки >> Чашки Kela,kela,Набір чашок Kela Mattia 4 пр. Brown (12755),,1179,1,https://comfy.ua/serviz-kofejnyj-kela-mattia-4-pr-brown-12755.html,,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
914756096,6708898,SAMSUNG,Духовой шкаф SAMSUNG NV68A1110RS/WT,17399,1816285,Техника для кухни >> Крупная техника,samsung,Духова шафа електрична Samsung NV68A1110RS/WT,,17399,1,https://comfy.ua/catalog/product/view/id/2534463,18799,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
914829693,,,,,1813053,"Аудио, фото и видео >> Наушники",xo,Навушники вкладиші дротові XO EP22 Black (00000013794),,99,1,https://comfy.ua/catalog/product/view/id/2535203,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
914874856,,,,,1813055,"Аудио, фото и видео >> Наушники",xo,Навушники вкладиші дротові XO EP20 White (00000013992),,59,1,https://comfy.ua/catalog/product/view/id/2535183,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
914882503,,,,,1813056,"Аудио, фото и видео >> Наушники",xo,Навушники вкладиші дротові XO EP20 Black (00000013209),,59,1,https://comfy.ua/catalog/product/view/id/2535173,,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
914882553,,,,,1813061,"Аудио, фото и видео >> Наушники",xo,Навушники вкладиші дротові XO EP15 In-ear metal Red (00000013988),,115,1,https://comfy.ua/catalog/product/view/id/2535133,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
914897458,,,,,1816023,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",merlion,Зарядний пристрій для ноутбука Merlion Acer 19V 3.42A 65W 3.0х1.1 мм + каб (LAC65/19-3.0*1.1/01970),,379,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-merlion-acer-19v-3-42a-65w-3-0h1-1-mm-kab-lac65-19-3-0-1-1-01970.html,,05.11.2025 21:27,,"вул. Соборна, 42",Фастів,0
914897459,,,,,.1816030,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",merlion,Зарядний пристрій для ноутбука Merlion Toshiba 19V 3.42A 65W 5.5х2.5 мм + каб. (LTO65/19-5.5*2.5/01787),,389,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-merlion-toshiba-19v-3-42a-65w-5-5h2-5-mm-kab-lto65-19-5-5-2-5-01787.html,,05.11.2025 21:10,,"вул. Соборна, 42",Фастів,0
914897460,,,,,.1816028,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",merlion,Зарядний пристрій для ноутбука Merlion Lenovo 20V 3.25A 65W 5.5х2.5 мм + каб. (LLN65/20-5.5*2.5/06894),,379,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-merlion-lenovo-20v-3-25a-65w-5-5h2-5-mm-kab-lln65-20-5-5-2-5-06894.html,,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
914897461,,,,,1816029,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",merlion,Зарядний пристрій для ноутбука Merlion Samsung 19V 2.1A 40W 5.5х3.0 мм + каб. (LSA40/19-5.5.*3.0/00192),,409,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-merlion-samsung-19v-2-1a-40w-5-5h3-0-mm-kab-lsa40-19-5-5-3-0-00192.html,,05.11.2025 21:18,,"вул. Соборна, 42",Фастів,0
