929334513,6711105,KELA,Ложка для мороженого KELA Rondo 21 см (19022),689,1813198,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Kela,kela,Ложка для морозива Kela Rondo 21 см (19022),,689,1,https://comfy.ua/lozhka-dlja-morozhenogo-kela-rondo-21-sm-19022.html,,05.11.2025 19:46,,"вул. Соборна, 42",Фастів,0
929334513,6046995,,Шланг Cellfast S.A. SPRING 15 м (19-022),677,1813198,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Kela,kela,Ложка для морозива Kela Rondo 21 см (19022),,689,1,https://comfy.ua/lozhka-dlja-morozhenogo-kela-rondo-21-sm-19022.html,,05.11.2025 19:46,,"вул. Соборна, 42",Фастів,0
929334514,6711138,KELA,Набор подставок для яиц KELA Vision 9 см 4 шт (19246),509,1813843,Посуда >> Для сервировки >> Прочие предметы сервировки >> Прочие предметы сервировки Kela,kela,Набір підставок для яєць Kela Vision 9 см 4 шт. (19246),,509,1,https://comfy.ua/nabor-podstavok-dlja-jaic-kela-vision-9-sm-4-sht-19246.html,849,05.11.2025 19:59,,"вул. Соборна, 42",Фастів,0
929334665,6711072,KELA,Банка KELA Amelie 0.8 л 11х14 см (11955),319,1813202,Посуда >> Для хранения >> Емкости для сыпучих >> Емкости для сыпучих Kela,kela,Ємність для сипучих Kela Amelie 0.8 л 11х14 см (11955),,319,1,https://comfy.ua/emkost-dlja-sypuchih-kela-amelie-0-8-l-11h14-sm-11955.html,569,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
929334705,,,,,1813767,Посуда >> Для напитков >> Чашки >> Чашки Kela,kela,Набір чашок Kela Mattia 300 мл 2 шт. Grey (12757),,1129,1,https://comfy.ua/nabor-chashek-kela-mattia-300-ml-2-sht-grey-12757.html,,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
929334709,6711106,KELA,Ложка для мороженного Kela Rondo 22.5 см (19135),879,1813199,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Kela,kela,Ложка для морозива Kela Rondo 22.5 см (19135),,879,1,https://comfy.ua/lozhka-dlja-morozhenogo-kela-rondo-22-5-sm-19135.html,1349,05.11.2025 19:46,,"вул. Соборна, 42",Фастів,0
929341060,6729372,NEO TOOLS,Набор отверток NEO TOOLS 8 шт (04-194),499,1815580,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Neo Tools,neo-tools,Набір викруток Neo Tools 8 шт. (04-194),,499,1,https://comfy.ua/nabor-otvertok-neo-tools-8-sht-04-194.html,,05.11.2025 22:19,,"вул. Соборна, 42",Фастів,0
929358474,,,,,1649402,OUTLET,ardesto,Уцінка - Сушарка для фруктів та овочів Ardesto FDB-5385 #,,1423,1,https://comfy.ua/sushilka-dlja-fruktov-i-ovoschej-ardesto-fdb-5385-ucenka-1-1.html,,05.11.2025 20:56,,"вул. Соборна, 42",Фастів,0
929360060,,,,,1799166,Красота и здоровье >> Косметика для тела,axe,Гель для душа AXE Айс Чил 250мл,,119,1,https://comfy.ua/gel-dlja-dusha-axe-ajs-chil-250ml.html,,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
929360452,,,,,1815107,Красота и здоровье >> Косметика для тела,axe,Дезодорант аерозольний AXE Айс Чіл 150 мл,,129,1,https://comfy.ua/dezodorant-ajerozol-nyj-axe-ajs-chil-150-ml.html,,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
929360457,,,,,1796719,Красота и здоровье >> Косметика для тела,nivea,Дезодорант аерозольний NIVEA антиперсп Power Невидимая защита 150мл,,129,1,https://comfy.ua/dezodorant-ajerozol-nyj-nivea-antipersp-power-nevidimaja-zaschita-150ml.html,,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
929360464,,,,,1796710,Красота и здоровье >> Косметика для тела,nivea,Дезодорант аерозольний NIVEA Cool Экстремальная свежесть 150мл,,109,1,https://comfy.ua/dezodorant-ajerozol-nyj-nivea-cool-jekstremal-naja-svezhest-150ml.html,,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
929360465,,,,,1796715,Красота и здоровье >> Косметика для тела,nivea,Дезодорант аерозольний NIVEA антиперсп ARCTIC OCEAN 150мл,,129,1,https://comfy.ua/dezodorant-ajerozol-nyj-nivea-antipersp-arctic-ocean-150ml.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
929360470,,,,,1796718,Красота и здоровье >> Косметика для тела,nivea,Дезодорант аерозольний NIVEA антіперсп Clear невидима захист 150мл,,129,1,https://comfy.ua/dezodorant-ajerozol-nyj-nivea-antipersp-clear-nevidimaja-zaschita-150ml.html,,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
929360477,,,,,1796694,Красота и здоровье >> Косметика для тела,nivea,Дезодорант кульковий NIVEA антіперсп Power Невидимий захист 50мл,,105,1,https://comfy.ua/dezodorant-sharikovyj-nivea-antipersp-power-nevidimaja-zaschita-50ml.html,,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
929360488,,,,,1796724,Красота и здоровье >> Косметика для тела,nivea,Дезодорант аерозольний NIVEA Енергія свіжості 150мл,,109,1,https://comfy.ua/dezodorant-ajerozol-nyj-nivea-jenergija-svezhesti-150ml.html,,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
929360494,,,,,1796684,Красота и здоровье >> Косметика для тела,nivea,Дезодорант кульковий NIVEA антіперсп Clear Невидимий захист 50мл,,89,1,https://comfy.ua/dezodorant-sharikovyj-nivea-antipersp-clear-nevidimaja-zaschita-50ml.html,,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
929360502,,,,,1796706,Красота и здоровье >> Косметика для тела,nivea,Дезодорант кульковий NIVEA антіперсп Ефект пудри 50мл,,129,1,https://comfy.ua/dezodorant-sharikovyj-nivea-antipersp-jeffekt-pudry-50ml.html,,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
929376956,6711161,KELA,Держатель кухонных полотенец KELA Stella 15 х 32 см белый (11201),1084,1813253,Посуда >> Кухонные аксессуары >> Органайзеры и подставки для кухни >> Органайзеры и подставки для кухни Kela,kela,Підставка для паперових рушників Kela Stella15х32 см White (11201),,1089,1,https://comfy.ua/podstavka-dlja-bumazhnyh-polotenec-kela-stella15h32-sm-white-11201.html,,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
929395427,,,,,1762714,Детские товары >> Игрушки >> Активные игры >> Спортивные игры >> Спортивные игры Strateg,strateg,"""Бокс Strateg набор """"Ukraine"""" маленький ( высота 40 см, диаметр 14 см) (2014)""",,565,1,https://comfy.ua/boks-strateg-nabor-ukraine-malen-kij-vysota-40-sm-diametr-14-sm-2014.html,,06.11.2025 0:55,,"вул. Соборна, 42",Фастів,0
929395643,,,,,1824950,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Liberty,liberty,Холодильник Liberty HRF-120 W,,6015,1,https://comfy.ua/holodil-nik-liberty-hrf-120-w.html,,05.11.2025 21:17,,"вул. Соборна, 42",Фастів,0
