809911173,column,column,column,column,1770093,________________frosch,frosch,____frosch___750_,column,104,1,httpscomfyuasredstvodljachistkiunitazafroschgelmalina750mlhtml,176,05112025_1912,column,__42,Фастів,0
809931299,,,,,1770097,Бытовая химия >> Средства для стирки >> Ополаскиватели для белья >> Ополаскиватели для белья Frosch,frosch,Ополіскувач для білизни Frosch ZERO Аурум 750 мл,,129,1,https://comfy.ua/opolaskivatel-dlja-bel-ja-frosch-zero-sensitiv-750-ml.html,197,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
809936482,,,,,1770057,Бытовая химия >> Средства для стирки >> Гели для стирки >> Гели для стирки Frosch,frosch,"Гель для прання Frosch Концентрат Алое Вера 1,5 л",,332,1,https://comfy.ua/gel-dlja-stirki-frosch-koncentrat-aloje-vera-1-5-l.html,652,05.11.2025 19:09,,"вул. Соборна, 42",Фастів,0
809936483,,,,,1770058,Бытовая химия >> Средства для стирки,frosch,"Гель для прання Frosch Бальзам д/вовни Минда льное молочко 1,5 л",,347,1,https://comfy.ua/gel-dlja-stirki-frosch-bal-zam-d-shersti-minda-l-noe-molochko-1-5-l.html,,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
809936485,,,,,1770069,Бытовая химия >> Средства для стирки >> Гели для стирки >> Гели для стирки Frosch,frosch,"Гель для прання Frosch Концентрат Сода 1,5 л",,369,1,https://comfy.ua/gel-dlja-stirki-frosch-koncentrat-soda-1-5-l.html,652,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
809936493,,,,,1770023,Бытовая химия >> Средства для стирки >> Гели для стирки >> Гели для стирки Frosch,frosch,"Гель для прання Frosch ZERO Аурум 1,5 л",,449,1,https://comfy.ua/gel-dlja-stirki-frosch-zero-sensitiv-1-5-l.html,774,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
809947167,,,,,1770088,Бытовая химия >> Для кухни и мытья посуды,frosch,Засіб для ручного миття посуду Frosch Бальзам ZERO Аурум 500 мл,,146,1,https://comfy.ua/catalog/product/view/id/2146023,209,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
809987284,,,,,1777665,Техника для кухни >> Мелкая техника >> Миксеры >> Миксеры Ariete,ariete,Міксер з чашею Ariete 1588 Beige,,6999,1,https://comfy.ua/mikser-s-chashej-ariete-1588-beige.html,,05.11.2025 19:53,,"вул. Соборна, 42",Фастів,0
809991588,,,,,1770118,Бытовая химия >> Все для уборки >> Универсальные средства для уборки >> Универсальные средства для уборки Frosch,frosch,Засіб для чищення універсальний Frosch Очищає молочко Апельсин 500 мл,,73,1,https://comfy.ua/chistjaschee-sredstvo-universal-noe-frosch-ochischajuschee-molochko-apel-sin-500-ml.html,138,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
809991589,,,,,1770140,Бытовая химия >> Все для уборки >> Универсальные средства для уборки >> Универсальные средства для уборки Frosch,frosch,Засіб для чищення універсальний Frosch Апельсин 750 мл,,99,1,https://comfy.ua/chistjaschee-sredstvo-universal-noe-frosch-apel-sin-750-ml.html,143,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
809991590,,,,,1770211,Бытовая химия >> Все для уборки >> Универсальные средства для уборки >> Универсальные средства для уборки Frosch,frosch,Засіб для чищення універсальний Frosch Лаванда 750мл,,99,1,https://comfy.ua/chistjaschee-sredstvo-universal-noe-frosch-lavanda-750ml.html,143,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
