1680853287,column,column,column,column,2941132,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,__qube_qb_i5_14400f_rtx_3050_8gb_nm_324_i514400frtx30508gbnm324,column,35848,1,httpscomfyuasistemnyjblokqubeqbi514400frtx30508gbnm324i514400frtx30508gbnm324html,41205,05112025_1746,column,__42,Фастів,0
1681405586,,,,,.2941146,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400F RTX 4060 8GB NM 1642 (i514400FRTX40608GBNM1642),,43704,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400f-rtx-4060-8gb-nm-1642-i514400frtx40608gbnm1642.html,50235,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
1681405593,,,,,.2941141,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400F RTX 3060 12GB NM 3241 (i514400FRTX306012GBNM3241),,43482,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400f-rtx-3060-12gb-nm-3241-i514400frtx306012gbnm3241.html,49979,05.11.2025 18:02,,"вул. Соборна, 42",Фастів,0
1681405600,,,,,.2941128,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400F RTX 3050 8GB NM 1641Win (i514400FRTX30508GBNM1641Win),,42312,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400f-rtx-3050-8gb-nm-1641win-i514400frtx30508gbnm1641win.html,48635,05.11.2025 18:03,,"вул. Соборна, 42",Фастів,0
1682020335,,,,,2830320,Смарт-часы и гаджеты >> Аксессуары,creality,Нитка для PLA-картриджа Creality Filament 1.75 мм (3301130001),,1195,1,https://comfy.ua/nitka-dlja-pla-kartridzha-creality-filament-1-75-mm-3301130001.html,,05.11.2025 18:11,,"вул. Соборна, 42",Фастів,0
1682020341,,,,,.2830321,Смарт-часы и гаджеты >> Аксессуары,creality,Нитка для TPU-картриджа Creality Filament 1.75 мм (3301040034),,1199,1,https://comfy.ua/nitka-dlja-tpu-kartridzha-creality-filament-1-75-mm-3301040034.html,,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
1683026030,,,,,.2852073,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",gmakin,Чохол для ноутбука Gmakin for MacBook Pro 13 Black\Brown (GM56-13New),,579,1,https://comfy.ua/chehol-dlja-noutbuka-gmakin-for-macbook-pro-13-black-brown-gm56-13new.html,,05.11.2025 21:19,,"вул. Соборна, 42",Фастів,0
1684914857,,,,,.2853032,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",gemix,Акумулятор для ДБЖ Gemix LP6-2.8,,339,1,https://comfy.ua/akkumuljator-dlja-ibp-gemix-lp6-2-8.html,,05.11.2025 17:40,,"вул. Соборна, 42",Фастів,0
1684918005,,,,,.2853031,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",gemix,Акумулятор для ДБЖ Gemix GL12-20,,2145,1,https://comfy.ua/akkumuljator-dlja-ibp-gemix-gl12-20.html,,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
1684919390,,,,,.2853022,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",gemix,Акумулятор для ДБЖ Gemix GL12-200,,20665,1,https://comfy.ua/akkumuljator-dlja-ibp-gemix-gl12-200.html,,05.11.2025 17:40,,"вул. Соборна, 42",Фастів,0
1684954467,7007596,TOP TOOLS,Скобы TOP TOOLS тип J 10 мм 1000 шт (41E010),34,2898065,Инструменты и автотовары >> Расходные материалы >> Скобы >> Скобы Top Tools,top-tools,Скоби Top Tools тип J 1000 шт. (41E010),,50,1,https://comfy.ua/skoby-top-tools-tip-j-1000-sht-41e010.html,,05.11.2025 21:55,,"вул. Соборна, 42",Фастів,0
1685033995,,,,,1995999,Инструменты и автотовары >> Расходные материалы >> Биты >> Биты IRWIN,irwin,Біта для викрутки IRWIN Impact Pro 1/4'' 25 мм (IW6061607),,195,1,https://comfy.ua/bita-dlja-otvertki-irwin-impact-pro-1-4-25-mm-iw6061607.html,,05.11.2025 21:59,,"вул. Соборна, 42",Фастів,0
1686335243,6981564,KUMTEL,Гриль KUMTEL TTM-01 White,1199,2933853,Техника для кухни >> Мелкая техника,kumtel,Гриль-барбекю електричний Kumtel TTM-01 White,,1199,1,https://comfy.ua/gril-barbekju-jelektricheskij-kumtel-ttm-01-white.html,,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
1686337542,6980377,TEFAL,Гриль TEFAL OptiGrill+ XL GC727D10,9299,2899462,Техника для кухни >> Мелкая техника >> Грили-барбекю >> Грили-барбекю Tefal,tefal,Гриль-барбекю електричний Tefal GC727D10,,9299,1,https://comfy.ua/gril-barbekju-jelektricheskij-tefal-gc727d10.html,12999,05.11.2025 18:19,,"вул. Соборна, 42",Фастів,0
