1664541640,column,column,column,column,2917953,Техника для кухни >> Мелкая техника,ecg,_ecg_ph_6530_slow_master,column,2989,1,httpscomfyuamultivarkaecgph6530slowmasterhtml,column,05112025_1832,column,__42,Фастів,0
1664572190,6949911,BERGNER,"Кастрюля BERGNER Excalibur 6,5 л Grey (BG-36102-GY)",2679,2799450,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Bergner,bergner,Каструля Bergner Excalibur 28 см (BG-36102-GY),,2679,1,https://comfy.ua/kastrjulja-bergner-excalibur-28-sm-bg-36102-gy.html,3339,05.11.2025 20:00,,"вул. Соборна, 42",Фастів,0
1664572191,6949910,BERGNER,Кастрюля BERGNER Excalibur 5.8 л Green (BG-36102-GR),3739,2799453,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Bergner,bergner,Каструля Bergner Excalibur 28 см (BG-36102-GR),,5349,1,https://comfy.ua/kastrjulja-bergner-excalibur-28-sm-bg-36102-gr.html,,05.11.2025 20:00,,"вул. Соборна, 42",Фастів,0
1664572193,6977714,KITCHENAID,"Гусятница KITCHENAID Cast Iron 5,6 л Сream (CC006062-001)",16999,2868840,Посуда >> Для приготовления >> Кастрюли >> Кастрюли KitchenAid,kitchenaid,Каструля KitchenAid 30 см (CC006062-001),,16999,1,https://comfy.ua/kastrjulja-kitchenaid-30-sm-cc006062-001.html,,05.11.2025 19:57,,"вул. Соборна, 42",Фастів,0
1664572194,6977716,KITCHENAID,"Гусятница KITCHENAID Cast Iron 5,6 л Onyx Black (CC006064-001)",16999,2868841,Посуда >> Для приготовления >> Кастрюли >> Кастрюли KitchenAid,kitchenaid,Каструля KitchenAid 30 см (CC006064-001),,16999,1,https://comfy.ua/kastrjulja-kitchenaid-30-sm-cc006064-001.html,,05.11.2025 20:02,,"вул. Соборна, 42",Фастів,0
1664572195,6977715,KITCHENAID,"Гусятница KITCHENAID Cast Iron 5,6 л Empire Red (CC006063-001)",16999,2868839,Посуда >> Для приготовления >> Кастрюли >> Кастрюли KitchenAid,kitchenaid,Каструля KitchenAid 30 см (CC006063-001),,16999,1,https://comfy.ua/kastrjulja-kitchenaid-30-sm-cc006063-001.html,,05.11.2025 19:57,,"вул. Соборна, 42",Фастів,0
1664575221,6977793,KITCHENAID,Сотейник с крышкой KITCHENAID Multiply Stainless Steel 24 см (CC003251-001),9549,2868816,Посуда >> Для приготовления >> Ковши и сотейники >> Ковши и сотейники KitchenAid,kitchenaid,Сотейник KitchenAid MSS 24 см (CC003251-001),,9549,1,https://comfy.ua/sotejnik-kitchenaid-mss-24-sm-cc003251-001.html,,05.11.2025 19:47,,"вул. Соборна, 42",Фастів,0
1664576794,6977732,KITCHENAID,"Ковш KITCHENAID Classic Forged Aluminium 1,5 л Black (CC005683-001)",3749,2868835,Посуда >> Для приготовления >> Ковши и сотейники >> Ковши и сотейники KitchenAid,kitchenaid,Ківш KitchenAid CFA 16 см (CC005683-001),,3749,1,https://comfy.ua/kovsh-kitchenaid-cfa-16-sm-cc005683-001.html,,05.11.2025 19:55,,"вул. Соборна, 42",Фастів,0
1664588337,6952699,VANORA,Форма для пиццы VANORA VN-SL-P1010 (26x1),149,2894283,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Vanora,vanora,Деко Vanora 26х1 см (VN-SL-P1010),,149,1,https://comfy.ua/protiven-vanora-26h1-sm-vn-sl-p1010.html,,05.11.2025 19:02,,"вул. Соборна, 42",Фастів,0
1664588434,6977748,BERGNER,Набор кастрюль BERGNER Excalibur 2 шт Green (BG-13366-GR),1269,2808173,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Bergner,bergner,Набір форм для приготування Bergner Excalibur 2 шт. (BG-13366-GR),,1269,1,https://comfy.ua/nabor-form-dlja-prigotovlenija-bergner-excalibur-2-sht-bg-13366-gr.html,,05.11.2025 19:04,,"вул. Соборна, 42",Фастів,0
1664588436,6977749,BERGNER,Набор кастрюль BERGNER Excalibur 2 шт Green (BG-13365-GR),929,2808172,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Bergner,bergner,Набір форм для приготування Bergner Excalibur 2 шт. (BG-13365-GR),,929,1,https://comfy.ua/nabor-form-dlja-prigotovlenija-bergner-excalibur-2-sht-bg-13365-gr.html,1159,05.11.2025 19:02,,"вул. Соборна, 42",Фастів,0
1664588540,6977805,KITCHENAID,"Противень KITCHENAID KitchenAid 33х22,5х3,4 см (CC003300-001)",1799,2868830,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко KitchenAid,kitchenaid,"Форма для приготування KitchenAid 33х22,5х3,4 см (CC003300-001)",,1799,1,https://comfy.ua/forma-dlja-prigotovlenija-kitchenaid-33h22-5h3-4-sm-cc003300-001.html,,05.11.2025 19:04,,"вул. Соборна, 42",Фастів,0
1664607628,6910607,HISENSE,Холодильник HISENSE RS711N4AFE (HZF5508UEB),39999,2897977,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Hisense,hisense,Холодильник Hisense RS711N4AFE,,37999,1,https://comfy.ua/holodil-nik-hisense-rs711n4afe.html,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
