1259904619,column,column,column,column,1981462,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",impression,__impression_asus_gaming_pc_i0050,column,77133,1,httpscomfyuasistemnyjblokimpressionasusgamingpci0050html,88659,05112025_1913,column,__42,Фастів,0
1260511395,,,,,.1961188,Посуда >> Для напитков,wilmax,Чайник заварювальний Wilmax Thermo 1550 мл (WL-888806 / A),,629,1,https://comfy.ua/chajnik-zavarochnyj-wilmax-thermo-1550-ml-wl-888806-a.html,,05.11.2025 20:08,,"вул. Соборна, 42",Фастів,0
1260514388,,,,,1684212,Посуда >> Кухонные аксессуары,wmf,Набір ємностей для спецій і приправ WMF 634546040 2 пр. 15 см,,899,1,https://comfy.ua/nabor-emkostej-dlja-specij-i-priprav-wmf-634546040-2-pr-15-sm.html,1099,05.11.2025 18:52,,"вул. Соборна, 42",Фастів,0
1260519063,,,,,.1961159,Посуда >> Для сервировки,wilmax,Салатник Wilmax 13 см 180 мл (WL-992613 / A),,140,1,https://comfy.ua/salatnik-wilmax-13-sm-180-ml-wl-992613-a.html,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
1260520260,,,,,.1954943,Посуда >> Для сервировки,astera,Тарілка супова Astera Tropical Black 20 см (A0640-TB002),,76,1,https://comfy.ua/tarelka-supovaja-astera-tropical-black-20-sm-a0640-tb002.html,,05.11.2025 19:55,,"вул. Соборна, 42",Фастів,0
1260523589,,,,,.1954941,Посуда >> Для сервировки,astera,Тарілка супова Astera Japan Black 20 см (A0640-JB002),,179,1,https://comfy.ua/tarelka-supovaja-astera-japan-black-20-sm-a0640-jb002.html,,05.11.2025 19:01,,"вул. Соборна, 42",Фастів,0
1260523594,,,,,.1954938,Посуда >> Для сервировки,astera,Тарілка супова Astera Infinity Mint 20.5 см (A0440-HX-1208S),,76,1,https://comfy.ua/tarelka-supovaja-astera-infinity-mint-20-5-sm-a0440-hx-1208s.html,,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
1260523601,,,,,.1961160,Посуда >> Для сервировки,wilmax,Салатник Wilmax 21x14.5 см 120 мл (WL-992656 / A),,205,1,https://comfy.ua/salatnik-wilmax-21x14-5-sm-120-ml-wl-992656-a.html,,05.11.2025 19:05,,"вул. Соборна, 42",Фастів,0
1260523604,,,,,.1961167,Посуда >> Для сервировки,wilmax,Салатник Wilmax Spiral Lavander 14 см 600 мл (WL-669730 / A),,225,1,https://comfy.ua/salatnik-wilmax-spiral-lavander-14-sm-600-ml-wl-669730-a.html,,05.11.2025 19:53,,"вул. Соборна, 42",Фастів,0
1260523605,,,,,.1961171,Посуда >> Для сервировки,wilmax,Салатник Wilmax Spiral Red 14 см 600 мл (WL-669230 / A),,237,1,https://comfy.ua/salatnik-wilmax-spiral-red-14-sm-600-ml-wl-669230-a.html,,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
1260526862,,,,,.1951681,Посуда >> Для сервировки,wilmax,Тарілка десертна Wilmax Spiral Yellow 20.5 см (WL-669412 / A),,225,1,https://comfy.ua/tarelka-desertnaja-wilmax-spiral-yellow-20-5-sm-wl-669412-a.html,,05.11.2025 19:49,,"вул. Соборна, 42",Фастів,0
1260530184,,,,,.1951679,Посуда >> Для сервировки,wilmax,Тарілка обідня Wilmax Spiral Red 23 см (WL-669213 / A),,269,1,https://comfy.ua/tarelka-obedennaja-wilmax-spiral-red-23-sm-wl-669213-a.html,,05.11.2025 20:10,,"вул. Соборна, 42",Фастів,0
1260530186,,,,,.1951673,Посуда >> Для сервировки,wilmax,Тарілка обідня Wilmax Spiral Orange 23 см (WL-669313 / A),,269,1,https://comfy.ua/tarelka-obedennaja-wilmax-spiral-orange-23-sm-wl-669313-a.html,,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
1260530203,,,,,.1961161,Посуда >> Для сервировки,wilmax,Салатник Wilmax 27.5x18.5 см 360 мл (WL-992657 / A),,448,1,https://comfy.ua/salatnik-wilmax-27-5x18-5-sm-360-ml-wl-992657-a.html,,05.11.2025 20:04,,"вул. Соборна, 42",Фастів,0
1260542639,,,,,.1951674,Посуда >> Для сервировки,wilmax,Тарілка обідня Wilmax Spiral Orange 25.5 см (WL-669314 / A),,315,1,https://comfy.ua/tarelka-obedennaja-wilmax-spiral-orange-25-5-sm-wl-669314-a.html,,05.11.2025 19:50,,"вул. Соборна, 42",Фастів,0
1260542645,,,,,.1951680,Посуда >> Для сервировки,wilmax,Тарілка обідня Wilmax Spiral Red 25.5 см (WL-669214 / A),,315,1,https://comfy.ua/tarelka-obedennaja-wilmax-spiral-red-25-5-sm-wl-669214-a.html,,05.11.2025 20:22,,"вул. Соборна, 42",Фастів,0
1260542646,,,,,.1951640,Посуда >> Для сервировки,wilmax,Тарілка обідня бамбукова Wilmax Bamboo 25.5 см (WL-771034 / A),,545,1,https://comfy.ua/tarelka-obedennaja-wilmax-bamboo-25-5-sm-wl-771034-a.html,,05.11.2025 20:22,,"вул. Соборна, 42",Фастів,0
1260543021,,,,,1985589,Игровые консоли и гейминг >> Комплектующие для игровых ПК,1stplayer,Корпус 1stPlayer T3-4F1-BK Black без БЖ,,2199,1,https://comfy.ua/korpus-1stplayer-t3-4f1-bk-black-bez-bp.html,,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
1260543026,,,,,.1985608,Игровые консоли и гейминг >> Комплектующие для игровых ПК,frime,Корпус Frime Legion Black USB 3.0 без БЖ (Legion-U3-GLS-4DTRMLT16.6WP),,2499,1,https://comfy.ua/korpus-frime-legion-black-usb-3-0-bez-bzh-legion-u3-gls-4dtrmlt16-6wp.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
1260545140,,,,,.1985607,Игровые консоли и гейминг >> Комплектующие для игровых ПК,frime,Корпус Frime Nucleus Black USB 3.0 без БЖ (Nucleus-U3-GLS-4DTRMLT16.6WP),,2599,1,https://comfy.ua/korpus-frime-nucleus-black-usb-3-0-bez-bzh-nucleus-u3-gls-4dtrmlt16-6wp.html,,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
