1089814046,7051118,2E GAMING,Кресло 2E GAMING BUSHIDO II Black/Black (2E-GC-BUS-BK),7499,1907062,"Дом, отдых и зоотовары >> Мебель >> Кресла для геймеров и аксессуары >> Кресла для геймеров и аксессуары 2E",2e,Крісло для геймерів 2E Chair Bushido Black/Black (2E-GC-BUS-BK),,7499,1,https://comfy.ua/kreslo-dlja-gejmerov-2e-chair-bushido-black-black-2e-gc-bus-bk.html,,05.11.2025 20:14,,"вул. Соборна, 42",Фастів,0
1089814047,7051125,2E GAMING,Кресло 2E GAMING HIBAGON II Black/Red (2E-GC-HIB-BKRD),7999,1907069,"Дом, отдых и зоотовары >> Мебель >> Кресла для геймеров и аксессуары >> Кресла для геймеров и аксессуары 2E",2e,Крісло для геймерів 2E Hibagon Black/Red (2E-GC-HIB-BKRD),,7999,1,https://comfy.ua/kreslo-dlja-gejmerov-2e-hibagon-black-red-2e-gc-hib-bkrd.html,,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
1089816817,6774048,VALERA,Фен VALERA ePower 2020 eQ RC D,9490,1917655,Красота и здоровье >> Уход за волосами >> Фены >> Фены Valera,valera,Фен Valera ePower 2020 eQ RC D,,5245,1,https://comfy.ua/fen-valera-epower-2020-eq-rc-d.html,6169,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
1089817631,,,,,1870731,Посуда >> Для приготовления >> Сковороды >> Сковороды Gusto,gusto,Сковорода універсальна Gusto Xylan matte 20 x 3.5 cм (GT-2308-20),,200,1,https://comfy.ua/skovoroda-universal-naja-gusto-xylan-matte-20-x-3-5-cm-gt-2308-20.html,,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
1089817839,,,,,.1917642,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Чохол для смартфону Armorstandart Matte Slim Fit for Apple iPhone 13 Pro Max Black (ARM59927),,229,1,https://comfy.ua/chehol-dlja-smartfona-armorstandart-matte-slim-fit-for-apple-iphone-13-pro-max-black-arm59927.html,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
1089818013,,,,,1918628,Детские товары >> Творчество и развитие,lipaka,"Маса для ліплення Ліпака Набір пластиліну, що самостійно твердіє Кролик (30050-UA01)",,99,1,https://comfy.ua/catalog/product/view/id/3403263,145,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
1089818072,6788503,EMOS,"Удлинитель EMOS 5 розеток 1,5м 16А 3x1.5мм2 White (P1521R)",359,1913892,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Сетевые фильтры и удлинители >> Сетевые фильтры и удлинители EMOS",emos,"Подовжувач 220В EMOS P1521R, 5 розетки, 1,5 м.",,359,1,https://comfy.ua/setevoj-fil-tr-emos-p1521r.html,,05.11.2025 17:33,,"вул. Соборна, 42",Фастів,0
1089818144,,,,,.1911379,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,Чохол для смартфону BeCover ZTE Blade V30 Black (706943),,179,1,https://comfy.ua/chehol-dlja-smartfona-becover-zte-blade-v30-black-706943.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
1089818354,,,,,1918626,Детские товары >> Творчество и развитие,lipaka,"Маса для ліплення Ліпака Набір пластиліну, що самостійно твердіє Песик (30048-UA01)",,99,1,https://comfy.ua/catalog/product/view/id/3403213,145,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
1089913235,6861898,JANOD,Настольная игра JANOD Соревнования (J02639),527,1920083,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Janod,janod,Настільна гра (5-7 років) Janod Змагання J02639,,699,1,https://comfy.ua/nastol-naja-igra-razvivajuschaja-5-7-let-janod-sorevnovanija-j02639.html,,06.11.2025 0:23,,"вул. Соборна, 42",Фастів,0
