747297996,column,column,column,column,1683535,Посуда >> Для сервировки,wmf,___wmf_1289616046_geschenkidee___6_,column,3499,1,httpscomfyuanabornozhejstolovyhwmf1289616046geschenkideedljastejka6prhtml,column,05112025_1905,column,__42,Фастів,0
747320522,,,,,1684322,Посуда >> Для напитков,wmf,Графін WMF 617706590 Basic 1 л Gold,,2499,1,https://comfy.ua/catalog/product/view/id/1392993,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
747320548,,,,,1684046,Посуда >> Нарезка и измельчение,wmf,"Овочечистка WMF 1892536230 17,5 см",,539,1,https://comfy.ua/catalog/product/view/id/1381863,,05.11.2025 19:06,,"вул. Соборна, 42",Фастів,0
747320551,,,,,1684406,Посуда >> Для напитков,ardesto,Набір чашок з подвійними стінками Ardesto 300 мл 2 шт. (AR2630GHP),,279,1,https://comfy.ua/catalog/product/view/id/1375763,519,05.11.2025 18:58,,"вул. Соборна, 42",Фастів,4
747320552,,,,,1694573,Посуда >> Для запекания и выпечки,berghoff,Форма для приготування Berghoff 1697002 GEM 33.5х23.2х8 см,,1239,1,https://comfy.ua/forma-dlja-prigotovlenija-berghoff-1697002-gem-33-5h23-2h8-sm.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
747320556,,,,,1684319,Посуда >> Для напитков,wmf,Графін WMF 617706600 Basic 1 л Copper,,2499,1,https://comfy.ua/catalog/product/view/id/1392313,,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
747320557,,,,,1684325,Посуда >> Для напитков,wmf,"Графін WMF 617716040 BASIC 0,75 л",,1799,1,https://comfy.ua/catalog/product/view/id/1393093,2199,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
747320656,,,,,1684048,Посуда >> Нарезка и измельчение,wmf,Ножиці кухонні WMF 1883216030 23 см,,1299,1,https://comfy.ua/catalog/product/view/id/1381843,,05.11.2025 18:56,,"вул. Соборна, 42",Фастів,0
747320668,,,,,1668717,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",rapoo,Миша бездротова Rapoo M10 Plus Blue,,399,1,https://comfy.ua/mysh-besprovodnaja-rapoo-m10-plus-blue.html,,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,1
747348155,,,,,1682663,Посуда >> Нарезка и измельчение,wmf,Обробна дошка WMF 1886879990 38x25 см,,1199,1,https://comfy.ua/razdelochnaja-doska-wmf-1886879990-38x25-sm.html,,05.11.2025 18:52,,"вул. Соборна, 42",Фастів,0
747348156,,,,,1682664,Посуда >> Нарезка и измельчение,wmf,Обробна дошка WMF 1886889990 45x30 см,,1399,1,https://comfy.ua/razdelochnaja-doska-wmf-1886889990-45x30-sm.html,,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
747726640,6631335,TEFAL,Сковорода TEFAL Unlimited 26 см Black (G2550572),1899,1687020,Посуда >> Для приготовления >> Сковороды >> Сковороды Tefal,tefal,Сковорода універсальна Tefal G2550572 Unlimited 26 см,,1899,1,https://comfy.ua/skovoroda-universal-naja-tefal-g2550572-unlimited-26-sm.html,2429,05.11.2025 18:52,,"вул. Соборна, 42",Фастів,3
747726748,6631318,TEFAL,Сотейник с крышкой TEFAL Unlimited 26 см Black (G2557172),2999,1687029,Посуда >> Для приготовления >> Ковши и сотейники >> Ковши и сотейники Tefal,tefal,Сотейник Tefal G2557172 Unlimited 26 см з кр,,2999,1,https://comfy.ua/sotejnik-tefal-g2557172-unlimited-26-sm-s-kr.html,3799,05.11.2025 18:58,,"вул. Соборна, 42",Фастів,0
748197284,,,,,1684408,Посуда >> Для напитков,ardesto,Набір склянок з подвійними стінками Ardesto 250 мл 2 шт. (AR2625GP),,235,1,https://comfy.ua/nabor-stakanov-s-dvojnymi-stenkami-ardesto-250-ml-2-sht-ar2625gp.html,479,05.11.2025 18:58,,"вул. Соборна, 42",Фастів,2
748203518,6575706,ARDESTO,Мешок кондитерский ARDESTO Tasty Baking Violet (AR2307LP),95,1580633,Посуда >> Для запекания и выпечки >> Кондитерские принадлежности >> Кондитерские принадлежности Ardesto,ardesto,Кондитерський мішок Ardesto Tasty Baking Lilac (AR2307LP),,105,1,https://comfy.ua/konditerskij-meshok-ardesto-tasty-baking-lilac-ar2307lp.html,,05.11.2025 18:56,,"вул. Соборна, 42",Фастів,0
