1649723606,6949802,KELA,Полотенце KELA Svea (12796),299,2664870,"Дом, отдых и зоотовары >> Текстиль >> Полотенца >> Полотенца Kela",kela,Рушник кухонний Kela Svea Blue (12796),,299,1,https://comfy.ua/polotence-kuhonnoe-kela-svea-blue-12796.html,539,05.11.2025 19:49,,"вул. Соборна, 42",Фастів,0
1649723608,6949733,KELA,Полотенце кухонное KELA Tia 70 x 50 см Summer blue (12718),289,2565149,"Дом, отдых и зоотовары >> Текстиль >> Полотенца >> Полотенца Kela",kela,Рушник кухонний Kela Tia 70x50 см Summer Blue (12718),,289,1,https://comfy.ua/polotence-kuhonnoe-kela-tia-70x50-sm-summer-blue-12718.html,439,05.11.2025 19:51,,"вул. Соборна, 42",Фастів,0
1649723617,6949732,KELA,Полотенце кухонное KELA Tia 70 x 50 см Mint green (12713),289,2565148,"Дом, отдых и зоотовары >> Текстиль >> Полотенца >> Полотенца Kela",kela,Рушник кухонний Kela Tia 70x50 см Mint/Green (12713),,289,1,https://comfy.ua/polotence-kuhonnoe-kela-tia-70x50-sm-mint-green-12713.html,439,05.11.2025 19:51,,"вул. Соборна, 42",Фастів,0
1649723622,6949731,KELA,Полотенце кухонное KELA Tia 70 x 50 см Grey (12708),289,2565147,"Дом, отдых и зоотовары >> Текстиль >> Полотенца >> Полотенца Kela",kela,Рушник кухонний Kela Tia 70x50 см Gray (12708),,289,1,https://comfy.ua/polotence-kuhonnoe-kela-tia-70x50-sm-gray-12708.html,439,05.11.2025 19:51,,"вул. Соборна, 42",Фастів,0
1649748404,,,,,2809937,"Инструменты и автотовары >> Ручные инструменты >> Ножовки, пилы и полотна >> Ножовки, пилы и полотна Total",total,Ножівка Total 300 мм (THT59126B),,275,1,https://comfy.ua/nozhovka-total-300-mm-tht59126b.html,,05.11.2025 21:15,,"вул. Соборна, 42",Фастів,0
1649748618,6948681,LORGAR,Гарнитура LORGAR Kaya 460 Gaming RGB USB Black (LRG-GHS460),2199,2819114,"Аудио, фото и видео >> Наушники >> Наушники Lorgar",lorgar,Гарнітура дротова ігрова Lorgar Kaya 460 Gaming RGB USB Black (LRG-GHS460),,1919,1,https://comfy.ua/garnitura-provodnaja-igrovaja-lorgar-kaya-460-gaming-rgb-usb-black-lrg-ghs460.html,,05.11.2025 19:01,,"вул. Соборна, 42",Фастів,0
1649749269,,,,,2809938,"Инструменты и автотовары >> Ручные инструменты >> Ножовки, пилы и полотна >> Ножовки, пилы и полотна Total",total,Ножівка Total 600 мм (THTLCS1241),,695,1,https://comfy.ua/nozhovka-total-600-mm-thtlcs1241.html,,05.11.2025 21:16,,"вул. Соборна, 42",Фастів,0
1649750074,,,,,2812824,"Техника для дома >> Умный дом >> Датчики температуры, влажности >> Датчики температуры, влажности Ajax",ajax,Бездротовий датчик температури Ajax FireProtect 2 SB Heat CO (000035056),,3999,1,https://comfy.ua/besprovodnoj-datchik-temperatury-ajax-fireprotect-2-sb-heat-co-000035056.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1649755643,,,,,.2818193,Посуда >> Для приготовления,gusto,"Каструля Gusto Пелюстки ночі 3,1 л GT-T-118-LN",,752,1,https://comfy.ua/kastrjulja-gusto-lepestki-nochi-3-1-l-gt-t-118-ln.html,,05.11.2025 20:09,,"вул. Соборна, 42",Фастів,0
1649756324,6949096,CANYON,Смарт-часы CANYON Maveric SW-83 GPS Silver (CNS-SW83SS),2999,2820734,Смарт-часы и гаджеты >> Смарт-часы >> Смарт-часы Canyon,canyon,Смарт-годинник Canyon Maveric SW-83 GPS Silver (CNS-SW83SS),,2999,1,https://comfy.ua/smart-chasy-canyon-maveric-sw-83-gps-silver-cns-sw83ss.html,,05.11.2025 18:24,,"вул. Соборна, 42",Фастів,0
1649756325,6949095,CANYON,Смарт-часы CANYON Maveric SW-83 GPS Black (CNS-SW83BB),2999,2820733,Смарт-часы и гаджеты >> Смарт-часы >> Смарт-часы Canyon,canyon,Смарт-годинник Canyon Maveric SW-83 GPS Black (CNS-SW83BB),,2999,1,https://comfy.ua/smart-chasy-canyon-maveric-sw-83-gps-black-cns-sw83bb.html,,05.11.2025 18:24,,"вул. Соборна, 42",Фастів,0
