745556347,column,column,column,column,1686316,"Аудио, фото и видео >> Наушники по типу",sennheiser,bluetooth_sennheiser_sp_30_,column,11339,1,httpscomfyuabluetoothspikerfonsennheisersp30thtml,column,05112025_1810,column,__42,Фастів,0
745918142,6654121,ROTEX,Электрочайник ROTEX RKT64-XXL,649,1688924,Техника для кухни >> Мелкая техника,rotex,Електричний чайник Rotex RKT64-XXL,,649,1,https://comfy.ua/catalog/product/view/id/1407123/s/jelektricheskij-chajnik-rotex-rkt64-xxl,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
745922230,,,,,.1680666,Смартфоны и телефоны >> Аксессуары для смартфонов,makefuture,Захисне скло для смартфону MakeFuture Full Cover Full Glue Apple iPhone 12 Pro Max (MGF-AI12PM),,225,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-makefuture-full-cover-full-glue-apple-iphone-12-pro-max-mgf-ai12pm.html,,05.11.2025 17:40,,"вул. Соборна, 42",Фастів,0
745922309,,,,,1685398,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tescoma,tescoma,Ніж кухонний tescoma 862046 Sonic 18 см,,449,1,https://comfy.ua/nozh-kuhonnyj-tescoma-862046-sonic-18-sm.html,,05.11.2025 20:08,,"вул. Соборна, 42",Фастів,0
745922311,,,,,1689784,Посуда >> Для хранения >> Емкости для сыпучих >> Емкости для сыпучих Tescoma,tescoma,Ємність для сипучих tescoma 896952 4Food 1.5 л,,499,1,https://comfy.ua/emkost-dlja-sypuchih-tescoma-896952-4food-1-5-l.html,,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
745951626,,,,,1685403,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tescoma,tescoma,Ніж для м'яса tescoma 862038 Sonic 18 см,,449,1,https://comfy.ua/nozh-dlja-mjasa-tescoma-862038-sonic-18-sm.html,,05.11.2025 19:54,,"вул. Соборна, 42",Фастів,0
745951679,6584518,TRAMONTINA,Ложка поварская TRAMONTINA Ability (25156/160),121,1659508,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Tramontina,tramontina,Ложка кухарська Tramontina Ability (25156/160),,139,1,https://comfy.ua/lozhka-povarskaja-tramontina-ability-25156-160.html,,05.11.2025 19:53,,"вул. Соборна, 42",Фастів,0
745951680,7165791,SOLA,Ложка десертная SOLA 18.2см (11FLEU012),165,1617911,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Sola,sola,Ложка десертна Sola 18.2 см 11FLEU012,,165,1,https://comfy.ua/lozhka-desertnaja-sola-18-2-sm-11fleu012.html,,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
745951681,7165806,SOLA,Вилка десертная SOLA Florence 18.4см (11FLOR022),178,1617924,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Sola,sola,Виделка десертна Sola 18.4 см 11FLOR022,,178,1,https://comfy.ua/vilka-desertnaja-sola-18-4-sm-11flor022.html,,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
745953269,,,,,1685669,Посуда >> Нарезка и измельчение,tescoma,Ножиці кухонні tescoma 888425 Cosmo 22 см,,449,1,https://comfy.ua/nozhnicy-kuhonnye-tescoma-888425-cosmo-22-sm.html,,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
745953271,,,,,1685399,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tescoma,tescoma,Ніж кухонний tescoma 881203 Precioso 9 см,,449,1,https://comfy.ua/nozh-kuhonnyj-tescoma-881203-precioso-9-sm.html,,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
745953340,,,,,1685343,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tescoma,tescoma,Ніж кухонний tescoma 880528 Home Profi 14 см,,559,1,https://comfy.ua/nozh-kuhonnyj-tescoma-880528-home-profi-14-sm.html,,05.11.2025 19:57,,"вул. Соборна, 42",Фастів,0
745953349,7165805,SOLA,Ложка десертная SOLA Florence 17.5см (11FLOR012),178,1617922,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Sola,sola,Ложка десертна Sola 17.5 см 11FLOR012,,178,1,https://comfy.ua/lozhka-desertnaja-sola-17-5-sm-11flor012.html,,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
745953350,,,,,1685849,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Tescoma,tescoma,Ложка дитяча tescoma 668062 Bambini 3 шт.,,159,1,https://comfy.ua/lozhka-detskaja-tescoma-668062-bambini-3-sht.html,,05.11.2025 20:03,,"вул. Соборна, 42",Фастів,0
745953351,7165793,SOLA,Вилка для рыбы SOLA 18.3см (11FLEU024),182,1617914,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Sola,sola,Виделка столова Sola 18.3 см 11FLEU024,,182,1,https://comfy.ua/vilka-stolovaja-sola-18-3-sm-11fleu024.html,,05.11.2025 20:16,,"вул. Соборна, 42",Фастів,0
745953352,7165790,SOLA,Ложка столовая SOLA 20.9см (11FLEU011),185,1617910,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Sola,sola,Ложка столова Sola 20.9 см 11FLEU011,,186,1,https://comfy.ua/lozhka-stolovaja-sola-20-9-sm-11fleu011.html,,05.11.2025 20:00,,"вул. Соборна, 42",Фастів,0
745953353,,,,,1685850,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Tescoma,tescoma,Ложка дитяча tescoma 668066 Bambini 3 шт.,,199,1,https://comfy.ua/lozhka-detskaja-tescoma-668066-bambini-3-sht.html,,05.11.2025 20:14,,"вул. Соборна, 42",Фастів,0
745953361,,,,,1685400,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tescoma,tescoma,Ніж кухонний tescoma 881205 Precioso 13 см,,549,1,https://comfy.ua/nozh-kuhonnyj-tescoma-881205-precioso-13-sm.html,,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
