1067414831,6893159,PERFELLI,Вытяжка PERFELLI TL 5316 WH 700 LED,3299,1880087,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка вбудована Perfelli TL 5316 WH 700 LED,,3559,1,https://comfy.ua/vytjazhka-vstraivaemaja-perfelli-tl-5316-wh-700-led.html,3999,05.11.2025 19:05,,"вул. Соборна, 42",Фастів,0
1067415432,,,,,.1890937,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",2e,"""Захисне скло для планшета 2E for Lenovo Tab P11 11"""" (2021) 2.5D Clear (2E-LN-TABP11-LT25D-CL)""",,349,1,https://comfy.ua/zaschitnoe-steklo-dlja-plansheta-2e-for-lenovo-tab-p11-11-2021-2-5d-clear-2e-ln-tabp11-lt25d-cl.html,,05.11.2025 22:08,,"вул. Соборна, 42",Фастів,0
1067416570,,,,,1856434,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tescoma,tescoma,Набір ножів tescoma 884850 Feelwood 5 шт.,,8999,1,https://comfy.ua/nabor-nozhej-tescoma-884850-feelwood-5-sht.html,,05.11.2025 19:45,,"вул. Соборна, 42",Фастів,0
1067417176,,,,,1892270,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",xoko,Перехідник XOKO AC-230 Type-C - USB White 2 шт. (XK-AC230-WH2),,149,1,https://comfy.ua/perehodnik-xoko-ac-230-type-c-usb-white-2-sht-xk-ac230-wh2.html,,05.11.2025 21:31,,"вул. Соборна, 42",Фастів,0
1067417222,,,,,1879903,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Точки доступа >> Точки доступа MikroTik",mikrotik,Точка доступу MikroTik RBcAPGi-5acD2nD-XL,,3799,1,https://comfy.ua/tochka-dostupa-mikrotik-rbcapgi-5acd2nd-xl.html,,05.11.2025 17:29,,"вул. Соборна, 42",Фастів,0
1067423854,,,,,1883628,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Маршрутизаторы интернет >> Маршрутизаторы интернет Mercusys",mercusys,MESH система WiFi5 Mercusys Halo H30G (2-pack),,2399,1,https://comfy.ua/mesh-sistema-wifi5-mercusys-halo-h30g-2-pack.html,,05.11.2025 17:28,,"вул. Соборна, 42",Фастів,0
1067469943,,,,,.1890579,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",voltronic,Хаб USB Voltronic USB3.0 4хUSB3.0 Black (YT-3HF4/2TB/08645),,445,1,https://comfy.ua/hab-usb-voltronic-usb3-0-4husb3-0-black-yt-3hf4-2tb-08645.html,,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
1067510537,,,,,.1890548,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",verbatim,Флеш USB Verbatim 32GB Store 'n' Click USB 3.2 (49307),,239,1,https://comfy.ua/flesh-usb-verbatim-32gb-store-n-click-usb-3-2-49307.html,,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
1067512495,,,,,1892322,Техника для дома >> Аксессуары к мелкой технике >> Аксессуары и комплектующие для пылесосов >> Аксессуары и комплектующие для пылесосов Electrolux,electrolux,Набір фільтрів для пилососу Electrolux ESKW1,,669,1,https://comfy.ua/nabor-fil-trov-dlja-pylesosa-electrolux-eskw1.html,,05.11.2025 18:05,,"вул. Соборна, 42",Фастів,0
1067539188,6742890,GRUNHELM,Конвектор GRUNHELM GC-2000A,999,1888771,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели Grunhelm,grunhelm,Конвектор Grunhelm GC-2000A,,999,1,https://comfy.ua/konvektor-grunhelm-gc-2000a.html,,05.11.2025 17:39,,"вул. Соборна, 42",Фастів,0
1067547623,,,,,1885876,Бытовая химия >> Средства для посудомоечных машин >> Таблетки для мытья посуды >> Таблетки для мытья посуды Sodasan,sodasan,Таблетка для посудомийної машини Sodasan органічні 25 шт. (4019886024280),,425,1,https://comfy.ua/tabletka-dlja-posudomoechnoj-mashiny-sodasan-organicheskie-25-sht-4019886024280.html,,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
