1238784055,,,,,.1965359,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 12400F RX 6600 8GB 1611 (i512400FRX66008GB1611),,34239,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-12400f-rx-6600-8gb-1611-i512400frx66008gb1611.html,39355,05.11.2025 21:31,,"вул. Соборна, 42",Фастів,0
1238784056,,,,,.1967925,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 3600 RTX 3050 8GB 3241 (Ryzen53600RTX30508GB3241),,31206,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-3600-rtx-3050-8gb-3241-ryzen53600rtx30508gb3241.html,35869,05.11.2025 21:30,,"вул. Соборна, 42",Фастів,0
1238784060,,,,,.1967921,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 3600 RTX 3050 8GB 3210 (Ryzen53600RTX30508GB3210),,29819,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-3600-rtx-3050-8gb-3210-ryzen53600rtx30508gb3210.html,34275,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
1238794428,,,,,.1963103,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i3 12100F RTX 3050 8GB 1621Win (i312100FRTX30508GB1621Win),,35370,1,https://comfy.ua/sistemnyj-blok-qube-qb-i3-12100f-rtx-3050-8gb-1621win-i312100frtx30508gb1621win.html,40655,05.11.2025 19:01,,"вул. Соборна, 42",Фастів,0
1238794432,,,,,.1965280,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 12400F RTX 3050 8GB 3221 (i512400FRTX30508GB3221),,34456,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-12400f-rtx-3050-8gb-3221-i512400frtx30508gb3221.html,39605,05.11.2025 21:31,,"вул. Соборна, 42",Фастів,0
1238794437,,,,,.1965361,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 12400F RX 6600 8GB 1621 (i512400FRX66008GB1621),,34456,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-12400f-rx-6600-8gb-1621-i512400frx66008gb1621.html,39605,05.11.2025 21:31,,"вул. Соборна, 42",Фастів,0
1238794546,,,,,.1965368,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 12400F RX 6600 8GB 322 (i512400FRX66008GB322),,33981,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-12400f-rx-6600-8gb-322-i512400frx66008gb322.html,39059,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
1238794602,,,,,.1965363,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 12400F RX 6600 8GB 1622 (i512400FRX66008GB1622),,34935,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-12400f-rx-6600-8gb-1622-i512400frx66008gb1622.html,40155,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
1238794634,,,,,.1965282,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 12400F RTX 3050 8GB 3241 (i512400FRTX30508GB3241),,35626,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-12400f-rtx-3050-8gb-3241-i512400frtx30508gb3241.html,40949,05.11.2025 20:25,,"вул. Соборна, 42",Фастів,0
1238861601,,,,,.1965365,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 12400F RX 6600 8GB 1641 (i512400FRX66008GB1641),,35626,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-12400f-rx-6600-8gb-1641-i512400frx66008gb1641.html,40949,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
1238861613,,,,,.1967916,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 3600 RTX 3050 8GB 1621Win (Ryzen53600RTX30508GB1621Win),,32850,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-3600-rtx-3050-8gb-1621win-ryzen53600rtx30508gb1621win.html,37759,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
1238861663,,,,,.1965278,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 12400F RTX 3050 8GB 3210 (i512400FRTX30508GB3210),,34239,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-12400f-rtx-3050-8gb-3210-i512400frtx30508gb3210.html,39355,05.11.2025 21:31,,"вул. Соборна, 42",Фастів,0
1238861669,,,,,.1965358,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 12400F RX 6600 8GB 1610 (i512400FRX66008GB1610),,34239,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-12400f-rx-6600-8gb-1610-i512400frx66008gb1610.html,39355,05.11.2025 17:20,,"вул. Соборна, 42",Фастів,0
1238861731,,,,,.1965370,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 12400F RX 6600 8GB 324 (i512400FRX66008GB324),,35152,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-12400f-rx-6600-8gb-324-i512400frx66008gb324.html,40405,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
1238861872,,,,,.1965366,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 12400F RX 6600 8GB 1642 (i512400FRX66008GB1642),,35848,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-12400f-rx-6600-8gb-1642-i512400frx66008gb1642.html,41205,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
