755986036,column,column,column,column,1700595,Детские товары >> Игрушки,funrise,___funrise______82269,column,1999,1,httpscomfyuanazemnajastroitelnajatehnikafunrisecementovozsosvetomizvukom82269html,column,06112025_132,column,__42,Фастів,0
755999786,,,,,1696083,Техника для кухни >> Мир кофе,tescoma,Кавомолка tescoma 428802 GrandChef,,1999,1,https://comfy.ua/kofemolka-tescoma-428802-grandchef.html,,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,0
755999805,6907323,FIRST,Кофемолка FIRST FA-5482-2-CR,759,1709438,Техника для кухни >> Мир кофе >> Кофемолки >> Кофемолки First,first,Кавомолка First FA-5482-2-CR,,655,1,https://comfy.ua/kofemolka-first-fa-5482-2-cr.html,,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
756000027,6643070,GIMI,Сушилка для белья GIMI Genio 20 м (157185),2799,1714392,"Дом, отдых и зоотовары >> Хранение и уход за одеждой >> Сушилки для вещей >> Сушилки для вещей Gimi",gimi,Сушарка для білизни GIMI Genio 20 м (157185),,2799,1,https://comfy.ua/sushilka-dlja-bel-ja-gimi-genio-20-m-157185.html,,05.11.2025 20:01,,"вул. Соборна, 42",Фастів,0
756000129,,,,,.1714396,"Дом, отдых и зоотовары >> Хранение и уход за одеждой",gimi,Сушарка для білизни GIMI Mito 20 м,,2599,1,https://comfy.ua/sushilka-dlja-bel-ja-gimi-mito-20-m.html,,05.11.2025 20:00,,"вул. Соборна, 42",Фастів,0
756000131,6643067,GIMI,Сушилка для белья GIMI Rialto 18 м (157181),1949,1714398,"Дом, отдых и зоотовары >> Хранение и уход за одеждой >> Сушилки для вещей >> Сушилки для вещей Gimi",gimi,Сушарка для білизни GIMI Rialto 18 м (157181),,1949,1,https://comfy.ua/sushilka-dlja-bel-ja-gimi-rialto-18-m-157181.html,,05.11.2025 20:01,,"вул. Соборна, 42",Фастів,0
756000342,,,,,.1690959,"Аудио, фото и видео >> Наушники",asus,Гарнітура дротова ігрова Asus ROG Strix Go USB Type-C Black,,4799,1,https://comfy.ua/garnitura-provodnaja-igrovaja-asus-rog-strix-go-usb-type-c-black.html,,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
756000354,6629572,FUJI,Фотоаппарат FUJI Instax Square SQ 1 EX D Terracotta Orange (16672130),5719,1716673,"Аудио, фото и видео >> Фотокамеры >> Фотоаппараты >> Фотоаппараты Fujifilm",fujifilm,Фотокамера миттєвого друку Fujifilm INSTAX SQ 1 Terracotta Orange (16672130),,6119,1,https://comfy.ua/fotokamera-momental-noj-pechati-fujifilm-instax-sq-1-terracotta-orange-16672130.html,,05.11.2025 18:18,,"вул. Соборна, 42",Фастів,0
756000356,6629576,FUJI,Фотоаппарат FUJI Instax Square SQ 1 EX D Glacier Blue (16672142),5509,1716676,"Аудио, фото и видео >> Фотокамеры",fujifilm,Фотокамера миттєвого друку Fujifilm INSTAX SQ 1 Glacier Blue (16672142),,6119,1,https://comfy.ua/catalog/product/view/id/1761073,,05.11.2025 18:18,,"вул. Соборна, 42",Фастів,0
756000407,6664041,WIZ,Светодиодная лента WIZ Strip Colors &Tunable Whites Starter Kit 2m (9290025248),835,1692668,"Дом, отдых и зоотовары >> Освещение >> Светильники >> Светильники WiZ",wiz,Світлодіодна стрічка WiZ LED Strip Colors & Tunable Whites Starter Kit 2m (9290025248),,835,1,https://comfy.ua/svetodiodnaja-lenta-wiz-led-strip-colors-tunable-whites-starter-kit-2m-9290025248.html,,05.11.2025 19:57,,"вул. Соборна, 42",Фастів,0
756000879,6996084,HOLMER,Кофеварка HOLMER HCM-105,2229,1708406,Техника для кухни >> Мир кофе >> Кофеварки эспрессо >> Кофеварки эспрессо Holmer,holmer,Кавоварка ріжкова Holmer HCM-105,,2229,1,https://comfy.ua/kofevarka-rozhkovaja-holmer-hcm-105.html,,05.11.2025 17:29,,"вул. Соборна, 42",Фастів,0
756003010,,,,,.1694457,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",airon,Чохол для електронної книги AIRON Premium for PocketBook 606/628/633 City (4821784622176),,389,1,https://comfy.ua/chehol-dlja-jelektronnoj-knigi-airon-premium-for-pocketbook-606-628-633-city-4821784622176.html,,05.11.2025 22:14,,"вул. Соборна, 42",Фастів,0
756003012,,,,,.1694461,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",airon,Чохол для електронної книги AIRON Premium for PocketBook 606/628/633 Dark Blue (4821784622174),,329,1,https://comfy.ua/chehol-dlja-jelektronnoj-knigi-airon-premium-for-pocketbook-606-628-633-dark-blue-4821784622174.html,,05.11.2025 21:34,,"вул. Соборна, 42",Фастів,0
756003052,,,,,.1694460,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",airon,Чохол для електронної книги AIRON Premium for PocketBook 606/628/633 Don't Touch (4821784622175),,349,1,https://comfy.ua/chehol-dlja-jelektronnoj-knigi-airon-premium-for-pocketbook-606-628-633-don-t-touch-4821784622175.html,,05.11.2025 19:48,,"вул. Соборна, 42",Фастів,0
756003054,,,,,.1693849,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",airon,Чохол для електронної книги AIRON Premium for PocketBook 616/627/632 Almond (6946795850187),,389,1,https://comfy.ua/chehol-dlja-jelektronnoj-knigi-airon-premium-for-pocketbook-616-627-632-almond-6946795850187.html,,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
756003055,,,,,.1694458,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",airon,Чохол для електронної книги AIRON Premium for PocketBook 606/628/633 Paris (4821784622177),,349,1,https://comfy.ua/chehol-dlja-jelektronnoj-knigi-airon-premium-for-pocketbook-606-628-633-paris-4821784622177.html,,05.11.2025 21:58,,"вул. Соборна, 42",Фастів,0
756007753,,,,,1704542,"Дом, отдых и зоотовары >> Мебель >> Стулья и табуреты >> Стулья и табуреты GT Racer",gt-racer,Стілець кухоний GT Racer X-D27 Fabric Brown,,1299,1,https://comfy.ua/stul-kuhonnyj-gt-racer-x-d27-fabric-brown.html,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
756007755,,,,,1704540,"Дом, отдых и зоотовары >> Мебель >> Стулья и табуреты >> Стулья и табуреты GT Racer",gt-racer,Стілець кухоний GT Racer X-D27 Fabric Black,,1299,1,https://comfy.ua/stul-kuhonnyj-gt-racer-x-d27-fabric-black.html,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
756007756,,,,,1704538,Дом и отдых >> Мебель >> Стулья и табуреты >> Стулья и табуреты GT Racer,gt-racer,Стілець кухоний GT Racer X-D27 Black,,1299,1,https://comfy.ua/stul-kuhonnyj-gt-racer-x-d27-black.html,,05.11.2025 19:53,,"вул. Соборна, 42",Фастів,0
756007796,,,,,.1720398,Детские товары >> Игрушки,sigikid,М'яка іграшка Sigikid Beasts Сова 26 см (39314SK),,1999,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-sigikid-beasts-sova-26-sm-39314sk.html,,06.11.2025 1:38,,"вул. Соборна, 42",Фастів,0
