773379503,column,column,column,column,1689206,Посуда >> Кухонные аксессуары,tescoma,______tescoma_650314_club,column,349,1,httpscomfyuanaboremkostejdljaspecijipripravtescoma650314clubhtml,column,05112025_1941,column,__42,Фастів,0
773382113,6542790,FIRST,Бутербродница FIRST FA-5337-6,704,1589515,Техника для кухни >> Мелкая техника >> Бутербродницы >> Бутербродницы First,first,Бутербродниця First 5337-6 (FA-5337-6),,705,1,https://comfy.ua/buterbrodnica-first-fa-5337-6.html,,05.11.2025 20:01,,"вул. Соборна, 42",Фастів,0
773382114,6630953,ECG,Бутербродница ECG S 169,912,1716933,Техника для кухни >> Мелкая техника >> Бутербродницы >> Бутербродницы ECG,ecg,Бутербродниця ECG S 169,,915,1,https://comfy.ua/buterbrodnica-ecg-s-169.html,,05.11.2025 19:53,,"вул. Соборна, 42",Фастів,0
773382115,6571185,ADLER,Бутербродница ADLER AD 301,679,1688626,Техника для кухни >> Мелкая техника >> Бутербродницы >> Бутербродницы Adler,adler,Бутербродниця Adler AD 301,,679,1,https://comfy.ua/buterbrodnica-adler-ad-301.html,,05.11.2025 19:56,,"вул. Соборна, 42",Фастів,0
773382231,,,,,1684213,Посуда >> Кухонные аксессуары,wmf,Набір ємностей для спецій і приправ WMF 661586040 DEPOT 4 пр.,,2099,1,https://comfy.ua/nabor-emkostej-dlja-specij-i-priprav-wmf-661586040-depot-4-pr.html,,05.11.2025 18:56,,"вул. Соборна, 42",Фастів,0
773382234,7088276,JOSEPH JOSEPH,Набор мельниц для соли и перца JOSEPH JOSEPH Milltop Blue (20157),4325,1694255,Посуда >> Кухонные аксессуары >> Посуда для специй >> Посуда для специй Joseph Joseph,joseph-joseph,Набір млинків для спецій Joseph Joseph 2 шт. 20157,,3665,1,https://comfy.ua/nabor-mel-nic-dlja-specij-joseph-joseph-2-sht-20157.html,,05.11.2025 19:34,,"вул. Соборна, 42",Фастів,0
773382235,7088082,PEUGEOT,Мельница для соли PEUGEOT Bistro 10 см (38229),2772,1657277,Посуда >> Кухонные аксессуары >> Посуда для специй >> Посуда для специй Peugeot,peugeot,Млинок для спецій Peugeot 10 см 38229,,3355,1,https://comfy.ua/mel-nica-dlja-specij-peugeot-10-sm-38229.html,,05.11.2025 19:50,,"вул. Соборна, 42",Фастів,0
773382236,,,,,1683763,Посуда >> Кухонные аксессуары,wmf,"Прес для часнику WMF 1872916030 PROFI PLUS 17,5 см",,2499,1,https://comfy.ua/press-dlja-chesnoka-wmf-1872916030-profi-plus-17-5-sm.html,,05.11.2025 19:00,,"вул. Соборна, 42",Фастів,0
773382238,,,,,1684205,Посуда >> Кухонные аксессуары,wmf,"Набір млинків для спецій WMF 652314500 Ceramill Nature 13,8 см",,2999,1,https://comfy.ua/nabor-mel-nic-dlja-specij-wmf-652314500-ceramill-nature-13-8-sm.html,,05.11.2025 18:57,,"вул. Соборна, 42",Фастів,0
773382239,6705189,GEFU,Набор измельчителей для перца чили Gefu X-Plosion на подставке (34641),4313,1713585,Посуда >> Кухонные аксессуары >> Посуда для специй >> Посуда для специй Gefu,gefu,Набір ємностей для спецій і приправ Gefu X-PLOSION (34641),,4568,1,https://comfy.ua/nabor-emkostej-dlja-specij-i-priprav-gefu-x-plosion-34641.html,,05.11.2025 19:38,,"вул. Соборна, 42",Фастів,0
773382240,,,,,1684208,Посуда >> Кухонные аксессуары,wmf,Млинок для спецій WMF 667346030 CERAMILL,,3499,1,https://comfy.ua/mel-nica-dlja-specij-wmf-667346030-ceramill.html,,05.11.2025 18:59,,"вул. Соборна, 42",Фастів,0
