1018295053,column,column,column,column,1857918,____________________digitus,digitus,__digitus_cat_6a_sftp_awg_267_dk1644a010,column,109,1,httpscomfyuakabelpatchkorddigituscat6asftpawg267dk1644a010html,column,05112025_1922,column,__42,Фастів,0
1019133380,,,,,1857174,Инструменты и автотовары >> Электроинструменты,total,Болгарка Total TG109125565,,1895,1,https://comfy.ua/catalog/product/view/id/2949113,,05.11.2025 21:33,,"вул. Соборна, 42",Фастів,0
1019142382,,,,,1856136,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Super Puper,super-puper,Настільна гра (5-7 років) Super Puper на асоціації «Matchify» Professions (Професії) (MATCH9000E),,299,1,https://comfy.ua/nastol-naja-igra-kartochnaja-5-7-let-super-puper-na-associacii-matchify-professions-professii-match9000e.html,419,06.11.2025 0:46,,"вул. Соборна, 42",Фастів,0
1019142941,,,,,1741240,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,"Настільна гра (5-7 років) Strateg Ерудит, укр (870)",,129,1,https://comfy.ua/nastol-naja-igra-razvivajuschaja-5-7-let-strateg-jerudit-ukr-870.html,,06.11.2025 0:39,,"вул. Соборна, 42",Фастів,0
1019145652,,,,,1856450,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",2e,PoE-адаптер 2E 2E-PSE801G,,455,1,https://comfy.ua/catalog/product/view/id/2948583,,05.11.2025 18:02,,"вул. Соборна, 42",Фастів,0
1019226398,,,,,1848541,Красота и здоровье >> Уход за волосами,enchen,Машинка для стрижки волосся Enchen Sharp 3S,,519,1,https://comfy.ua/catalog/product/view/id/2949103,,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
1019230173,,,,,.1817931,Техника для дома >> Климатическая техника,mitsubishi-electric,Кондиціонер спліт Mitsubishi Electric MSZ-LN25VG2W\MUZ-LN25VG2 Pearl White,,69589,1,https://comfy.ua/kondicioner-split-mitsubishi-electric-msz-ln25vg2w-muz-ln25vg2.html,,05.11.2025 18:30,,"вул. Соборна, 42",Фастів,0
1019230174,,,,,1745157,Техника для дома >> Климатическая техника,mitsubishi-electric,Кондиціонер спліт Mitsubishi Electric MSZ-EF35VGKW\MUZ-EF35VG,,82485,1,https://comfy.ua/kondicioner-split-mitsubishi-electric-msz-ef35vgkw-muz-ef35vg.html,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
1019236671,,,,,1855602,Смарт-часы и гаджеты >> Аксессуары,gopro,Монопод для екшн-камери GoPro Max (ASBHM-002),,3299,1,https://comfy.ua/catalog/product/view/id/2949613,,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
1019559002,6742414,GUSTO,Сковорода GUSTO XYLAN Matte GT-2308-24 24 cм Black (112200),249,1855483,Посуда >> Для приготовления >> Сковороды >> Сковороды Gusto,gusto,Сковорода універсальна Gusto Xylan matte 24 x 4.0 cм (GT-2308-24),,249,1,https://comfy.ua/skovoroda-universal-naja-gusto-xylan-matte-24-x-4-0-cm-gt-2308-24.html,406,05.11.2025 18:55,,"вул. Соборна, 42",Фастів,3
1019559004,,,,,1855484,Посуда >> Для приготовления >> Сковороды >> Сковороды Gusto,gusto,Сковорода універсальна Gusto Xylan matte 26 x 4.3 cм (GT-2308-26),,303,1,https://comfy.ua/skovoroda-universal-naja-gusto-xylan-matte-26-x-4-3-cm-gt-2308-26.html,,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
1019559012,6742416,GUSTO,Сковорода GUSTO XYLAN Matte GT-2308-28 28 cм Black (112202),449,1855485,Посуда >> Для приготовления >> Сковороды >> Сковороды Gusto,gusto,Сковорода універсальна Gusto Xylan matte 28 x 4.5 cм (GT-2308-28),,449,1,https://comfy.ua/skovoroda-universal-naja-gusto-xylan-matte-28-x-4-5-cm-gt-2308-28.html,,05.11.2025 21:02,,"вул. Соборна, 42",Фастів,0
1019573328,6481822,ARTEL,Электропечь ARTEL MD 3618 E BLACK-RED,3499,1859013,Техника для кухни >> Крупная техника >> Электрические печи >> Электрические печи ARTEL,artel,Піч електрична ARTEL MD 3618 E Red-Black,,3499,1,https://comfy.ua/pech-jelektricheskaja-artel-md-3618-e-red-black.html,,05.11.2025 20:50,,"вул. Соборна, 42",Фастів,0
1019573369,6739652,ARTEL,Электропечь ARTEL MD 3618 L Red Black,4259,1859019,Техника для кухни >> Крупная техника >> Электрические печи >> Электрические печи ARTEL,artel,Піч електрична ARTEL MD 3618 L Red-Black,,4259,1,https://comfy.ua/pech-jelektricheskaja-artel-md-3618-l-red-black.html,,05.11.2025 20:45,,"вул. Соборна, 42",Фастів,0
1019724735,,,,,1859114,Техника для дома >> Крупная техника,artel,Пральна машина ARTEL ART TE 60 Red,,7499,1,https://comfy.ua/catalog/product/view/id/2972693,,05.11.2025 18:14,,"вул. Соборна, 42",Фастів,0
1019737940,6773811,ELECTROLUX,Встраиваемая посудомоечная машина ELECTROLUX EEA917120L,15575,1837183,Техника для кухни >> Крупная техника >> Посудомоечные машины >> Посудомоечные машины Electrolux,electrolux,Посудомийна машина вбудована Electrolux EEA917120L,,15575,1,https://comfy.ua/posudomoechnaja-mashina-vstraivaemaja-electrolux-eea917120l.html,,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
1019741519,6921031,EMOS,Разветвитель EMOS 2 розетки 16A White (P0063),159,1859442,Техника для дома >> Аксессуары к крупной технике >> Автоматы защиты от перепадов напряжения >> Автоматы защиты от перепадов напряжения EMOS,emos,Автомат захисту від сплесків напруги Emos P0063,,159,1,https://comfy.ua/avtomat-zaschity-ot-vspleskov-naprjazhenija-emos-p0063.html,,05.11.2025 17:15,,"вул. Соборна, 42",Фастів,0
1019765793,,,,,1859112,Техника для дома >> Крупная техника,artel,Пральна машина ARTEL ART TE 60 Blue,,7989,1,https://comfy.ua/catalog/product/view/id/2972783,,05.11.2025 18:16,,"вул. Соборна, 42",Фастів,0
1019810275,6749417,2E GAMING,Гарнитура 2E Gaming HG300 LED 3.5 мм Black (2E-HG300BK),799,1858306,"Аудио, фото и видео >> Наушники >> Наушники 2E",2e,Гарнітура дротова ігрова 2E HG300 LED 3.5mm Black (2E-HG300BK),,799,1,https://comfy.ua/garnitura-provodnaja-igrovaja-2e-hg300-led-3-5mm-black-2e-hg300bk.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
1019810275,7066817,GAMEMAX,Гарнитура GAMEMAX 2E Gaming Headset (HG300),1159,1858306,"Аудио, фото и видео >> Наушники >> Наушники 2E",2e,Гарнітура дротова ігрова 2E HG300 LED 3.5mm Black (2E-HG300BK),,799,1,https://comfy.ua/garnitura-provodnaja-igrovaja-2e-hg300-led-3-5mm-black-2e-hg300bk.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
1019810276,6854790,GEMBIRD,Гарнитура GEMBIRD GHS-06 Black,699,1858526,"Аудио, фото и видео >> Наушники >> Наушники Gembird",gembird,Гарнітура дротова Gembird GHS-06 Black,,599,1,https://comfy.ua/garnitura-provodnaja-gembird-ghs-06-black.html,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
1019811142,6749418,2E GAMING,Гарнитура 2E Gaming HG330 RGB USB 7.1 Black (2E-HG330BK-7.1),1299,1858308,"Аудио, фото и видео >> Наушники >> Наушники 2E",2e,Гарнітура дротова ігрова 2E HG330 RGB USB 7.1 Black (2E-HG330BK-7.1),,1299,1,https://comfy.ua/garnitura-provodnaja-igrovaja-2e-hg330-rgb-usb-7-1-black-2e-hg330bk-7-1.html,,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
