709660705,6602873,ARDESTO,Утюг ARDESTO IR-C2228-TQ,899,1649904,Техника для дома >> Мелкая техника >> Утюги >> Утюги Ardesto,ardesto,Праска Ardesto IR-С2228-TQ,,899,1,https://comfy.ua/utjug-ardesto-ir-s2228-tq.html,,05.11.2025 18:13,,"вул. Соборна, 42",Фастів,0
709670171,,,,,1660391,Техника для кухни >> Мелкая техника,smeg,Планетарний міксер Smeg SMF02SVEU,,19199,1,https://comfy.ua/catalog/product/view/id/1237563/s/planetarnyj-mikser-smeg-smf02sveu,,05.11.2025 19:55,,"вул. Соборна, 42",Фастів,0
709670230,6615724,ELEYUS,Вытяжка ELEYUS INTEGRA 1200 LED 52 BL,10529,1659473,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки ELEYUS,eleyus,Витяжка вбудована ELEYUS INTEGRA 1200 LED 52 BL,,10529,1,https://comfy.ua/vytjazhka-vstraivaemaja-eleyus-integra-1200-led-52-bl.html,,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
709670234,6615169,CECOTEC,Фен CECOTEC Bamba IoniCare 5200 Aura Black (CCTC-04201),1199,1659605,Красота и здоровье >> Уход за волосами,cecotec,Фен Cecotec Bamba IoniCare 5200 Aura Black,,1199,1,https://comfy.ua/fen-cecotec-bamba-ionicare-5200-aura-black.html,1999,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
709670235,,,,,1659604,Красота и здоровье >> Уход за лицом,cecotec,Тример для вусів і бороди Cecotec Bamba PrecisionCare Extreme 5-in-1,,1199,1,https://comfy.ua/trimmer-dlja-usov-i-borody-cecotec-bamba-precisioncare-extreme-5-in-1.html,1299,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,0
709670236,6631837,MINOLA,Вытяжка MINOLA HBI 7612 BL 1000 LED,3999,1655236,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Minola,minola,Витяжка вбудована Minola HBI 7612 BL 1000 LED,,3999,1,https://comfy.ua/vytjazhka-vstraivaemaja-minola-hbi-7612-bl-1000-led.html,5399,05.11.2025 21:17,,"вул. Соборна, 42",Фастів,0
709670294,,,,,1431867,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Beko,beko,Уцінка - Варильна поверхня газова Beko HIAW64225SX #,,5609,1,https://comfy.ua/varochnaja-panel-gazovaja-beko-hiaw64225sx-ucenka-1-1.html,6544,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
710632515,,,,,1659516,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Маршрутизаторы интернет >> Маршрутизаторы интернет TP-Link",tp-link,Маршрутизатор інтернет WiFi4+4G TP-Link TL-MR150,,3399,1,https://comfy.ua/marshrutizator-ethernet-tp-link-tl-mr150.html,,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,0
710646701,,,,,1659769,Техника для дома >> Мелкая техника,ardesto,Праска Ardesto IR-C2232-BL,,999,1,https://comfy.ua/catalog/product/view/id/1234733,,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
710657659,,,,,1661112,Техника для кухни >> Крупная техника >> Микроволновые печи >> Микроволновые печи Ergo,ergo,Мікрохвильова піч (НВЧ) Ergo EM-2040,,2499,1,https://comfy.ua/mikrovolnovaja-pech-svch-ergo-em-2040.html,,05.11.2025 21:10,,"вул. Соборна, 42",Фастів,0
710657683,6616206,CECOTEC,Электрочайник CECOTEC ThermoSense 270 Steel (CCTC-01514),999,1660463,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Cecotec,cecotec,Електричний чайник Cecotec ThermoSense 270 Steel,,999,1,https://comfy.ua/jelektricheskij-chajnik-cecotec-thermosense-270-steel.html,1399,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
710676551,,,,,.1660391,Техника для кухни >> Мелкая техника,smeg,Планетарний міксер Smeg SMF02SVEU,,19199,1,https://comfy.ua/planetarnyj-mikser-smeg-smf02sveu.html,,05.11.2025 19:55,,"вул. Соборна, 42",Фастів,0
710911368,6585072,ELEYUS,Вытяжка ELEYUS BREEZE 1000 50 IS,5449,1658441,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки ELEYUS,eleyus,Витяжка вбудована ELEYUS BREEZE 1000 50 IS,,4635,1,https://comfy.ua/vytjazhka-vstraivaemaja-eleyus-breeze-1000-50-is.html,5449,05.11.2025 21:06,,"вул. Соборна, 42",Фастів,0
711279061,6604890,GRUNHELM,Варочная поверхность GRUNHELM GPI 995 B,9199,1659501,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Grunhelm,grunhelm,Варильна поверхня електрична Grunhelm GPI 995 B,,9199,1,https://comfy.ua/varochnaja-panel-jelektricheskaja-grunhelm-gpi-995-b.html,,05.11.2025 21:24,,"вул. Соборна, 42",Фастів,0
711578326,,,,,1653421,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Адаптеры Wi-Fi >> Адаптеры Wi-Fi TP-Link",tp-link,USB-адаптер мережі WiFi TP-Link Archer T600U Nano,,449,1,https://comfy.ua/usb-adapter-seti-wifi-tp-link-archer-t600u-nano.html,,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,0
711578332,,,,,1653420,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Адаптеры Wi-Fi >> Адаптеры Wi-Fi TP-Link",tp-link,USB-адаптер мережі WiFi TP-Link Archer T600U Plus,,699,1,https://comfy.ua/usb-adapter-seti-wifi-tp-link-archer-t600u-plus.html,,05.11.2025 17:27,,"вул. Соборна, 42",Фастів,0
711710948,6635733,BOSCH,Дрель-шуруповерт BOSCH Professional GSB 12V-30 (0.601.9G9.100),6930,1660446,Инструменты и автотовары >> Электроинструменты,bosch,Ударний дриль Bosch GSB 12V-30 набор (0.601.9G9.100),,6929,1,https://comfy.ua/catalog/product/view/id/1237923,,05.11.2025 21:50,,"вул. Соборна, 42",Фастів,0
