756007800,column,column,column,column,1720397,Детские товары >> Игрушки,sigikid,__sigikid_____19__39183sk,column,1095,1,httpscomfyuamjagkajaigrushkazhivotnoesigikidbozhjakorovkaledimjeri19sm39183skhtml,column,06112025_138,column,__42,Фастів,0
756314757,,,,,1710649,Посуда >> Для приготовления >> Наборы посуды >> Наборы посуды Sola,sola,Набір посуду Sola 4 шт. 13PEARL 004,,12839,1,https://comfy.ua/nabor-posudy-sola-4-sht-13pearl-004.html,,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
756324694,,,,,1715525,Детские товары >> Игрушки >> Пазлы >> Пазлы Trefl,trefl,Пазли (8 +) Trefl Африканські слони 1000 ел. (10442),,305,1,https://comfy.ua/pazly-kartonnye-8-trefl-afrikanskie-slony-1000-jel-10442.html,,06.11.2025 1:32,,"вул. Соборна, 42",Фастів,0
756324701,6651549,RUSSELL HOBBS,Рисоварка RUSSELL HOBBS Small (27020-56),1399,1717011,Техника для кухни >> Мелкая техника >> Мультиварки >> Мультиварки Russell Hobbs,russell-hobbs,Мультиварка Russell Hobbs 27020-56 Small,,1399,1,https://comfy.ua/mul-tivarka-russell-hobbs-27020-56-small.html,,05.11.2025 19:48,,"вул. Соборна, 42",Фастів,0
756324706,6651550,RUSSELL HOBBS,Рисоварка RUSSELL HOBBS 27040-56 Large,2099,1717012,Техника для кухни >> Мелкая техника >> Мультиварки >> Мультиварки Russell Hobbs,russell-hobbs,Мультиварка Russell Hobbs 27040-56 Large,,2099,1,https://comfy.ua/mul-tivarka-russell-hobbs-27040-56-large.html,,05.11.2025 19:52,,"вул. Соборна, 42",Фастів,0
756324707,6658568,2E,Портативная акустика 2E SoundXBlock Red (2E-BSSXBWRD),1199,1709930,"Аудио, фото и видео >> Акустика >> Портативные колонки >> Портативные колонки 2E",2e,Портативна акустика 2E SoundXBlock Red (2E-BSSXBWRD),,1199,1,https://comfy.ua/portativnaja-akustika-2e-soundxblock-red-2e-bssxbwrd.html,,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
756324711,6630923,ECG,Блендер ECG RM 430,1130,1716929,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры ECG,ecg,Блендер заглибний ECG RM 430,,979,1,https://comfy.ua/blender-pogruzhnoj-ecg-rm-430.html,,05.11.2025 20:09,,"вул. Соборна, 42",Фастів,0
756324719,6645285,ECG,Встраиваемая микроволновая печь ECG MTD 2390 VGSS,11765,1716910,Техника для кухни >> Крупная техника >> Микроволновые печи >> Микроволновые печи ECG,ecg,Мікрохвильова піч (НВЧ) вбудовувана ECG MTD 2390 VGSS,,11765,1,https://comfy.ua/mikrovolnovaja-pech-svch-vstraivaemaja-ecg-mtd-2390-vgss.html,,05.11.2025 20:42,,"вул. Соборна, 42",Фастів,0
756349326,6651535,REMINGTON,Плойка REMINGTON CI89H1 HYDRAluxe,1899,1716990,Красота и здоровье >> Уход за волосами >> Плойки и стайлеры >> Плойки и стайлеры Remington,remington,Вирівнювач волосся Remington CI89H1 HYDRAluxe,,2179,1,https://comfy.ua/vyprjamitel-volos-remington-ci89h1-hydraluxe.html,2499,05.11.2025 19:09,,"вул. Соборна, 42",Фастів,0
756349331,6630934,ECG,Гриль ECG S 2070 Panini,1925,1716935,Техника для кухни >> Мелкая техника >> Грили-барбекю >> Грили-барбекю ECG,ecg,Гриль-барбекю електричний ECG S 2070 Panini,,1925,1,https://comfy.ua/gril-barbekju-jelektricheskij-ecg-s-2070-panini.html,,05.11.2025 19:54,,"вул. Соборна, 42",Фастів,0
756349333,6630945,ECG,Миксер ECG RS 5011,1845,1716931,Техника для кухни >> Мелкая техника >> Миксеры >> Миксеры ECG,ecg,Міксер ECG RS 5011,,1845,1,https://comfy.ua/mikser-ecg-rs-5011.html,,05.11.2025 20:03,,"вул. Соборна, 42",Фастів,0
