1648672839,column,column,column,column,2806088,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,_ugreen_us132_usb_20_male_to_mini_usb_5pin_male_cable_1m_black_10355,column,119,1,httpscomfyuakabelugreenus132usba20maletominiusb5pinmalecable1mblack10355html,column,05112025_1743,column,__42,Фастів,0
1648691732,,,,,.2778236,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Matte for Realme 11 Pro+ (ARM69177),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-matte-for-realme-11-pro-arm69177.html,,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
1648692050,6919677,EINHELL,Кейс для инструмента EINHELL E-Case S-F (4540011),1529,2781227,Инструменты и автотовары >> Расходные материалы >> Ящики для инструментов >> Ящики для инструментов Einhell,einhell,Органайзер для інструментів Einhell E-Case S-F (4540011),,1529,1,https://comfy.ua/organajzer-dlja-instrumentov-einhell-e-case-s-f-4540011.html,,05.11.2025 21:22,,"вул. Соборна, 42",Фастів,0
1648695035,6919772,NEO TOOLS,Линейка NEO TOOLS 30см (72-200),399,2460670,Инструменты и автотовары >> Ручные инструменты >> Уровни >> Уровни Neo Tools,neo-tools,Лінійка Neo Tools 30 см (72-200),,399,1,https://comfy.ua/linejka-neo-tools-30-sm-72-200.html,,05.11.2025 22:11,,"вул. Соборна, 42",Фастів,0
1648695036,,,,,2699229,Инструменты и автотовары >> Ручные инструменты >> Уровни >> Уровни Haisser,haisser,Рівень Haisser Heavy Duty 600 мм (26046),,1059,1,https://comfy.ua/uroven-haisser-heavy-duty-600-mm-26046.html,,05.11.2025 21:27,,"вул. Соборна, 42",Фастів,0
1648695058,,,,,2811722,Детские товары >> Подгузники и пеленание >> Подгузники >> Подгузники Goo.N,goon,"Одноразові підгузки Goo.N Plus (М, 6-11 кг, 56 шт.) (21000628)",,1099,1,https://comfy.ua/odnorazovye-podguzniki-goo-n-plus-m-6-11-kg-56-sht-21000628.html,1349,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
1648695113,7060369,OXO,Водосгон OXO для окон (1062122),525,2811537,Бытовая химия >> Все для уборки >> Щетки для уборки >> Щетки для уборки OXO,oxo,Щітка для миття скла OXO 1062122,,525,1,https://comfy.ua/schetka-dlja-mojki-stekla-oxo-1062122.html,,05.11.2025 19:36,,"вул. Соборна, 42",Фастів,0
1648695114,7060389,OXO,Набор для уборки Oxo Cleaning Products (1334480),765,2811536,Бытовая химия >> Все для уборки >> Щетки для уборки >> Щетки для уборки OXO,oxo,Щітка для прибирання OXO з контейнером 7x24x32 см (1334480),,765,1,https://comfy.ua/schetka-dlja-uborki-oxo-s-kontejnerom-7x24x32-sm-1334480.html,,05.11.2025 19:37,,"вул. Соборна, 42",Фастів,0
1648695227,,,,,.2784303,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Sigma mobile X-treme PQ39 Ultra (ARM71046),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-sigma-mobile-x-treme-pq39-ultra-arm71046.html,,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
1648695228,,,,,.2780114,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Oppo Reno5 (ARM59499),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-oppo-reno5-arm59499.html,,05.11.2025 20:05,,"вул. Соборна, 42",Фастів,0
1648695230,,,,,.2800154,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Matte for Infinix Smart 8 (ARM73228),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-matte-for-infinix-smart-8-arm73228.html,,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
1648695232,,,,,.2782151,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Oukitel WP5 Pro (ARM73633),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-oukitel-wp5-pro-arm73633.html,,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
1648695236,,,,,.2782144,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Blackview A95 (ARM64644),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-blackview-a95-arm64644.html,,05.11.2025 20:04,,"вул. Соборна, 42",Фастів,0
1648695237,,,,,.2782147,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for TCL 20L (T774H) / 20L+ (T775H) (ARM65042),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-tcl-20l-t774h-20l-t775h-arm65042.html,,05.11.2025 20:04,,"вул. Соборна, 42",Фастів,0
1648695239,,,,,.2782150,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Oukitel WP20 (ARM73631),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-oukitel-wp20-arm73631.html,,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
1648695240,,,,,.2782148,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Blackview BV8800 (ARM72603),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-blackview-bv8800-arm72603.html,,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
1648695801,6947996,XIAOMI,Смартфон XIAOMI Redmi Note 13 Pro+ 5G 8/256GB Midnight Black (1020570),13948,2813525,Смартфоны и телефоны >> Смартфоны,xiaomi,Смартфон Xiaomi Redmi Note 13 Pro+ 5G 8/256Gb Midnight Black,,13299,1,https://comfy.ua/smartfon-xiaomi-redmi-note-13-pro-5g-8-256gb-midnight-black-8950483.html,,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
